#MJD	U	Uerr	B	Berr	V	Verr	R	Rerr	I	Ierr	J	Jerr	H	Herr	K	Kerr
46852.31	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 3.81	 0.05	 n	 n	 n	 n
46852.32	 n	 n	 4.74	 0.05	 n	 n	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46853.27	 n	 n	 n	 n	 4.52	 0.05	 4.20	 0.05 	 n	 n	 n	 n	 n	 n	 n	 n
46854.39	 n	 n	 n	 n	 n	 n	 n	 n 	 3.94	 0.05	 n	 n	 n	 n	 n	 n
46858.29	 n	 n	 n	 n	 n	 n	 4.00	 0.05 	 n	 n	 n	 n	 3.01	 0.05	 n	 n
46859.43	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 3.18	 0.05	 n	 n	 n	 n
46859.44	 n	 n	 n	 n	 4.41	 0.05	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46862.24	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 n	 n	 n	 n	 2.57	 0.05
46862.27	 n	 n	 n	 n	 n	 n	 n	 n 	 3.56	 0.05	 n	 n	 n	 n	 n	 n
46864.25	 n	 n	 n	 n	 4.29	 0.05	 n	 n 	 n	 n	 n	 n	 2.66	 0.05	 n	 n
46864.64	 n	 n	 n	 n	 n	 n	 3.77	 0.05 	 n	 n	 n	 n	 n	 n	 n	 n
46866.36	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 2.82	 0.05	 n	 n	 n	 n
46867.25	 n	 n	 5.68	 0.05	 n	 n	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46868.53	 n	 n	 n	 n	 n	 n	 3.58	 0.05 	 n	 n	 n	 n	 n	 n	 n	 n
46870.59	 n	 n	 n	 n	 4.19	 0.05	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46871.22	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 n	 n	 2.31	 0.05	 n	 n
46871.27	 n	 n	 n	 n	 n	 n	 n	 n 	 3.16	 0.05	 n	 n	 n	 n	 n	 n
46873.23	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 2.51	 0.05	 n	 n	 n	 n
46874.24	 7.78	 0.05	 n	 n	 n	 n	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46875.25	 n	 n	 n	 n	 4.09	 0.05	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46876.24	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 n	 n	 n	 n	 1.94	 0.05
46876.25	 n	 n	 n	 n	 n	 n	 3.40	 0.05 	 n	 n	 n	 n	 n	 n	 n	 n
46877.24	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 2.38	 0.05	 n	 n	 n	 n
46878.24	 n	 n	 n	 n	 n	 n	 n	 n 	 2.95	 0.05	 n	 n	 n	 n	 n	 n
46879.34	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 n	 n	 2.03	 0.05	 n	 n
46880.24	 n	 n	 n	 n	 n	 n	 3.30	 0.05 	 n	 n	 n	 n	 n	 n	 n	 n
46880.59	 n	 n	 5.61	 0.05	 n	 n	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46881.24	 n	 n	 n	 n	 3.97	 0.05	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46884.30	 n	 n	 n	 n	 n	 n	 3.17	 0.05 	 n	 n	 n	 n	 n	 n	 n	 n
