#MJD	U	Uerr	B	Berr	V	Verr	R	Rerr	I	Ierr
54834.56	n	n	n	n	n	n	17.79	0.08	n	n
54834.63	n	n	n	n	n	n	17.89	0.06	n	n
54834.63	n	n	n	n	n	n	17.89	0.08	n	n
54834.64	n	n	n	n	n	n	17.9	0.08	n	n
54834.64	n	n	n	n	n	n	17.91	0.07	n	n
54834.65	n	n	n	n	n	n	17.9	0.08	n	n
54835.42	n	n	n	n	n	n	18.01	0.15	n	n
54836.56	n	n	n	n	n	n	17.87	0.1	n	n
54836.71	n	n	n	n	n	n	17.86	0.25	n	n
54838.51	n	n	n	n	n	n	17.88	0.12	n	n
54840.84	n	n	n	n	18.04	0.33	17.71	0.21	n	n
54844.63	n	n	n	n	n	n	17.57	0.12	n	n
54848.44	n	n	n	n	n	n	17.42	0.19	n	n
54849.80	n	n	n	n	n	n	17.4	0.12	n	n
54858.01	20.35	1	18.91	0.29	17.66	0.13	17.28	0.11	16.93	0.07
54859.64	n	n	n	n	n	n	17.26	0.11	n	n
54876.56	n	n	n	n	n	n	16.96	0.09	n	n
54882.39	n	n	n	n	n	n	16.89	0.1	n	n
54898.48	n	n	n	n	n	n	16.57	0.12	n	n
54898.55	n	n	n	n	n	n	16.56	0.05	n	n
54900.42	n	n	n	n	n	n	16.52	0.07	n	n
54900.46	n	n	n	n	n	n	16.52	0.19	n	n
54902.50	n	n	n	n	n	n	16.5	0.13	n	n
54906.44	n	n	n	n	n	n	16.47	0.16	n	n
54908.58	n	n	n	n	n	n	16.43	0.07	n	n
54911.49	n	n	n	n	n	n	16.4	0.08	n	n
54912.57	n	n	n	n	n	n	16.35	0.09	n	n
54913.50	n	n	n	n	n	n	16.32	0.23	n	n
54913.67	n	n	n	n	n	n	16.33	0.04	n	n
54915.41	n	n	18.02	0.1	16.84	0.03	16.33	0.03	16.01	0.02
54916.42	n	n	n	n	n	n	16.32	0.13	n	n
54916.46	n	n	n	n	16.78	0.05	n	n	n	n
54917.33	n	n	n	n	16.77	0.14	16.3	0.15	16.02	0.17
54917.73	n	n	n	n	n	n	16.3	0.12	n	n
54918.38	n	n	n	n	n	n	16.3	0.07	n	n
54919.75	n	n	n	n	n	n	16.28	0.16	n	n
54921.42	n	n	n	n	n	n	16.3	0.07	n	n
54921.70	n	n	n	n	n	n	16.29	0.1	n	n
54922.36	n	n	n	n	n	n	16.27	0.12	n	n
54922.43	n	n	n	n	n	n	16.27	0.11	n	n
54922.49	n	n	18.03	0.02	16.81	0.01	16.31	0.01	16.02	0.01
54923.34	n	n	n	n	16.83	0.04	16.29	0.04	n	n
54924.39	n	n	n	n	n	n	16.27	0.06	n	n
54924.44	n	n	n	n	n	n	16.26	0.07	n	n
54924.75	n	n	n	n	n	n	16.26	0.14	n	n
54926.42	n	n	n	n	16.83	0.08	n	n	n	n
54926.45	n	n	n	n	n	n	16.28	0.17	n	n
54928.33	n	n	n	n	16.8	0.06	n	n	15.98	0.03
54928.34	n	n	n	n	n	n	16.28	0.07	n	n
54928.61	n	n	n	n	n	n	16.27	0.13	n	n
54930.32	n	n	n	n	n	n	16.31	0.18	n	n
54930.42	n	n	n	n	n	n	16.32	0.06	n	n
54933.79	n	n	n	n	n	n	16.32	0.12	n	n
54934.39	n	n	n	n	16.82	0.04	n	n	16.01	0.03
54934.46	19.53	0.11	18.1	0.02	16.81	0.01	16.3	0.01	16.02	0.02
54935.36	n	n	n	n	16.79	0.07	16.3	0.08	n	n
54935.40	n	n	n	n	n	n	16.32	0.05	n	n
54936.37	n	n	n	n	n	n	16.32	0.07	n	n
54937.34	n	n	n	n	n	n	16.33	0.05	n	n
54938.41	n	n	n	n	16.85	0.03	16.31	0.03	16	0.02
54938.53	n	n	18.19	0.02	16.88	0.01	16.33	0.01	16.03	0.01
54939.76	n	n	n	n	n	n	16.36	0.09	n	n
54942.39	n	n	n	n	n	n	16.43	0.07	n	n
54943.74	n	n	n	n	n	n	16.46	0.14	n	n
54944.32	n	n	n	n	n	n	16.45	0.14	n	n
54944.38	n	n	18.46	0.35	16.99	0.1	16.45	0.04	16.07	0.08
54946.40	n	n	n	n	17.08	0.07	16.6	0.12	16.23	0.04
54946.45	n	n	n	n	n	n	n	n	16.23	0.03
54950.56	n	n	n	n	n	n	16.83	0.09	n	n
54950.58	n	n	n	n	n	n	16.84	0.09	n	n
54951.45	n	n	n	n	n	n	16.9	0.09	n	n
54951.74	n	n	n	n	n	n	16.93	0.06	n	n
54953.37	n	n	n	n	n	n	17.04	0.08	n	n
54953.42	n	n	n	n	n	n	17.03	0.08	n	n
54954.34	n	n	n	n	n	n	17.13	0.09	n	n
54954.37	n	n	n	n	n	n	17.14	0.13	n	n
54954.48	n	n	n	n	n	n	17.15	0.09	n	n
54954.78	n	n	n	n	n	n	17.19	0.14	n	n
54955.34	n	n	n	n	n	n	17.18	0.06	n	n
54955.45	n	n	19.41	0.13	17.94	0.06	17.16	0.03	16.66	0.02
54955.53	20.85	0.16	19.46	0.03	17.97	0.01	17.17	0.01	16.72	0.01
54956.39	n	n	n	n	n	n	17.29	0.1	n	n
54956.39	n	n	n	n	n	n	17.3	0.07	n	n
54957.38	n	n	n	n	n	n	17.43	0.08	n	n
54957.42	n	n	n	n	18.04	0.13	n	n	16.74	0.06
54957.60	n	n	n	n	n	n	17.44	0.12	n	n
54958.36	n	n	n	n	n	n	17.46	0.07	n	n
54958.40	n	n	n	n	n	n	17.46	0.09	n	n
54959.35	n	n	n	n	n	n	17.47	0.09	n	n
54959.54	n	n	n	n	n	n	17.51	0.09	n	n
54959.64	n	n	n	n	n	n	17.51	0.2	n	n
54961.56	n	n	n	n	n	n	17.56	0.18	n	n
54962.37	n	n	n	n	n	n	17.56	0.09	n	n
54962.39	n	n	n	n	n	n	17.55	0.05	n	n
54964.66	n	n	19.83	0.13	18.42	0.06	17.55	0.03	16.99	0.03
54967.36	n	n	n	n	n	n	17.61	0.07	n	n
54968.36	n	n	n	n	n	n	17.64	0.11	n	n
54968.57	n	n	n	n	n	n	17.64	0.11	n	n
54970.35	n	n	n	n	n	n	17.66	0.1	n	n
54970.36	n	n	n	n	n	n	17.67	0.1	n	n
54971.52	21.8	1	20.04	0.09	18.58	0.03	17.69	0.03	17.11	0.02
54972.35	n	n	n	n	n	n	17.68	0.06	n	n
54977.34	n	n	n	n	n	n	17.7	0.09	n	n
