#MJD		g	gerr	r	rerr	i	ierr
58217.83	NaN	NaN	20.86	0.03	NaN	NaN	
58222.79	NaN	NaN	20.35	0.04	NaN	NaN	
58223.82	20.11	0.05	20.39	0.24	NaN	NaN	
58226.78	20.35	0.29	20.12	0.03	NaN	NaN	
58227.82	20.48	0.04	20.25	0.24	NaN	NaN	
58229.87	20.53	0.29	20.17	0.03	NaN	NaN	
58230.85	20.54	0.04	20.17	0.24	NaN	NaN	
58232.89	20.72	0.31	20.17	0.20	NaN	NaN	
58237.74	21.04	0.20	20.05	0.24	NaN	NaN	
58242.82	21.08	0.34	19.97	0.02	NaN	NaN	
58245.86	21.06	0.32	19.91	0.02	NaN	NaN	
58246.81	21.07	0.04	19.97	0.24	NaN	NaN	
58249.77	20.97	0.33	20.18	0.09	NaN	NaN	
58252.90	20.88	0.32	19.80	0.02	NaN	NaN	
58254.91	20.80	0.05	19.92	0.24	NaN	NaN	
58256.76	20.82	0.32	19.88	0.02	NaN	NaN	
58261.74	20.80	0.12	19.86	0.24	NaN	NaN	
58261.81	20.84	0.31	20.02	0.06	NaN	NaN	
58266.77	20.94	0.32	19.74	0.04	NaN	NaN	
58269.77	21.01	0.07	19.75	0.24	NaN	NaN	
58269.85	20.96	0.30	19.68	0.02	NaN	NaN	
58272.77	20.99	0.08	19.71	0.24	NaN	NaN	
58273.83	20.86	0.29	19.67	0.02	NaN	NaN	
58276.77	20.65	0.07	19.66	0.24	NaN	NaN	
58278.76	20.66	0.29	19.70	0.03	NaN	NaN	
58279.81	20.56	0.07	19.63	0.24	NaN	NaN	
58282.81	20.60	0.29	19.59	0.03	NaN	NaN	
58283.77	20.71	0.05	19.58	0.23	NaN	NaN	
58285.82	20.57	0.30	19.56	0.02	NaN	NaN	
58288.85	20.37	0.04	19.51	0.23	NaN	NaN	
58289.74	20.61	0.29	19.57	0.03	NaN	NaN	
58292.71	20.93	0.08	19.46	0.23	NaN	NaN	
58292.75	20.71	0.29	19.38	0.02	NaN	NaN	
58295.72	20.68	0.12	19.43	0.23	NaN	NaN	
58295.76	20.76	0.29	19.39	0.03	NaN	NaN	
58298.72	20.79	0.14	19.41	0.23	NaN	NaN	
58298.76	20.78	0.29	19.35	0.04	NaN	NaN	
58302.84	20.79	0.29	19.49	0.08	NaN	NaN	
58303.72	20.77	0.10	19.39	0.24	NaN	NaN	
58303.89	20.79	0.29	19.39	0.24	20.72	0.30	
58306.68	20.79	0.29	19.41	0.05	20.77	0.46	
58306.73	20.80	0.12	19.38	0.24	20.77	0.46	
58312.70	20.77	0.31	19.41	0.04	20.77	0.46	
58312.83	20.80	0.14	19.36	0.24	20.77	0.46	
58315.74	20.72	0.33	19.28	0.04	20.77	0.46	
58318.85	20.66	0.32	19.39	0.02	20.77	0.46	
58320.67	20.63	0.08	19.40	0.23	20.77	0.46	
58320.72	20.63	0.30	19.40	0.23	20.52	0.27	
58322.74	20.60	0.30	19.31	0.03	20.77	0.46	
58324.76	20.60	0.13	19.46	0.23	20.77	0.46	
58325.80	20.60	0.29	19.47	0.23	21.09	0.30	
58326.78	20.61	0.29	19.57	0.07	NaN	NaN	
58328.68	20.57	0.12	19.54	0.23	NaN	NaN	
58329.80	20.73	0.29	19.58	0.03	NaN	NaN	
58331.75	20.84	0.08	19.61	0.23	NaN	NaN	
58332.81	20.95	0.30	19.61	0.10	NaN	NaN	
58336.70	21.29	0.31	19.69	0.05	NaN	NaN	
58336.74	21.36	0.24	19.76	0.24	NaN	NaN	
58344.68	21.78	0.35	20.13	0.09	NaN	NaN	
58347.70	21.91	0.33	20.16	0.24	NaN	NaN	
58349.74	NaN	NaN	20.13	0.04	NaN	NaN	
58353.64	NaN	NaN	20.34	0.05	NaN	NaN	
58356.76	NaN	NaN	20.69	0.18	NaN	NaN	
58359.76	NaN	NaN	20.39	0.10	NaN	NaN	
58365.64	NaN	NaN	20.58	0.10	NaN	NaN	
58369.62	NaN	NaN	20.62	0.10	NaN	NaN	
58372.64	NaN	NaN	20.60	0.08	NaN	NaN	
58376.62	NaN	NaN	20.71	0.07	NaN	NaN	
58381.64	NaN	NaN	20.91	0.13	NaN	NaN	
