#MJD	g	gerr	r	rerr	o	oerr	c	cerr
58217.83	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
58222.79	NaN	NaN	20.27	0.17	NaN	NaN	NaN	NaN
58223.82	20.16	0.14	20.25	0.17	NaN	NaN	NaN	NaN
58226.78	20.38	0.13	20.21	0.16	NaN	NaN	NaN	NaN
58227.82	20.45	0.13	20.20	0.16	NaN	NaN	NaN	NaN
58229.87	20.54	0.13	20.17	0.16	NaN	NaN	NaN	NaN
58230.85	20.58	0.13	20.16	0.16	NaN	NaN	NaN	NaN
58232.89	20.71	0.14	20.13	0.16	NaN	NaN	NaN	NaN
58237.74	21.02	0.14	20.07	0.16	NaN	NaN	NaN	NaN
58242.82	21.03	0.14	20.02	0.16	NaN	NaN	NaN	NaN
58245.86	21.04	0.13	20.00	0.16	NaN	NaN	NaN	NaN
58246.81	21.03	0.13	19.99	0.16	NaN	NaN	NaN	NaN
58249.77	20.95	0.14	19.97	0.16	NaN	NaN	NaN	NaN
58252.90	20.85	0.13	19.94	0.16	NaN	NaN	NaN	NaN
58254.91	20.81	0.13	19.92	0.16	NaN	NaN	NaN	NaN
58256.76	20.80	0.14	19.91	0.16	NaN	NaN	NaN	NaN
58261.74	20.81	0.13	19.86	0.16	NaN	NaN	NaN	NaN
58261.81	20.81	0.13	19.86	0.16	NaN	NaN	NaN	NaN
58266.77	20.92	0.14	19.79	0.16	NaN	NaN	NaN	NaN
58269.77	20.99	0.12	19.75	0.16	NaN	NaN	NaN	NaN
58269.85	20.99	0.12	19.75	0.16	NaN	NaN	NaN	NaN
58272.77	20.95	0.13	19.71	0.16	NaN	NaN	NaN	NaN
58273.83	20.88	0.13	19.70	0.16	NaN	NaN	NaN	NaN
58276.77	20.68	0.13	19.66	0.16	NaN	NaN	NaN	NaN
58278.76	20.61	0.13	19.64	0.16	NaN	NaN	NaN	NaN
58279.81	20.60	0.13	19.63	0.16	NaN	NaN	NaN	NaN
58280.41	20.60	0.13	19.62	0.16	NaN	NaN	19.38	0.24
58282.81	20.65	0.13	19.59	0.16	NaN	NaN	19.38	0.24
58283.77	20.65	0.13	19.58	0.16	NaN	NaN	19.38	0.24
58284.41	20.64	0.13	19.57	0.16	NaN	NaN	19.38	0.24
58284.43	20.64	0.13	19.57	0.16	NaN	NaN	19.38	0.24
58284.44	20.64	0.13	19.57	0.16	NaN	NaN	19.38	0.24
58285.82	20.57	0.13	19.55	0.16	NaN	NaN	NaN	NaN
58288.85	20.49	0.13	19.51	0.16	NaN	NaN	NaN	NaN
58289.74	20.55	0.13	19.50	0.16	NaN	NaN	NaN	NaN
58292.40	20.79	0.13	19.46	0.16	NaN	NaN	NaN	NaN
58292.41	20.79	0.13	19.46	0.16	19.13	0.17	NaN	NaN
58292.42	20.79	0.13	19.46	0.16	19.13	0.17	NaN	NaN
58292.71	20.80	0.12	19.46	0.16	19.13	0.17	NaN	NaN
58292.75	20.80	0.12	19.46	0.16	19.13	0.17	NaN	NaN
58295.72	20.75	0.12	19.43	0.16	19.13	0.17	NaN	NaN
58295.76	20.75	0.12	19.43	0.16	19.13	0.17	NaN	NaN
58298.72	20.77	0.12	19.41	0.16	19.13	0.17	NaN	NaN
58298.76	20.77	0.12	19.41	0.16	19.13	0.17	NaN	NaN
58302.84	20.78	0.13	19.39	0.16	19.13	0.17	NaN	NaN
58303.72	20.78	0.13	19.39	0.16	19.13	0.17	NaN	NaN
58304.38	20.78	0.13	19.39	0.16	19.13	0.17	NaN	NaN
58306.68	20.79	0.13	19.38	0.16	19.13	0.17	NaN	NaN
58306.73	20.79	0.13	19.38	0.16	19.13	0.17	NaN	NaN
58310.37	20.80	0.17	19.36	0.16	19.13	0.17	NaN	NaN
58312.70	20.79	0.13	19.36	0.16	19.13	0.17	NaN	NaN
58312.83	20.79	0.13	19.36	0.16	19.13	0.17	NaN	NaN
58315.74	20.74	0.14	19.36	0.16	19.13	0.17	NaN	NaN
58318.34	20.69	0.14	19.37	0.16	19.13	0.17	NaN	NaN
58318.85	20.68	0.13	19.38	0.16	19.13	0.17	NaN	NaN
58320.67	20.64	0.13	19.39	0.16	19.13	0.17	NaN	NaN
58322.34	20.62	0.13	19.42	0.16	19.13	0.17	NaN	NaN
58322.74	20.62	0.13	19.42	0.16	19.13	0.17	NaN	NaN
58324.76	20.60	0.13	19.46	0.16	19.13	0.17	NaN	NaN
58326.78	20.59	0.13	19.50	0.16	19.13	0.17	NaN	NaN
58328.68	20.62	0.13	19.54	0.16	19.13	0.17	NaN	NaN
58329.80	20.69	0.13	19.56	0.16	19.13	0.17	NaN	NaN
58331.75	20.84	0.13	19.62	0.16	19.13	0.17	NaN	NaN
58332.81	20.94	0.13	19.64	0.16	19.13	0.17	NaN	NaN
58336.70	21.26	0.13	19.76	0.16	19.13	0.17	NaN	NaN
58336.74	21.26	0.13	19.77	0.16	19.13	0.17	NaN	NaN
58338.31	NaN	NaN	19.82	0.16	19.13	0.17	NaN	NaN
58344.68	NaN	NaN	20.05	0.17	NaN	NaN	NaN	NaN
58349.74	NaN	NaN	20.22	0.16	NaN	NaN	NaN	NaN
58353.64	NaN	NaN	20.35	0.16	NaN	NaN	NaN	NaN
58356.76	NaN	NaN	20.43	0.16	NaN	NaN	NaN	NaN
58359.76	NaN	NaN	20.49	0.16	NaN	NaN	NaN	NaN
58365.64	NaN	NaN	20.58	0.16	NaN	NaN	NaN	NaN
58369.62	NaN	NaN	20.63	0.16	NaN	NaN	NaN	NaN
58372.64	NaN	NaN	20.68	0.16	NaN	NaN	NaN	NaN
58376.62	NaN	NaN	20.74	0.17	NaN	NaN	NaN	NaN
58381.64	NaN	NaN	20.83	0.19	NaN	NaN	NaN	NaN
