#MJD		B	Berr	I	Ierr	R	Rerr	U	Uerr	V	Verr	g	gerr	r	rerr
58414.61	16.443	0.069	n	n	n	n	15.737	0.072	16.251	0.125	n	n	n	n
58415.67	16.398	0.066	n	n	n	n	16.44	0.092	15.997	0.115	n	n	n	n
58415.80	n	n	n	n	15.802	0.041	n	n	n	n	n	n	n	n
58416.74	16.633	0.075	n	n	n	n	17.014	0.142	16.14	0.117	n	n	n	n
58419.80	16.789	0.081	n	n	n	n	18.166	0.289	16.288	0.116	n	n	n	n
58422.46	16.931	0.098	n	n	n	n	18.278	0.323	16.147	0.123	n	n	n	n
58422.93	17.034	0.038	15.583	0.026	15.724	0.02	18.123	0.123	16.11	0.019	n	n	n	n
58423.50	n	n	n	n	n	n	n	n	n	n	16.41	0.041	15.791	0.027
58424.00	17.034	0.041	15.484	0.04	15.676	0.02	18.223	0.165	16.075	0.037	n	n	n	n
58424.80	n	n	15.408	0.024	15.561	0.027	n	n	n	n	n	n	n	n
58424.98	17.047	0.112	n	n	n	n	18.894	0.588	n	n	n	n	n	n
58425.92	17.073	0.047	15.417	0.04	15.625	0.025	18.363	0.181	16.006	0.022	n	n	n	n
58426.50	n	n	n	n	n	n	n	n	n	n	16.318	0.052	15.752	0.04
58428.80	17.087	0.034	15.244	0.026	15.422	0.022	n	n	n	n	n	n	n	n
58429.50	n	n	n	n	n	n	n	n	n	n	16.256	0.056	n	n
58429.60	n	n	n	n	n	n	n	n	n	n	n	n	15.63	0.035
58430.89	16.963	0.028	15.158	0.037	15.436	0.029	18.161	0.075	15.836	0.023	n	n	n	n
58432.50	n	n	n	n	n	n	n	n	n	n	16.192	0.038	15.475	0.031
58432.60	n	n	n	n	n	n	n	n	n	n	n	n	15.492	0.029
58435.80	n	n	14.968	0.024	15.202	0.02	n	n	n	n	n	n	n	n
58436.80	16.788	0.034	14.946	0.026	15.169	0.023	n	n	n	n	n	n	n	n
58436.96	16.724	0.044	14.937	0.029	15.212	0.027	17.884	0.127	15.635	0.016	n	n	n	n
58440.50	n	n	n	n	n	n	n	n	n	n	15.976	0.033	15.221	0.028
58440.60	n	n	n	n	n	n	n	n	n	n	n	n	15.223	0.035
58441.80	16.543	0.033	14.751	0.023	14.989	0.022	n	n	15.583	0.047	n	n	n	n
58442.80	16.497	0.068	14.783	0.029	15.006	0.027	n	n	15.56	0.049	n	n	n	n
58443.40	n	n	n	n	n	n	n	n	n	n	n	n	15.114	0.034
58443.50	n	n	n	n	n	n	n	n	n	n	15.843	0.033	15.099	0.035
58446.97	16.269	0.036	14.572	0.024	14.822	0.021	17.434	0.094	15.22	0.02	n	n	n	n
58447.40	n	n	n	n	n	n	n	n	n	n	n	n	14.924	0.028
58447.50	n	n	n	n	n	n	n	n	n	n	n	n	14.94	0.025
58450.50	n	n	n	n	n	n	n	n	n	n	15.459	0.029	n	n
58456.93	15.861	0.024	14.267	0.045	14.532	0.027	17.1	0.075	14.819	0.028	n	n	n	n
58461.50	n	n	n	n	n	n	n	n	n	n	15.07	0.032	n	n
58461.86	15.724	0.083	14.19	0.27	14.347	0.072	17.052	0.318	14.72	0.082	n	n	n	n
58462.80	n	n	14.16	0.041	14.357	0.023	n	n	n	n	n	n	n	n
58464.01	15.686	0.024	14.104	0.034	14.303	0.028	n	n	14.663	0.024	n	n	n	n
58464.50	n	n	n	n	n	n	n	n	n	n	15.054	0.028	n	n
58467.70	15.574	0.031	13.945	0.023	14.133	0.02	n	n	14.703	0.046	n	n	n	n
58470.70	15.53	0.034	13.918	0.023	14.097	0.02	n	n	14.679	0.047	n	n	n	n
58471.50	n	n	n	n	n	n	n	n	n	n	14.864	0.024	n	n
58471.60	n	n	n	n	n	n	n	n	n	n	n	n	14.253	0.02
58472.83	15.464	0.054	13.908	0.033	14.129	0.031	16.718	0.29	14.503	0.026	n	n	n	n
58474.50	n	n	n	n	n	n	n	n	n	n	n	n	14.197	0.028
58475.91	15.417	0.102	13.845	0.037	14.079	0.059	16.661	0.089	14.437	0.07	n	n	n	n
58476.50	n	n	n	n	n	n	n	n	n	n	n	n	14.173	0.035
58476.60	n	n	n	n	n	n	n	n	n	n	14.858	0.025	n	n
58480.50	n	n	n	n	n	n	n	n	n	n	14.74	0.019	n	n
58483.97	15.315	0.029	13.76	0.021	13.974	0.013	16.543	0.074	14.349	0.017	n	n	n	n
58486.50	n	n	n	n	n	n	n	n	n	n	14.654	0.021	14.056	0.022
58490.60	n	n	13.647	0.025	13.886	0.032	n	n	n	n	n	n	n	n
58491.50	n	n	n	n	n	n	n	n	n	n	14.628	0.023	n	n
58491.60	n	n	n	n	n	n	n	n	n	n	n	n	14.013	0.023
58491.80	n	n	13.649	0.022	13.844	0.021	n	n	n	n	n	n	n	n
58492.70	15.215	0.031	13.626	0.036	13.824	0.02	n	n	14.414	0.047	n	n	n	n
58494.50	n	n	n	n	n	n	n	n	n	n	14.61	0.026	n	n
58495.70	15.207	0.033	13.644	0.023	13.815	0.021	n	n	14.402	0.046	n	n	n	n
58496.80	15.23	0.032	13.602	0.022	13.788	0.02	n	n	14.399	0.047	n	n	n	n
58497.60	n	n	13.606	0.025	13.808	0.024	n	n	14.413	0.048	n	n	n	n
58499.80	n	n	13.628	0.022	13.85	0.021	n	n	n	n	n	n	n	n
58501.90	15.25	0.029	13.6	0.023	13.8	0.023	n	n	14.401	0.047	n	n	n	n
58502.40	n	n	n	n	n	n	n	n	n	n	14.603	0.027	n	n
58502.50	n	n	n	n	n	n	n	n	n	n	14.623	0.033	13.972	0.026
58502.60	n	n	n	n	n	n	n	n	n	n	n	n	13.98	0.024
58504.80	n	n	13.606	0.023	n	n	n	n	n	n	n	n	n	n
58505.40	n	n	n	n	n	n	n	n	n	n	14.717	0.018	n	n
58505.50	n	n	n	n	n	n	n	n	n	n	14.681	0.025	14.019	0.02
58507.80	n	n	13.668	0.022	13.908	0.021	n	n	14.609	0.047	n	n	n	n
58508.50	n	n	n	n	n	n	n	n	n	n	14.826	0.023	14.097	0.02
58508.60	n	n	n	n	n	n	n	n	n	n	14.832	0.027	n	n
58511.40	n	n	n	n	n	n	n	n	n	n	n	n	14.218	0.02
58511.50	n	n	n	n	n	n	n	n	n	n	14.996	0.028	n	n
58512.80	15.919	0.029	13.814	0.022	14.093	0.021	n	n	14.664	0.02	n	n	n	n
58514.40	n	n	n	n	n	n	n	n	n	n	15.276	0.059	14.38	0.025
58514.50	n	n	n	n	n	n	n	n	n	n	15.31	0.036	n	n
58515.70	16.203	0.03	13.958	0.022	14.268	0.02	n	n	15.033	0.047	n	n	n	n
58516.70	16.321	0.035	13.997	0.026	14.322	0.024	n	n	15.107	0.047	n	n	n	n
58518.70	16.499	0.03	14.12	0.023	14.461	0.022	n	n	15.272	0.046	n	n	n	n
58521.80	n	n	14.31	0.027	14.687	0.025	n	n	15.525	0.047	n	n	n	n
58522.40	n	n	n	n	n	n	n	n	n	n	15.843	0.033	n	n
58522.50	n	n	n	n	n	n	n	n	n	n	15.821	0.04	14.872	0.031
58522.81	16.725	0.024	14.337	0.028	14.748	0.023	18.66	0.086	15.349	0.018	n	n	n	n
58523.80	n	n	n	n	n	n	n	n	15.707	0.046	n	n	n	n
58525.60	16.912	0.055	14.415	0.028	14.815	0.022	n	n	15.726	0.049	n	n	n	n
58526.40	n	n	n	n	n	n	n	n	n	n	16.042	0.028	n	n
58526.50	n	n	n	n	n	n	n	n	n	n	16.048	0.021	14.994	0.023
58526.60	n	n	14.44	0.035	14.81	0.031	n	n	n	n	n	n	n	n
58527.60	17.124	0.075	14.458	0.057	14.893	0.047	n	n	15.729	0.064	n	n	n	n
58531.60	n	n	14.475	0.032	14.885	0.039	n	n	n	n	n	n	n	n
58534.30	n	n	n	n	n	n	n	n	n	n	16.132	0.041	n	n
58534.40	n	n	n	n	n	n	n	n	n	n	n	n	15.117	0.03
58538.30	n	n	n	n	n	n	n	n	n	n	16.236	0.045	n	n
58538.40	n	n	n	n	n	n	n	n	n	n	n	n	15.204	0.036
58538.70	17.165	0.063	14.55	0.034	14.98	0.033	n	n	15.896	0.05	n	n	n	n
58539.90	17.114	0.042	14.626	0.022	15.037	0.019	n	n	15.701	0.021	n	n	n	n
58540.30	n	n	n	n	n	n	n	n	n	n	n	n	15.184	0.028
58540.60	17.155	0.036	14.563	0.025	14.983	0.025	n	n	15.885	0.047	n	n	n	n
58541.74	17.134	0.024	14.643	0.023	15.043	0.031	19.448	0.103	15.724	0.02	n	n	n	n
58543.30	n	n	n	n	n	n	n	n	n	n	16.285	0.032	15.215	0.026
58543.40	n	n	n	n	n	n	n	n	n	n	n	n	15.236	0.026
58543.95	17.082	0.153	14.591	0.182	15.134	0.214	19.502	0.535	15.798	0.113	n	n	n	n
58546.30	n	n	n	n	n	n	n	n	n	n	16.314	0.039	n	n
58546.77	17.232	0.053	14.715	0.042	15.114	0.024	19.404	0.104	15.783	0.022	n	n	n	n
58549.99	17.196	0.035	14.673	0.054	15.102	0.03	19.278	0.079	15.806	0.025	n	n	n	n
58550.60	17.255	0.035	14.642	0.028	15.086	0.026	n	n	16.023	0.048	n	n	n	n
58553.70	n	n	n	n	15.149	0.059	n	n	n	n	n	n	n	n
58555.78	17.299	0.042	14.771	0.031	15.198	0.032	19.384	0.088	15.902	0.025	n	n	n	n
58556.20	n	n	n	n	n	n	n	n	n	n	n	n	15.401	0.03
58556.40	n	n	n	n	n	n	n	n	n	n	16.434	0.046	n	n
58558.20	n	n	n	n	n	n	n	n	n	n	n	n	15.326	0.023
58558.73	17.301	0.042	14.781	0.038	15.201	0.042	19.571	0.201	15.915	0.028	n	n	n	n
58559.30	n	n	n	n	n	n	n	n	n	n	16.524	0.038	15.39	0.029
58559.60	n	n	14.802	0.037	15.267	0.043	n	n	n	n	n	n	n	n
58559.91	17.333	0.035	14.802	0.027	15.205	0.037	19.557	0.124	15.925	0.026	n	n	n	n
58562.30	n	n	n	n	n	n	n	n	n	n	16.566	0.051	n	n
58562.40	n	n	n	n	n	n	n	n	n	n	n	n	15.419	0.021
58562.91	17.416	0.052	14.84	0.022	15.248	0.034	19.586	0.189	15.999	0.039	n	n	n	n
58564.60	n	n	14.806	0.03	15.272	0.035	n	n	16.219	0.127	n	n	n	n
