#MJD	g	gerr	r	rerr
58387.00	19.19	0.06	NaN	NaN
58387.97	19.26	0.35	18.77	0.04
58389.96	19.31	0.07	18.87	0.25
58390.03	19.28	0.35	18.76	0.04
58398.03	19.40	0.47	19.79	0.06
58422.96	19.71	0.09	18.57	0.26
58423.01	19.64	0.34	18.55	0.01
58425.90	19.59	0.05	18.52	0.24
58425.95	19.61	0.32	18.46	0.02
58427.93	19.47	0.07	18.53	0.24
58427.96	19.59	0.31	18.60	0.01
58429.96	19.73	0.04	18.54	0.24
58430.94	19.56	0.31	18.49	0.02
58432.94	19.41	0.05	18.55	0.25
58434.96	19.50	0.32	18.63	0.03
58437.88	19.44	0.32	18.38	0.03
58437.94	19.61	0.03	18.47	0.24
58440.94	19.21	0.03	18.38	0.24
58441.85	19.35	0.32	18.42	0.03
58443.78	19.39	0.07	18.23	0.24
58443.87	19.30	0.32	18.23	0.02
58448.85	19.19	0.33	17.83	0.02
58450.86	19.15	0.33	17.96	0.03
58450.96	19.04	0.06	17.92	0.24
58456.00	19.09	0.33	17.98	0.02
58457.78	19.16	0.07	17.91	0.27
58461.84	19.04	0.33	17.78	0.01
58464.81	19.03	0.32	17.89	0.01
58464.83	19.08	0.04	17.83	0.24
58466.83	19.04	0.32	17.79	0.03
58467.90	19.02	0.04	17.81	0.24
58468.98	19.06	0.31	17.79	0.00
58469.99	18.95	0.09	17.83	0.24
58471.79	19.11	0.32	17.86	0.01
58472.74	19.11	0.12	17.86	0.27
58480.79	19.59	0.06	18.05	0.26
58480.82	19.51	0.32	18.03	0.02
58482.98	19.45	0.11	18.13	0.24
58483.69	19.68	0.32	18.17	0.00
58486.94	19.89	0.32	18.30	0.03
58487.71	19.87	0.07	18.35	0.25
58490.71	20.12	0.32	18.48	0.03
58491.70	20.43	0.22	18.56	0.24
58492.78	20.23	0.32	18.66	0.01
58493.73	20.34	0.15	18.65	0.24
58495.78	20.33	0.33	18.71	0.04
58504.76	20.46	0.33	18.85	0.05
58505.73	20.23	0.19	18.92	0.26
58507.73	20.49	0.32	18.98	0.26
58508.71	20.69	0.14	19.00	0.26
58509.77	20.51	0.32	19.08	0.04
58511.69	20.53	0.14	19.03	0.25
58513.91	20.54	0.32	19.01	0.09
58514.70	20.50	0.21	19.01	0.27
58522.69	20.59	0.15	18.91	0.28
58522.71	20.62	0.33	18.91	0.03
58524.74	20.69	0.25	18.90	0.32
58526.69	20.67	0.37	18.89	0.38
58538.69	20.83	0.59	19.16	0.05
58559.70	21.08	0.50	19.21	0.07
58562.67	21.10	0.45	19.50	0.16
58567.63	21.11	0.39	19.27	0.06
58567.67	21.15	0.25	19.32	0.27
58581.63	NaN	NaN	19.51	0.20
58586.64	NaN	NaN	19.29	0.14
58588.65	NaN	NaN	19.23	0.12
58592.72	NaN	NaN	19.62	0.07
58597.69	NaN	NaN	19.54	0.03
58601.67	NaN	NaN	19.58	0.06
58607.68	NaN	NaN	19.64	0.19
