#MJD	g	gerr	r	rerr	o	oerr	c	cerr
58387.00	19.24	0.20	NaN	NaN	NaN	NaN	NaN	NaN
58387.97	19.25	0.19	18.78	0.29	NaN	NaN	NaN	NaN
58389.96	19.28	0.19	18.77	0.28	NaN	NaN	NaN	NaN
58390.03	19.28	0.19	18.77	0.28	NaN	NaN	NaN	NaN
58398.03	19.40	0.22	18.72	0.30	NaN	NaN	NaN	NaN
58413.64	19.62	0.28	18.64	0.32	18.47	0.38	NaN	NaN
58415.62	19.63	0.26	18.63	0.31	18.45	0.37	NaN	NaN
58415.63	19.63	0.26	18.63	0.31	18.45	0.37	NaN	NaN
58416.60	19.64	0.25	18.62	0.31	18.43	0.37	NaN	NaN
58416.63	19.64	0.25	18.62	0.31	18.43	0.37	NaN	NaN
58417.57	19.64	0.24	18.62	0.30	18.42	0.37	NaN	NaN
58419.64	19.65	0.22	18.60	0.29	18.40	0.37	NaN	NaN
58422.96	19.64	0.19	18.58	0.27	18.37	0.38	NaN	NaN
58423.01	19.64	0.19	18.58	0.27	18.37	0.38	NaN	NaN
58423.63	19.63	0.19	18.58	0.27	18.36	0.38	NaN	NaN
58425.90	19.61	0.18	18.56	0.26	18.32	0.38	NaN	NaN
58425.95	19.61	0.18	18.56	0.26	18.32	0.38	NaN	NaN
58427.63	19.60	0.18	18.54	0.26	18.29	0.38	18.87	0.25
58427.64	19.60	0.18	18.54	0.26	18.29	0.38	18.87	0.25
58427.93	19.59	0.18	18.54	0.26	18.29	0.38	18.87	0.25
58427.96	19.59	0.18	18.54	0.26	18.29	0.38	18.88	0.25
58429.96	19.57	0.18	18.52	0.26	18.25	0.38	18.92	0.25
58430.94	19.56	0.18	18.51	0.26	18.23	0.38	18.94	0.25
58431.63	19.55	0.18	18.50	0.26	18.21	0.38	18.95	0.25
58431.64	19.55	0.18	18.50	0.26	18.21	0.38	18.95	0.25
58432.94	19.53	0.18	18.48	0.26	18.18	0.38	18.97	0.25
58434.96	19.50	0.18	18.45	0.26	18.14	0.37	18.98	0.25
58435.62	19.49	0.18	18.43	0.26	18.12	0.37	18.98	0.25
58435.62	19.49	0.18	18.43	0.26	18.12	0.37	18.98	0.25
58437.58	19.45	0.18	18.39	0.26	18.07	0.36	18.97	0.27
58437.60	19.45	0.18	18.39	0.26	18.07	0.36	18.97	0.27
58437.60	19.45	0.18	18.39	0.26	18.07	0.36	18.97	0.27
58437.60	19.45	0.18	18.39	0.26	18.07	0.36	18.97	0.27
58437.62	19.45	0.18	18.39	0.26	18.07	0.36	18.97	0.27
58437.62	19.45	0.18	18.39	0.26	18.07	0.36	18.97	0.27
58437.63	19.45	0.18	18.39	0.26	18.07	0.36	18.97	0.27
58437.88	19.44	0.18	18.38	0.26	18.07	0.36	18.97	0.27
58437.94	19.44	0.18	18.38	0.26	18.06	0.36	18.97	0.27
58440.94	19.37	0.18	18.30	0.26	17.99	0.36	18.92	0.31
58441.57	19.35	0.18	18.28	0.26	17.98	0.36	18.90	0.32
58441.57	19.35	0.18	18.28	0.26	17.98	0.36	18.90	0.32
58441.59	19.35	0.18	18.28	0.26	17.98	0.36	18.90	0.32
58441.60	19.35	0.18	18.28	0.26	17.98	0.36	18.90	0.32
58441.85	19.35	0.18	18.27	0.26	17.97	0.36	18.89	0.32
58443.53	19.31	0.18	18.22	0.26	17.94	0.36	18.85	0.33
58443.54	19.31	0.18	18.22	0.26	17.94	0.36	18.85	0.33
58443.54	19.31	0.18	18.22	0.26	17.94	0.36	18.85	0.33
58443.55	19.31	0.18	18.22	0.26	17.94	0.36	18.85	0.33
58443.78	19.30	0.18	18.21	0.26	17.93	0.36	18.84	0.33
58443.87	19.30	0.18	18.21	0.26	17.93	0.36	18.84	0.33
58444.54	19.28	0.18	18.19	0.26	17.92	0.36	18.82	0.33
58444.55	19.28	0.18	18.19	0.26	17.92	0.36	18.82	0.33
58444.56	19.28	0.18	18.19	0.26	17.92	0.36	18.82	0.33
58444.56	19.28	0.18	18.19	0.26	17.92	0.36	18.82	0.33
58444.57	19.28	0.18	18.19	0.26	17.92	0.36	18.82	0.33
58445.46	19.26	0.18	18.16	0.26	17.90	0.36	18.79	0.33
58448.85	19.18	0.18	18.06	0.27	17.87	0.36	18.68	0.30
58449.57	19.17	0.18	18.04	0.27	17.87	0.36	18.66	0.29
58449.58	19.17	0.18	18.04	0.27	17.87	0.36	18.66	0.29
58449.59	19.17	0.18	18.03	0.27	17.87	0.36	18.66	0.29
58449.59	19.17	0.18	18.03	0.27	17.87	0.36	18.66	0.29
58449.60	19.17	0.18	18.03	0.27	17.87	0.36	18.66	0.29
58450.86	19.15	0.18	18.00	0.27	17.87	0.36	18.61	0.27
58450.96	19.15	0.18	18.00	0.27	17.87	0.36	18.61	0.27
58451.56	19.14	0.18	17.99	0.27	17.86	0.36	18.59	0.26
58451.58	19.14	0.18	17.99	0.27	17.86	0.36	18.59	0.26
58451.58	19.14	0.18	17.99	0.27	17.86	0.36	18.59	0.26
58451.60	19.14	0.18	17.99	0.27	17.86	0.36	18.59	0.26
58453.53	19.11	0.19	17.94	0.27	17.86	0.36	18.52	0.24
58453.54	19.11	0.19	17.94	0.27	17.86	0.36	18.52	0.24
58453.56	19.11	0.19	17.94	0.27	17.86	0.36	18.52	0.24
58453.56	19.11	0.19	17.94	0.27	17.86	0.36	18.52	0.24
58454.56	19.10	0.19	17.92	0.27	17.86	0.36	18.49	0.23
58454.57	19.10	0.19	17.92	0.27	17.86	0.36	18.49	0.23
58454.58	19.10	0.19	17.92	0.27	17.86	0.36	18.49	0.23
58454.59	19.10	0.19	17.92	0.27	17.86	0.36	18.49	0.23
58455.51	19.10	0.19	17.91	0.27	17.86	0.36	18.46	0.23
58455.52	19.10	0.19	17.91	0.27	17.86	0.36	18.46	0.23
58455.53	19.10	0.19	17.91	0.27	17.86	0.36	18.46	0.23
58455.54	19.10	0.19	17.91	0.27	17.86	0.36	18.46	0.23
58456.00	19.09	0.19	17.90	0.27	17.86	0.36	18.45	0.23
58457.78	19.08	0.19	17.87	0.27	17.85	0.36	18.41	0.23
58459.51	19.07	0.19	17.85	0.27	17.84	0.36	18.38	0.24
58459.52	19.07	0.19	17.85	0.27	17.84	0.36	18.38	0.24
58459.53	19.07	0.19	17.85	0.27	17.84	0.36	18.38	0.24
58459.54	19.07	0.19	17.85	0.27	17.84	0.36	18.38	0.24
58461.49	19.05	0.18	17.84	0.26	17.82	0.36	18.37	0.25
58461.49	19.05	0.18	17.84	0.26	17.82	0.36	18.37	0.25
58461.49	19.05	0.18	17.84	0.26	17.82	0.36	18.37	0.25
58461.49	19.05	0.18	17.84	0.26	17.82	0.36	18.37	0.25
58461.49	19.05	0.18	17.84	0.26	17.82	0.36	18.37	0.25
58461.51	19.05	0.18	17.84	0.26	17.82	0.36	18.37	0.25
58461.51	19.05	0.18	17.84	0.26	17.82	0.36	18.37	0.25
58461.51	19.05	0.18	17.84	0.26	17.82	0.36	18.37	0.25
58461.84	19.05	0.18	17.84	0.26	17.82	0.36	18.37	0.26
58464.81	19.04	0.18	17.83	0.26	17.77	0.36	18.39	0.31
58464.83	19.04	0.18	17.83	0.26	17.77	0.36	18.39	0.31
58465.49	19.04	0.18	17.83	0.26	17.76	0.36	18.40	0.33
58465.50	19.04	0.18	17.83	0.26	17.76	0.36	18.40	0.33
58465.50	19.04	0.18	17.83	0.26	17.76	0.36	18.40	0.33
58465.51	19.04	0.18	17.83	0.26	17.76	0.36	18.40	0.33
58466.83	19.04	0.18	17.83	0.26	17.74	0.36	18.42	0.35
58467.90	19.04	0.18	17.83	0.26	17.73	0.36	18.44	0.37
58468.98	19.05	0.18	17.84	0.26	17.72	0.36	18.46	0.39
58469.99	19.07	0.18	17.85	0.26	17.72	0.36	18.48	0.40
58471.79	19.11	0.18	17.88	0.26	17.71	0.36	18.53	0.41
58472.74	19.13	0.18	17.89	0.26	17.72	0.36	18.55	0.42
58473.44	19.15	0.19	17.90	0.27	17.72	0.36	18.57	0.42
58473.45	19.15	0.19	17.90	0.27	17.72	0.36	18.57	0.42
58473.47	19.16	0.19	17.90	0.27	17.72	0.36	18.57	0.42
58473.47	19.16	0.19	17.90	0.27	17.72	0.36	18.57	0.42
58479.46	19.41	0.19	18.05	0.27	17.84	0.36	18.76	0.37
58479.46	19.41	0.19	18.05	0.27	17.84	0.36	18.76	0.37
58479.47	19.41	0.19	18.05	0.27	17.84	0.36	18.76	0.37
58479.48	19.41	0.19	18.05	0.27	17.84	0.36	18.76	0.37
58480.79	19.48	0.18	18.10	0.27	17.88	0.36	18.80	0.35
58480.82	19.48	0.18	18.10	0.27	17.88	0.36	18.80	0.35
58481.49	19.52	0.18	18.12	0.26	17.91	0.36	18.83	0.33
58482.98	19.60	0.18	18.17	0.26	17.96	0.36	18.88	0.30
58483.46	19.62	0.18	18.19	0.26	17.98	0.36	18.90	0.29
58483.47	19.62	0.18	18.19	0.26	17.98	0.36	18.90	0.29
58483.47	19.62	0.18	18.19	0.26	17.98	0.36	18.90	0.29
58483.48	19.62	0.18	18.19	0.26	17.98	0.36	18.90	0.29
58483.69	19.63	0.18	18.20	0.26	17.99	0.36	18.91	0.29
58485.44	19.73	0.18	18.27	0.26	18.06	0.36	18.97	0.26
58485.46	19.74	0.18	18.27	0.26	18.06	0.36	18.97	0.26
58485.46	19.74	0.18	18.27	0.26	18.07	0.36	18.97	0.26
58485.48	19.74	0.18	18.27	0.26	18.07	0.36	18.97	0.26
58486.94	19.82	0.18	18.33	0.26	18.13	0.36	19.03	0.24
58487.46	19.85	0.18	18.35	0.26	18.16	0.36	19.05	0.24
58487.46	19.85	0.18	18.35	0.26	18.16	0.36	19.05	0.24
58487.48	19.85	0.18	18.35	0.26	18.16	0.36	19.06	0.24
58487.49	19.85	0.18	18.35	0.26	18.16	0.36	19.06	0.24
58487.71	19.87	0.18	18.36	0.26	18.17	0.36	19.06	0.24
58489.44	19.96	0.18	18.43	0.26	18.24	0.36	19.14	0.24
58489.45	19.96	0.18	18.43	0.26	18.24	0.36	19.14	0.24
58489.45	19.96	0.18	18.43	0.26	18.24	0.36	19.14	0.24
58489.46	19.97	0.18	18.43	0.26	18.24	0.36	19.14	0.24
58490.71	20.03	0.18	18.48	0.26	18.29	0.36	19.19	0.24
58491.45	20.07	0.18	18.51	0.26	18.32	0.36	19.21	0.25
58491.46	20.07	0.18	18.51	0.26	18.32	0.36	19.21	0.25
