#MJD	g	gerr	r	rerr	o	oerr	c	cerr
58492.94	NaN	NaN	21.10	0.11	NaN	NaN	NaN	NaN
58510.02	19.86	0.20	19.89	0.11	NaN	NaN	NaN	NaN
58511.88	19.80	0.18	19.77	0.10	NaN	NaN	NaN	NaN
58512.88	19.78	0.18	19.68	0.09	NaN	NaN	NaN	NaN
58513.92	19.81	0.19	19.57	0.10	NaN	NaN	NaN	NaN
58523.51	20.02	0.23	19.76	0.16	19.20	0.37	NaN	NaN
58524.94	20.02	0.21	19.80	0.11	19.21	0.36	NaN	NaN
58527.46	20.02	0.26	19.79	0.23	19.22	0.36	NaN	NaN
58527.48	20.02	0.26	19.79	0.23	19.22	0.36	NaN	NaN
58539.47	20.00	0.19	19.17	0.10	19.12	0.35	NaN	NaN
58539.48	20.00	0.19	19.17	0.10	19.12	0.35	NaN	NaN
58539.77	20.00	0.19	19.16	0.10	19.12	0.35	NaN	NaN
58539.80	20.00	0.19	19.16	0.10	19.12	0.35	NaN	NaN
58540.47	20.00	0.19	19.15	0.10	19.12	0.35	NaN	NaN
58543.44	20.02	0.20	19.14	0.11	19.13	0.35	NaN	NaN
58543.75	20.02	0.20	19.14	0.11	19.13	0.36	NaN	NaN
58551.43	20.06	0.29	19.25	0.33	19.13	0.34	NaN	NaN
58551.44	20.06	0.29	19.25	0.33	19.13	0.34	NaN	NaN
58555.41	20.12	0.25	19.26	0.19	19.05	0.34	NaN	NaN
58555.42	20.12	0.25	19.26	0.19	19.05	0.34	NaN	NaN
58555.43	20.12	0.25	19.26	0.19	19.04	0.34	NaN	NaN
58555.44	20.12	0.24	19.26	0.19	19.04	0.34	NaN	NaN
58557.73	20.15	0.18	19.21	0.10	18.95	0.35	NaN	NaN
58557.77	20.15	0.18	19.21	0.10	18.95	0.35	NaN	NaN
58559.39	20.12	0.20	19.15	0.11	18.88	0.35	NaN	NaN
58560.82	20.09	0.20	19.10	0.11	18.82	0.35	NaN	NaN
58564.47	20.08	0.26	18.98	0.19	18.73	0.35	NaN	NaN
58565.44	20.10	0.26	18.96	0.18	18.72	0.34	NaN	NaN
58565.46	20.10	0.26	18.96	0.18	18.72	0.34	NaN	NaN
58568.71	20.13	0.19	18.89	0.10	18.71	0.33	NaN	NaN
58568.77	20.13	0.19	18.89	0.10	18.71	0.33	NaN	NaN
58569.37	20.12	0.19	18.88	0.10	18.72	0.33	NaN	NaN
58569.38	20.12	0.19	18.88	0.10	18.72	0.33	NaN	NaN
58569.38	20.12	0.19	18.88	0.10	18.72	0.33	NaN	NaN
58569.39	20.12	0.19	18.88	0.10	18.72	0.33	NaN	NaN
58571.38	20.06	0.22	18.85	0.13	18.74	0.33	NaN	NaN
58571.39	20.06	0.22	18.85	0.13	18.74	0.33	NaN	NaN
58571.40	20.06	0.22	18.85	0.13	18.74	0.33	NaN	NaN
58571.41	20.06	0.22	18.85	0.13	18.74	0.33	NaN	NaN
58573.39	20.02	0.19	18.82	0.10	18.75	0.33	19.29	0.20
58573.72	20.01	0.19	18.82	0.10	18.75	0.33	19.29	0.20
58573.73	20.01	0.19	18.82	0.10	18.75	0.33	19.29	0.20
58575.37	20.01	0.22	18.80	0.14	18.76	0.33	19.29	0.20
58575.38	20.01	0.22	18.80	0.14	18.76	0.33	19.29	0.20
58575.39	20.01	0.22	18.80	0.14	18.76	0.33	19.29	0.20
58575.40	20.01	0.23	18.80	0.14	18.76	0.33	19.29	0.20
58576.38	20.02	0.25	18.79	0.17	18.76	0.33	19.29	0.20
58576.39	20.02	0.25	18.79	0.17	18.76	0.33	19.29	0.20
58576.40	20.02	0.25	18.79	0.17	18.77	0.33	19.29	0.20
58576.41	20.02	0.25	18.79	0.17	18.77	0.33	19.29	0.20
58577.37	20.02	0.26	18.78	0.19	18.77	0.33	19.29	0.20
58579.35	20.05	0.25	18.77	0.17	18.78	0.33	19.29	0.20
58579.36	20.05	0.25	18.77	0.17	18.78	0.33	19.29	0.20
58579.36	20.05	0.25	18.77	0.17	18.78	0.33	19.29	0.20
58579.37	20.05	0.25	18.77	0.17	18.78	0.33	19.29	0.20
58581.39	20.08	0.20	18.78	0.11	18.77	0.34	19.29	0.20
58581.73	20.09	0.20	18.78	0.11	18.77	0.34	19.29	0.20
58583.35	20.13	0.20	18.80	0.10	18.75	0.35	19.29	0.20
58584.67	20.13	0.18	18.83	0.09	18.73	0.36	19.29	0.20
58584.73	20.13	0.18	18.84	0.09	18.73	0.36	19.29	0.20
58587.71	19.94	0.18	18.93	0.10	18.68	0.37	19.29	0.20
58587.79	19.94	0.18	18.93	0.10	18.68	0.37	19.29	0.20
58592.64	19.88	0.19	18.87	0.10	18.62	0.36	19.29	0.20
58592.73	19.88	0.19	18.87	0.10	18.62	0.36	19.29	0.20
58593.40	19.89	0.20	18.85	0.11	18.62	0.35	19.29	0.20
58595.36	19.94	0.24	18.78	0.14	18.63	0.33	19.29	0.20
58595.38	19.94	0.24	18.78	0.14	18.63	0.33	19.29	0.20
58595.39	19.94	0.24	18.77	0.14	18.63	0.33	19.29	0.20
58597.31	19.99	0.22	18.74	0.13	18.67	0.33	19.29	0.20
58597.32	19.99	0.22	18.74	0.13	18.67	0.33	19.29	0.20
58597.32	19.99	0.22	18.74	0.13	18.67	0.33	19.29	0.20
