#MJD	g	gerr	r	rerr	i	ierr	z	zerr
57673.3	n	n	n	n	n	n	23.26	0.08
57680.3	n	n	22.71	0.13	n	n	n	n
57681.1	23.31	0.24	n	n	22.86	0.26	23.01	0.08
57682.1	n	n	22.78	0.06	22.87	0.05	n	n
57686.3	23.22	0.08	22.85	0.05	n	n	22.86	0.08
57687.2	23.24	0.08	n	n	22.91	0.07	n	n
57694.1	23.23	0.07	22.71	0.03	22.71	0.06	22.73	0.06
57701.1	23.21	0.08	22.68	0.03	22.67	0.03	22.62	0.03
57708.2	23.28	0.1	22.6	0.04	22.61	0.05	22.54	0.05
57714.1	23.43	0.13	22.61	0.05	22.57	0.04	22.5	0.04
57716.2	23.42	0.09	n	n	n	n	n	n
57719.2	23.42	0.08	22.7	0.03	22.54	0.03	22.48	0.03
57724.1	23.47	0.08	22.66	0.03	22.54	0.05	22.46	0.04
57730.1	23.42	0.17	22.57	0.03	22.5	0.04	22.31	0.04
57739.2	23.37	0.15	22.57	0.03	22.4	0.03	22.28	0.04
57746.1	23.26	0.04	22.41	0.02	22.27	0.02	22.24	0.02
57750.2	23.12	0.06	22.29	0.03	22.1	0.04	n	n
57751.1	n	n	n	n	22.25	0.03	22.11	0.03
57756.1	23.02	0.06	22.25	0.02	22.11	0.02	22.02	0.03
57763.1	n	n	22.04	0.03	21.96	0.02	n	n
57770.1	22.6	0.03	21.88	0.01	21.85	0.01	21.76	0.02
57775.2	22.51	0.04	n	n	n	n	n	n
57778.1	n	n	21.82	0.02	n	n	21.65	0.02
57779.1	22.31	0.04	n	n	21.68	0.01	n	n
57782.1	n	n	21.74	0.02	n	n	21.58	0.02
57784.1	22.27	0.03	n	n	21.59	0.02	n	n
57789.1	n	n	21.73	0.05	n	n	21.54	0.02
57791.1	n	n	n	n	21.53	0.02	n	n
57800.1	22.09	0.03	21.58	0.02	n	n	n	n
57803.5	n	n	n	n	21.39	0.01	n	n
57811.5	n	n	21.55	0.2	n	n	n	n
57837.5	21.94	0.1	n	n	n	n	n	n
57845.5	n	n	21.66	0.22	n	n	n	n
57905.4	n	n	22	0.1	n	n	n	n
57906.4	n	n	22.07	0.22	n	n	n	n
57908.4	n	n	22.14	0.15	21.55	0.15	n	n
57955.9	n	n	23.04	0.2	22.88	0.06	n	n
57962.4	22.93	0.05	23.41	0.3	23.27	0.31	23.3	0.3
57987.3	24.87	0.27	23.39	0.06	23.76	0.1	23.36	0.09
57992.3	24.8	0.23	23.51	0.06	23.81	0.11	23.33	0.12
57997.3	n	n	n	n	23.76	0.31	n	n
57998.2	n	n	n	n	23.53	0.24	23.11	0.24
57999.3	n	n	23.49	0.13	n	n	23.47	0.19
58003.3	n	n	23.44	0.17	23.95	0.19	23.37	0.08
58007.4	n	n	23.51	0.09	23.63	0.12	n	n
58009.4	n	n	n	n	23.68	0.12	23.35	0.06
58014.2	24.68	0.2	23.5	0.05	n	n	n	n
58020.3	24.88	0.28	23.64	0.08	24.06	0.1	23.33	0.06
58028.2	n	n	23.52	0.11	n	n	23.37	0.09
58036.3	n	n	23.26	0.11	23.93	0.12	23.48	0.09
58040.3	n	n	23.74	0.07	n	n	23.66	0.1
58045.3	24.9	0.25	23.74	0.07	24.04	0.12	23.64	0.11
58052.1	25	0.24	23.85	0.1	24	0.15	23.54	0.1
58057.2	n	n	23.7	0.09	24.02	0.12	23.55	0.08
58064.2	n	n	23.53	0.12	24.19	0.16	23.67	0.11
58071.2	n	n	23.79	0.06	23.93	0.1	23.62	0.09
58076.3	25.17	0.32	23.93	0.1	24.19	0.18	n	n
58079.1	n	n	n	n	n	n	23.79	0.12
58082.2	n	n	23.92	0.08	24.34	0.17	n	n
58084.3	25.02	0.36	n	n	n	n	23.75	0.11
58092.2	n	n	n	n	n	n	23.9	0.15
58098.2	24.56	0.24	23.93	0.1	24.33	0.17	23.85	0.14
58101.2	n	n	24.09	0.1	24.49	0.17	n	n
58107.2	24.97	0.24	24.05	0.07	24.73	0.16	23.96	0.13
58117.1	n	n	23.97	0.31	24.7	0.32	24.01	0.22
58124.1	n	n	24.34	0.08	24.65	0.14	24.05	0.11
58131.1	n	n	24.47	0.3	25.17	0.33	24.11	0.12
58137.1	n	n	24.55	0.14	n	n	24.37	0.24
58141.1	n	n	24.65	0.28	n	n	n	n
58153.1	n	n	24.48	0.12	n	n	n	n
58160.0	n	n	24.76	0.2	n	n	n	n
