#MJD	B	Berr	V	Verr	R	Rerr	I	Ierr	J	Jerr	H	Herr	K	Kerr	
56884.4	n	n	n	n	n	n	21.10	0.26	n	n	n	n	n	n
56906.4	n	n	n	n	n	n	20.53	0.28	n	n	n	n	n	n
56920.3	n	n	n	n	n	n	20.37	0.25	n	n	n	n	n	n
56927.3	21.05	0.13	20.40	0.20	19.83	0.32	20.20	0.14	n	n	n	n	n	n
56931.3	n	n	n	n	n	n	20.25	0.19	n	n	n	n	n	n
56938.3	n	n	n	n	n	n	20.20	0.27	n	n	n	n	n	n
56942.3	n	n	n	n	n	n	19.95	0.36	n	n	n	n	n	n
56953.2	n	n	n	n	n	n	19.94	0.15	n	n	n	n	n	n
56954.3	20.70	0.12	20.18	0.11	19.87	0.14	19.76	0.16	n	n	n	n	n	n
56958.3	n	n	n	n	n	n	19.91	0.18	n	n	n	n	n	n
56965.2	n	n	n	n	n	n	19.91	0.17	n	n	n	n	n	n
56970.3	n	n	n	n	n	n	19.79	0.19	n	n	n	n	n	n
56975.2	20.77	0.04	19.96	0.06	19.70	0.06	19.85	0.08	n	n	n	n	n	n
56977.2	n	n	n	n	n	n	19.87	0.22	n	n	n	n	n	n
56980.3	n	n	n	n	n	n	19.89	0.12	n	n	n	n	n	n
56985.2	n	n	n	n	n	n	19.90	0.19	n	n	n	n	n	n
56992.3	n	n	n	n	n	n	19.93	0.17	n	n	n	n	n	n
56996.3	n	n	n	n	n	n	19.89	0.20	n	n	n	n	n	n
56997.2	20.77	0.24	19.99	0.26	19.44	0.14	19.86	0.10	n	n	n	n	n	n
57005.3	21.23	0.04	20.00	0.05	19.78	0.05	19.98	0.27	n	n	n	n	n	n
57011.3	n	n	n	n	n	n	19.96	0.19	n	n	n	n	n	n
57015.3	n	n	n	n	n	n	20.06	0.19	n	n	n	n	n	n
57019.3	n	n	n	n	n	n	20.00	0.19	n	n	n	n	n	n
57020.2	21.56	0.05	20.44	0.05	19.93	0.06	19.97	0.07	n	n	n	n	n	n
57023.3	n	n	n	n	n	n	20.12	0.31	n	n	n	n	n	n
57025.2	21.66	0.30	20.42	0.33	19.72	0.12	20.20	0.10	n	n	n	n	n	n
57026.3	n	n	n	n	n	n	20.22	0.28	n	n	n	n	n	n
57029.3	n	n	n	n	n	n	20.21	0.32	n	n	n	n	n	n
57034.3	n	n	n	n	n	n	20.20	0.23	n	n	n	n	n	n
57037.2	22.16	0.09	20.95	0.08	20.44	0.11	20.36	0.10	n	n	n	n	n	n
57039.3	n	n	n	n	n	n	20.38	0.23	n	n	n	n	n	n
57042.3	n	n	n	n	n	n	n	n	19.08	0.52	18.60	0.42	18.53	0.54
57044.3	22.47	0.09	21.38	0.14	20.72	0.08	20.58	0.12	n	n	n	n	n	n
57045.1	n	n	n	n	20.38	0.21	n	n	n	n	n	n	n	n
57046.2	n	n	n	n	20.64	0.24	20.61	0.30	n	n	n	n	n	n
57047.1	n	n	n	n	20.54	0.21	20.77	0.35	n	n	n	n	n	n
57048.2	22.75	0.07	21.56	0.05	21.01	0.06	20.91	0.46	n	n	n	n	n	n
57049.2	n	n	n	n	n	n	20.78	0.32	n	n	n	n	n	n
57050.1	22.80	0.15	21.70	0.06	21.08	0.06	20.87	0.21	n	n	n	n	n	n
