#MJD	g	gerr	r	rerr	i	ierr
56085.85	n	n	21.145	0.343	n	n
56086.93	n	n	20.653	0.371	n	n
56087.91	n	n	20.811	0.098	n	n
56089.84	n	n	20.322	0.137	n	n
56091.89	n	n	20.462	0.147	n	n
56092.79	n	n	20.337	0.08	n	n
56093.88	n	n	20.416	0.157	n	n
56094.79	n	n	20.276	0.082	n	n
56096.81	n	n	20.273	0.09	n	n
56098.83	n	n	20.142	0.072	n	n
56099.74	n	n	20.124	0.015	n	n
56100.80	n	n	20.073	0.085	n	n
56101.73	n	n	20.074	0.153	n	n
56102.80	n	n	20.025	0.062	n	n
56103.73	n	n	19.962	0.078	n	n
56104.77	n	n	20.048	0.072	n	n
56105.76	n	n	19.827	0.058	n	n
56106.75	n	n	20.05	0.162	n	n
56107.78	n	n	19.827	0.075	n	n
56108.78	n	n	19.732	0.233	n	n
56109.68	n	n	19.785	0.083	n	n
56111.76	n	n	19.83	0.147	n	n
56113.79	n	n	19.643	0.062	n	n
56114.73	n	n	19.747	0.064	n	n
56115.84	n	n	19.723	0.045	n	n
56116.74	n	n	19.697	0.09	n	n
56117.82	n	n	19.658	0.039	n	n
56118.75	n	n	19.7	0.078	n	n
56119.80	n	n	19.649	0.065	n	n
56123.78	n	n	19.611	0.051	n	n
56125.80	n	n	19.51	0.088	n	n
56126.80	n	n	19.565	0.049	n	n
56128.78	n	n	19.556	0.084	n	n
56130.75	n	n	19.489	0.047	n	n
56131.77	n	n	19.413	0.075	n	n
56132.77	n	n	19.545	0.045	n	n
56135.73	n	n	19.513	0.036	n	n
56177.68	21.343	0.167	19.754	0.054	19.281	0.028
56178.67	21.136	0.125	n	n	n	n
56186.65	n	n	20.259	0.051	19.833	0.067
56187.68	n	n	20.289	0.068	19.825	0.074
