#MJD	B	Berr	g	gerr	r	rerr	i	ierr	z	zerr
56198.98	n	n	n	n	18.406	0.018	n	n	n	n
56228.94	n	n	n	n	18.041	0.025	n	n	n	n
56238.00	n	n	n	n	17.974	0.002	n	n	n	n
56238.97	n	n	n	n	18.02	0.008	n	n	n	n
56239.99	n	n	n	n	17.984	0.027	n	n	n	n
56240.84	n	n	18.931	0.028	18.007	0.013	17.837	0.038	n	n
56241.80	n	n	19.016	0.047	18.036	0.06	17.779	0.067	n	n
56245.71	19.652	0.06	18.95	0.024	17.993	0.014	17.782	0.012	n	n
56245.77	n	n	19.054	0.036	18.01	0.048	17.791	0.046	17.532	0.02
56246.81	n	n	18.991	0.018	n	n	n	n	n	n
56247.74	n	n	19.049	0.151	17.964	0.023	17.909	0.029	17.843	0.093
56248.78	n	n	19.101	0.06	18.084	0.044	17.822	0.059	17.639	0.122
56250.77	n	n	19.135	0.07	17.937	0.074	17.807	0.028	17.539	0.092
56250.88	19.744	0.039	19.08	0.019	18.011	0.011	17.853	0.014	n	n
56251.70	19.882	0.076	19.034	0.026	18.026	0.02	17.765	0.016	n	n
56252.76	n	n	19.13	0.032	18.066	0.117	17.813	0.045	17.64	0.074
56252.99	n	n	n	n	18.057	0.129	n	n	n	n
56253.81	n	n	19.055	0.102	17.996	0.068	17.897	0.137	n	n
56254.69	19.903	0.079	19.136	0.036	18.029	0.014	17.872	0.015	n	n
56254.72	n	n	n	n	18	0.035	n	n	n	n
56254.76	n	n	19.109	0.03	18.018	0.006	17.867	0.061	17.748	0.104
56256.76	n	n	19.176	0.032	18.144	0.028	17.863	0.076	17.672	0.101
56256.915	n	n	n	n	18.033	0.005	n	n	n	n
56257.68	n	n	19.036	0.078	18.047	0.029	17.875	0.024	n	n
56259.76	n	n	19.226	0.104	18.069	0.063	17.875	0.123	17.544	0.083
56261.75	n	n	n	n	18.14	0.048	n	n	n	n
56264.77	n	n	19.365	0.112	18.14	0.1	17.916	0.015	17.588	0.081
56265.73	n	n	19.47	0.11	18.28	0.12	18.038	0.124	17.649	0.064
56265.76	20.179	0.139	19.433	0.042	18.233	0.021	17.97	0.023	n	n
56266.73	n	n	19.509	0.02	18.303	0.036	17.938	0.068	17.799	0.155
56267.73	n	n	19.666	0.082	18.349	0.085	18.041	0.067	17.873	0.051
56268.65	20.394	0.069	19.618	0.029	18.309	0.012	18.086	0.023	n	n
56268.73	n	n	19.623	0.145	18.491	0.035	18.032	0.017	17.834	0.039
56269.67	n	n	19.764	0.043	18.362	0.048	18.11	0.066	17.809	0.049
56270.72	n	n	19.761	0.075	18.496	0.055	18.177	0.064	17.773	0.146
56270.88	20.401	0.076	n	n	n	n	18.25	0.17	n	n
56271.67	20.628	0.077	19.91	0.033	18.467	0.017	18.183	0.034	n	n
56272.72	n	n	19.928	0.121	18.516	0.055	18.222	0.092	17.847	0.142
56273.72	n	n	19.911	0.119	18.655	0.043	18.294	0.053	17.987	0.123
56274.71	n	n	19.997	0.075	18.604	0.01	18.319	0.102	17.993	0.075
56275.67	n	n	20.16	0.052	18.816	0.107	18.393	0.037	18.091	0.068
56276.68	n	n	20.085	0.045	18.783	0.06	18.432	0.042	17.989	0.09
56277.67	n	n	20.25	0.08	18.741	0.039	18.479	0.069	18.112	0.101
56278.67	n	n	20.215	0.046	18.825	0.079	18.47	0.097	18.25	0.06
