#MJD		U	errU	B	errB	V	errV	R	errR	I	errI	
46849.94	n	n	n	n	5.94	0.05	n	n	n	n
46850.12	n	n	n	n	5.32	0.05	n	n	n	n
46850.95	n	n	n	n	4.74	0.05	n	n	n	n
46851.31	4.00	0.05	4.75	0.05	4.63	0.05	4.40	0.05	4.35	0.05
46851.32	3.99	0.05	4.74	0.05	4.62	0.05	4.40	0.05	4.34	0.05
46852.32	4.19	0.05	4.74	0.05	4.52	0.05	4.21	0.05	4.13	0.05
46853.27	4.52	0.05	4.87	0.05	4.52	0.05	4.20	0.05	4.06	0.05
46853.28	4.49	0.05	4.82	0.05	4.46	0.05	4.12	0.05	4.02	0.05
46853.34	4.50	0.05	4.80	0.05	4.44	0.05	4.11	0.05	4.00	0.05
46853.58	4.63	0.05	4.83	0.05	4.46	0.05	4.10	0.05	n	n
46854.39	5.18	0.05	4.94	0.05	4.43	0.05	4.05	0.05	3.94	0.05
46854.64	5.32	0.05	4.97	0.05	4.45	0.05	4.04	0.05	n	n
46855.29	5.71	0.05	5.08	0.05	4.44	0.05	4.05	0.05	3.92	0.05
46855.62	5.91	0.05	5.17	0.05	4.50	0.05	4.06	0.05	n	n
46856.29	6.18	0.05	5.26	0.05	4.49	0.05	4.05	0.05	3.89	0.05
46856.64	6.28	0.05	5.26	0.05	4.46	0.05	4.03	0.05	n	n
46857.62	6.58	0.05	5.37	0.05	4.48	0.05	4.04	0.05	n	n
46858.29	6.74	0.05	5.41	0.05	4.45	0.05	4.00	0.05	3.79	0.05
46858.61	6.79	0.05	5.43	0.05	4.45	0.05	3.99	0.05	n	n
46859.44	6.93	0.05	5.48	0.05	4.41	0.05	3.96	0.05	3.72	0.05
46859.61	6.98	0.05	5.50	0.05	4.41	0.05	3.96	0.05	n	n
46860.27	7.09	0.05	5.55	0.05	4.40	0.05	3.94	0.05	3.68	0.05
46860.61	7.13	0.05	5.55	0.05	4.38	0.05	3.92	0.05	n	n
46861.25	7.24	0.05	5.57	0.05	4.36	0.05	3.89	0.05	3.62	0.05
46862.27	7.32	0.05	5.60	0.05	4.32	0.05	3.85	0.05	3.56	0.05
46863.39	7.39	0.05	5.63	0.05	4.30	0.05	3.81	0.05	3.50	0.05
46863.61	7.40	0.05	5.66	0.05	4.30	0.05	3.81	0.05	n	n
46864.25	7.47	0.05	5.65	0.05	4.29	0.05	3.78	0.05	3.47	0.05
46864.64	7.45	0.05	5.67	0.05	4.28	0.05	3.77	0.05	n	n
46865.25	7.53	0.05	5.66	0.05	4.27	0.05	3.75	0.05	3.41	0.05
46865.63	7.52	0.05	5.69	0.05	4.27	0.05	3.74	0.05	n	n
46866.24	7.58	0.05	5.67	0.05	4.25	0.05	3.72	0.05	3.36	0.05
46866.65	7.56	0.05	5.71	0.05	4.24	0.05	3.71	0.05	n	n
46867.25	7.61	0.05	5.68	0.05	4.22	0.05	3.66	0.05	3.30	0.05
46868.25	7.67	0.05	5.68	0.05	4.22	0.05	3.66	0.05	3.27	0.05
46868.53	7.68	0.05	5.68	0.05	4.19	0.05	3.58	0.05	n	n
46869.55	7.69	0.05	5.72	0.05	4.20	0.05	3.63	0.05	n	n
46870.59	7.73	0.05	5.73	0.05	4.19	0.05	3.60	0.05	n	n
46871.27	7.74	0.05	5.69	0.05	4.18	0.05	3.56	0.05	3.16	0.05
46872.25	7.76	0.05	5.68	0.05	4.16	0.05	3.53	0.05	3.14	0.05
46873.25	7.78	0.05	5.67	0.05	4.14	0.05	3.50	0.05	3.11	0.05
46873.59	7.80	0.05	5.69	0.05	4.13	0.05	3.50	0.05	n	n
46874.24	7.78	0.05	5.66	0.05	4.11	0.05	3.45	0.05	3.05	0.05
46874.56	7.81	0.05	5.69	0.05	4.11	0.05	3.47	0.05	n	n
46875.25	7.80	0.05	5.65	0.05	4.09	0.05	3.42	0.05	3.03	0.05
46875.57	7.82	0.05	5.68	0.05	4.09	0.05	3.43	0.05	n	n
46876.25	7.80	0.05	5.65	0.05	4.07	0.05	3.40	0.05	3.01	0.05
46876.58	7.81	0.05	5.67	0.05	4.08	0.05	3.40	0.05	n	n
46877.24	7.80	0.05	5.64	0.05	4.06	0.05	3.39	0.05	2.98	0.05
46878.24	7.80	0.05	5.61	0.05	4.05	0.05	3.35	0.05	2.95	0.05
46879.25	7.78	0.05	5.59	0.05	4.02	0.05	3.31	0.05	2.92	0.05
46880.24	7.81	0.05	5.58	0.05	4.00	0.05	3.30	0.05	2.90	0.05
46880.59	7.81	0.05	5.61	0.05	3.99	0.05	3.29	0.05	n	n
46881.24	7.80	0.05	5.56	0.05	3.97	0.05	3.27	0.05	2.87	0.05
46881.58	7.81	0.05	5.58	0.05	3.97	0.05	3.26	0.05	n	n
46882.24	7.81	0.05	5.54	0.05	3.94	0.05	3.23	0.05	2.84	0.05
46882.57	7.79	0.05	5.56	0.05	3.95	0.05	3.24	0.05	n	n
46883.59	7.82	0.05	5.53	0.05	3.91	0.05	3.20	0.05	n	n
46884.30	7.79	0.05	5.48	0.05	3.88	0.05	3.17	0.05	2.79	0.05
46884.58	7.80	0.05	5.51	0.05	3.89	0.05	3.18	0.05	n	n
46885.24	7.79	0.05	5.46	0.05	3.86	0.05	3.15	0.05	2.76	0.05
46885.60	7.80	0.05	5.50	0.05	3.86	0.05	3.15	0.05	n	n
46886.33	7.74	0.05	5.45	0.05	3.82	0.05	3.11	0.05	2.74	0.05
46886.60	7.80	0.05	5.46	0.05	3.83	0.05	3.11	0.05	n	n
46887.25	7.77	0.05	5.40	0.05	3.79	0.05	3.08	0.05	2.70	0.05
46887.58	7.80	0.05	5.43	0.05	3.80	0.05	3.09	0.05	n	n
46888.24	7.78	0.05	5.39	0.05	3.76	0.05	3.04	0.05	2.68	0.05
46889.55	7.81	0.05	5.37	0.05	3.73	0.05	3.02	0.05	n	n
46890.31	7.75	0.05	5.32	0.05	3.71	0.05	2.98	0.05	2.61	0.05
46891.39	7.71	0.05	5.26	0.05	3.66	0.05	2.94	0.05	2.57	0.05
46891.53	7.79	0.05	5.32	0.05	3.66	0.05	2.95	0.05	n	n
46892.24	7.77	0.05	5.26	0.05	3.63	0.05	2.93	0.05	2.54	0.05
46892.53	7.78	0.05	5.29	0.05	3.64	0.05	2.93	0.05	n	n
46893.51	7.77	0.05	5.26	0.05	3.60	0.05	2.90	0.05	n	n
46894.25	7.76	0.05	5.22	0.05	3.58	0.05	2.88	0.05	2.50	0.05
46894.53	7.78	0.05	5.23	0.05	3.57	0.05	2.87	0.05	n	n
46895.25	7.75	0.05	5.19	0.05	3.54	0.05	2.85	0.05	2.48	0.05
46895.52	7.75	0.05	5.21	0.05	3.55	0.05	2.84	0.05	n	n
46896.55	7.76	0.05	5.18	0.05	3.53	0.05	2.82	0.05	n	n
46897.25	7.71	0.05	5.13	0.05	3.50	0.05	2.80	0.05	2.42	0.05
46897.51	7.75	0.05	5.14	0.05	3.49	0.05	2.79	0.05	n	n
46898.25	7.69	0.05	5.09	0.05	3.47	0.05	2.77	0.05	2.40	0.05
46899.24	7.67	0.05	5.07	0.05	3.43	0.05	2.74	0.05	2.38	0.05
46901.24	n	n	n	n	3.34	0.05	2.69	0.05	2.31	0.05
46901.52	7.67	0.05	5.03	0.05	3.38	0.05	2.69	0.05	n	n
46902.50	7.64	0.05	5.01	0.05	3.35	0.05	2.67	0.05	n	n
46903.24	7.58	0.05	4.95	0.05	3.32	0.05	2.67	0.05	2.26	0.05
46903.55	7.61	0.05	4.98	0.05	3.33	0.05	2.63	0.05	n	n
46904.34	7.52	0.05	4.91	0.05	3.29	0.05	2.64	0.05	2.22	0.05
46904.52	7.58	0.05	4.95	0.05	3.30	0.05	2.61	0.05	n	n
46906.29	7.47	0.05	4.86	0.05	3.25	0.05	2.60	0.05	2.19	0.05
46907.24	7.47	0.05	4.85	0.05	3.23	0.05	2.58	0.05	2.17	0.05
46908.49	7.43	0.05	4.85	0.05	3.21	0.05	2.55	0.05	n	n
46909.23	7.40	0.05	4.79	0.05	3.18	0.05	2.54	0.05	2.13	0.05
46909.54	7.41	0.05	4.84	0.05	3.20	0.05	2.51	0.05	n	n
46910.23	7.38	0.05	4.77	0.05	3.16	0.05	2.51	0.05	2.10	0.05
46911.23	7.34	0.05	4.75	0.05	3.14	0.05	2.50	0.05	2.08	0.05
46912.23	7.34	0.05	4.75	0.05	3.13	0.05	2.49	0.05	2.08	0.05
46912.50	7.36	0.05	4.76	0.05	3.14	0.05	2.46	0.05	n	n
46913.49	7.32	0.05	4.73	0.05	3.11	0.05	2.45	0.05	n	n
46914.23	n	n	4.71	0.05	3.11	0.05	2.47	0.05	2.09	0.05
46916.24	7.15	0.05	4.60	0.05	3.03	0.05	2.41	0.05	2.01	0.05
46917.22	7.19	0.05	4.63	0.05	3.04	0.05	2.42	0.05	2.02	0.05
46918.22	7.20	0.05	4.65	0.05	3.04	0.05	2.42	0.05	2.04	0.05
46918.51	7.21	0.05	4.66	0.05	3.04	0.05	2.38	0.05	n	n
46919.21	7.17	0.05	4.62	0.05	3.03	0.05	2.38	0.05	1.99	0.05
46919.48	7.19	0.05	4.65	0.05	3.04	0.05	2.38	0.05	n	n
46920.50	7.19	0.05	4.64	0.05	3.03	0.05	2.35	0.05	n	n
46923.22	7.09	0.05	4.57	0.05	3.00	0.05	2.32	0.05	1.96	0.05
46923.50	7.15	0.05	4.61	0.05	3.01	0.05	2.34	0.05	n	n
46924.25	7.08	0.05	4.53	0.05	2.96	0.05	2.30	0.05	1.92	0.05
46924.48	7.11	0.05	4.60	0.05	2.99	0.05	2.32	0.05	n	n
46925.25	7.05	0.05	4.53	0.05	2.95	0.05	2.28	0.05	1.91	0.05
46925.49	7.11	0.05	4.60	0.05	3.00	0.05	2.32	0.05	n	n
46926.50	7.11	0.05	4.59	0.05	2.99	0.05	2.31	0.05	n	n
46929.49	7.10	0.05	4.58	0.05	2.98	0.05	2.30	0.05	n	n
46930.29	7.04	0.05	4.53	0.05	2.96	0.05	2.27	0.05	1.92	0.05
46930.48	7.09	0.05	4.57	0.05	2.98	0.05	2.29	0.05	n	n
46931.53	7.09	0.05	4.58	0.05	2.98	0.05	2.29	0.05	n	n
46932.22	7.06	0.05	4.53	0.05	2.96	0.05	2.28	0.05	1.93	0.05
46934.21	7.06	0.05	4.55	0.05	2.97	0.05	2.29	0.05	1.91	0.05
46935.22	7.04	0.05	4.54	0.05	2.96	0.05	2.29	0.05	1.91	0.05
46935.53	7.12	0.05	4.58	0.05	2.97	0.05	2.30	0.05	n	n
46936.21	7.06	0.05	4.54	0.05	2.97	0.05	2.28	0.05	1.91	0.05
46936.47	7.10	0.05	4.57	0.05	2.98	0.05	2.27	0.05	n	n
46937.49	7.07	0.05	4.58	0.05	2.98	0.05	2.28	0.05	n	n
46939.49	7.11	0.05	4.60	0.05	3.00	0.05	2.28	0.05	n	n
46941.21	7.06	0.05	4.54	0.05	2.98	0.05	2.30	0.05	1.93	0.05
46942.22	7.08	0.05	4.57	0.05	2.98	0.05	2.30	0.05	1.92	0.05
46943.19	7.12	0.05	4.61	0.05	3.02	0.05	2.31	0.05	1.92	0.05
46943.47	7.14	0.05	4.66	0.05	3.03	0.05	2.33	0.05	n	n
46945.47	7.20	0.05	4.69	0.05	3.06	0.05	2.34	0.05	n	n
46947.21	7.20	0.05	4.70	0.05	3.11	0.05	2.39	0.05	1.96	0.05
46948.48	7.28	0.05	4.78	0.05	3.15	0.05	2.40	0.05	n	n
46949.20	7.27	0.05	4.78	0.05	3.15	0.05	2.43	0.05	2.01	0.05
46951.46	7.38	0.05	4.90	0.05	3.24	0.05	2.48	0.05	n	n
46952.19	7.40	0.05	4.91	0.05	3.27	0.05	2.50	0.05	2.06	0.05
46952.45	7.49	0.05	4.97	0.05	3.29	0.05	2.50	0.05	n	n
46953.51	7.47	0.05	5.00	0.05	3.32	0.05	2.52	0.05	n	n
46954.19	7.51	0.05	5.01	0.05	3.35	0.05	2.55	0.05	2.13	0.05
46954.49	7.61	0.05	5.11	0.05	3.39	0.05	2.57	0.05	n	n
