#MJD	B	Berr	V	Verr	R	Rerr	I	Ierr	J	Jerr	H	Herr	K	Kerr
50800.5	n	n	n	n	18.5	0.1	n	n	n	n	n	n	n	n
50820.3	n	n	n	n	17	0.1	n	n	n	n	n	n	n	n
50837.8	18.05	0.1	16.92	0.03	16.43	0.04	16.18	0.03	n	n	n	n	n	n
50845.9	n	n	16.76	0.02	16.27	0.01	15.97	0.01	n	n	n	n	n	n
50846.7	17.85	0.08	16.71	0.04	16.25	0.01	15.92	0.06	n	n	n	n	n	n
50894.7	n	n	n	n	15.78	0.01	n	n	n	n	n	n	n	n
50898.5	17.72	0.11	16.34	0.05	15.77	0.04	15.4	0.05	n	n	n	n	n	n
50899.8	17.83	0.17	16.39	0.03	15.82	0.06	n	n	n	n	n	n	n	n
50900.8	n	n	n	n	n	n	n	n	15.17	0.03	14.66	0.04	14.52	0.05
50918.8	n	n	n	n	n	n	n	n	15.66	0.07	15.04	0.06	n	n
50930.6	n	n	n	n	n	n	n	n	15.4	0.06	14.94	0.09	14.94	0.16
50939.6	19.19	0.28	17.7	0.11	16.86	0.08	16.37	0.08	n	n	n	n	n	n
50960.5	n	n	17.87	0.1	17.03	0.06	n	n	n	n	n	n	n	n
50962.5	19.23	0.1	17.88	0.05	17.04	0.05	16.55	0.05	n	n	n	n	n	n
50991.5	19.57	0.16	18.19	0.09	17.26	0.02	16.81	0.14	n	n	n	n	n	n
51143.8	n	n	19.79	0.02	18.85	0.03	18.37	0.07	n	n	n	n	n	n
51200.7	21.07	0.32	20.45	0.02	19.56	0.03	n	n	n	n	n	n	n	n
51201.7	n	n	n	n	n	n	19.10	0.18	n	n	n	n	n	n
