#MJD		u	uerr	g	gerr	r	rerr	i	ierr	B	Berr	V	Verr
53771.17	n	n	n	n	18	0.1	n	n	n	n	n	n
53773.15	n	n	n	n	18.2	0.1	n	n	n	n	n	n
53773.71	21.93	0.492	18.724	0.012	18.076	0.009	18.021	0.011	19.306	0.024	18.355	0.012
53774.82	21.45	0.231	18.712	0.011	18.042	0.009	17.980	0.011	19.209	0.02	18.305	0.012
53775.67	21.06	0.191	18.684	0.010	18.002	0.009	17.949	0.011	19.171	0.02	18.267	0.01
53778.81	21.08	0.321	18.546	0.019	17.890	0.016	17.825	0.015	19.034	0.039	18.128	0.019
53784.90	19.86	0.380	n	n	n	n	n	n	18.912	0.05	17.956	0.016
53786.88	20.56	0.218	18.302	0.011	17.657	0.009	17.610	0.010	18.772	0.021	17.89	0.011
53795.84	n	n	18.092	0.006	17.455	0.007	17.414	0.008	18.613	0.013	17.701	0.007
53799.75	n	n	17.999	0.006	17.374	0.006	17.344	0.007	18.537	0.011	17.616	0.006
53804.84	n	n	17.916	0.006	17.291	0.005	17.252	0.006	18.435	0.009	17.532	0.007
53805.79	n	n	17.901	0.007	17.282	0.007	17.239	0.008	18.405	0.013	17.531	0.008
53818.77	n	n	17.769	0.009	17.135	0.008	17.096	0.009	18.287	0.013	17.388	0.009
53824.73	n	n	17.749	0.006	17.106	0.006	17.059	0.007	18.291	0.009	17.351	0.006
53832.75	n	n	17.813	0.006	17.130	0.007	17.071	0.008	18.344	0.01	17.391	0.007
53838.75	n	n	17.942	0.016	17.205	0.009	17.144	0.010	18.458	0.041	17.499	0.014
53846.73	n	n	18.258	0.008	17.430	0.006	17.339	0.008	18.888	0.014	17.787	0.007
53853.64	n	n	18.752	0.009	17.795	0.008	17.664	0.009	19.426	0.018	18.219	0.009
53862.57	n	n	19.263	0.016	18.186	0.010	18.041	0.012	19.950	0.03	18.676	0.014
53867.57	n	n	19.337	0.029	18.278	0.012	18.143	0.017	20.174	0.086	18.757	0.026
53892.56	n	n	19.697	0.026	18.518	0.018	18.443	0.024	n	n	19.052	0.048
53898.56	n	n	19.759	0.020	18.567	0.015	18.500	0.021	20.468	0.034	19.213	0.018
