#MJD		Y	Yerr	J	Jerr	H	Herr
53807.87	17.23	0.02	16.398	0.025	16.257	0.046	
53808.85	17.304	0.024	16.375	0.027	16.224	0.042	
53810.87	17.311	0.022	16.377	0.02	n	n	
53813.87	17.245	0.021	16.38	0.019	n	n	
53820.87	17.232	0.022	16.371	0.018	16.201	0.044	
53826.83	17.223	0.02	16.366	0.022	16.16	0.051	
53834.87	17.154	0.009	16.248	0.009	16.05	0.014	
53839.83	17.056	0.019	16.188	0.02	16.05	0.04	
53845.83	16.953	0.008	16.093	0.009	15.838	0.013	
53848.83	16.914	0.016	16.052	0.016	15.838	0.032	
53868.80	16.673	0.015	15.794	0.011	15.615	0.027	
