#MJD		u	uerr	g	gerr	r	rerr	i	ierr	B	Berr	V	Verr
53805.89	20.609	0.21	18.428	0.015	17.614	0.027	17.106	0.093	19.079	0.018	17.991	0.013
53809.85	n	n	18.366	0.027	17.589	0.028	17.327	0.026	19.308	0.065	17.963	0.02
53815.86	20.815	0.198	18.468	0.024	17.696	0.051	17.388	0.039	19.206	0.027	18.061	0.024
53818.90	20.446	0.23	18.563	0.016	17.637	0.023	17.335	0.028	19.219	0.023	18.079	0.019
53819.90	20.751	0.225	18.578	0.022	17.575	0.035	n	n	19.244	0.02	18.056	0.02
53823.83	20.123	0.287	18.549	0.016	17.604	0.024	17.371	0.026	19.144	0.018	18.061	0.018
53824.87	20.448	0.226	18.485	0.011	17.557	0.016	17.369	0.018	19.149	0.019	18.036	0.013
53828.89	20.555	0.265	18.321	0.036	n	n	n	n	19.054	0.01	17.953	0.018
53829.92	19.982	0.237	18.542	0.038	n	n	n	n	19.056	0.025	n	n
53830.89	20.482	0.257	n	n	17.463	0.071	17.402	0.081	19.011	0.013	18.045	0.039
53831.83	20.288	0.299	18.304	0.018	17.451	0.018	17.362	0.025	n	n	17.982	0.018
53832.86	20.389	0.297	18.408	0.009	n	n	n	n	18.992	0.015	17.957	0.01
53835.87	20.285	0.282	18.335	0.021	17.501	0.037	17.239	0.025	18.923	0.016	17.918	0.018
53838.82	20.291	0.314	18.175	0.021	17.376	0.024	17.083	0.033	18.775	0.04	17.775	0.018
53840.83	20.185	0.224	18.121	0.024	17.376	0.025	17.168	0.024	18.796	0.029	17.76	0.015
53841.85	19.82	0.225	18.133	0.021	17.341	0.029	17.112	0.023	18.788	0.026	17.749	0.019
53845.82	n	n	18.096	0.012	17.266	0.017	17.043	0.019	18.703	0.021	17.666	0.012
53850.81	n	n	18.087	0.011	17.222	0.017	16.991	0.02	18.72	0.014	17.601	0.01
53853.85	n	n	18.056	0.016	17.185	0.025	16.974	0.023	18.677	0.013	17.598	0.016
53858.79	n	n	18.016	0.007	17.105	0.006	16.929	0.015	18.649	0.02	17.506	0.015
53861.82	n	n	18.006	0.016	17.099	0.028	16.867	0.023	18.654	0.013	17.535	0.016
53862.80	n	n	18.018	0.009	17.084	0.008	n	n	18.653	0.014	17.509	0.009
53866.75	n	n	17.966	0.024	16.996	0.031	16.824	0.020	18.628	0.021	17.464	0.017
53867.78	n	n	17.978	0.029	16.981	0.035	16.866	0.035	18.678	0.028	17.491	0.024
53870.80	n	n	18.028	0.018	17.013	0.018	16.764	0.017	18.675	0.034	17.467	0.012
53871.79	n	n	18.031	0.017	17.022	0.016	16.799	0.018	18.768	0.029	17.486	0.015
53872.78	n	n	18.085	0.03	16.994	0.043	16.792	0.032	18.776	0.022	17.562	0.026
53886.78	n	n	n	n	n	n	17.049	0.059	19.36	0.02	18.041	0.041
53890.72	n	n	18.832	0.026	17.469	0.024	17.258	0.025	19.437	0.179	18.127	0.063
53891.74	n	n	18.883	0.017	17.551	0.023	17.258	0.025	19.692	0.026	18.211	0.016
53892.76	n	n	18.987	0.064	17.623	0.069	17.353	0.054	19.729	0.013	18.212	0.024
53893.71	n	n	19.097	0.073	17.479	0.042	17.305	0.044	19.839	0.024	18.299	0.016
53894.75	n	n	n	n	17.669	0.017	17.473	0.019	19.854	0.035	18.34	0.01
53897.66	n	n	n	n	18.015	0.15	n	n	20.477	0.095	18.83	0.097
53898.71	n	n	n	n	18.434	0.116	n	n	21.185	0.231	19.041	0.202
