#MJD	B	Berr	V	Verr	R	Rerr	I	Ierr	g	gerr	r	rerr	i	ierr	z	zerr
55188.3	n	n	n	n	19.124	0.079	n	n	n	n	n	n	n	n	n	n
55189.1	n	n	n	n	19.055	0.102	n	n	n	n	n	n	n	n	n	n
55192.2	n	n	n	n	18.893	0.065	n	n	n	n	n	n	n	n	n	n
55206.3	n	n	n	n	18.457	0.057	n	n	n	n	n	n	n	n	n	n
55207.8	n	n	n	n	18.38	0.052	n	n	n	n	n	n	n	n	n	n
55211.2	n	n	n	n	18.226	0.044	n	n	n	n	n	n	n	n	n	n
55212.2	19.789	0.095	18.605	0.037	18.25	0.03	17.988	0.043	19.121	0.07	n	n	n	n	n	n
55214.4	19.625	0.072	n	n	n	n	n	n	n	n	n	n	n	n	n	n
55215.2	n	n	n	n	n	n	n	n	19.042	0.058	n	n	n	n	n	n
55219.3	19.604	0.061	n	n	n	n	n	n	18.95	0.059	n	n	n	n	n	n
55220.2	19.681	0.062	n	n	n	n	n	n	18.921	0.05	18.159	0.026	18.097	0.026	17.999	0.0369
55225.2	n	n	18.321	0.034	17.96	0.028	17.571	0.027	n	n	n	n	n	n	n	n
55229.2	19.372	0.084	n	n	n	n	n	n	n	n	n	n	n	n	n	n
55233.1	n	n	18.26	0.058	n	n	n	n	n	n	n	n	n	n	n	n
55234.2	19.218	0.048	n	n	n	n	n	n	n	n	n	n	n	n	n	n
55235.2	n	n	n	n	17.75	0.042	n	n	n	n	n	n	n	n	n	n
55236.1	n	n	n	n	n	n	n	n	n	n	17.935	0.023	17.826	0.027	17.581	0.038
55238.1	n	n	18.028	0.029	17.718	0.024	n	n	n	n	n	n	n	n	n	n
55244.1	n	n	17.996	0.032	17.641	0.026	17.315	0.021	n	n	n	n	n	n	n	n
55247.1	19.081	0.056	n	n	n	n	n	n	n	n	n	n	n	n	n	n
55251.1	19.064	0.03	n	n	n	n	n	n	18.373	0.021	n	n	n	n	n	n
55254.2	n	n	n	n	n	n	n	n	n	n	17.662	0.027	17.553	0.03	17.407	0.042
55260.2	n	n	17.854	0.019	17.416	0.019	17.093	0.022	n	n	17.63	0.026	17.541	0.029	17.447	0.037
55263.1	19.033	0.044	n	n	n	n	n	n	18.382	0.033	n	n	n	n	n	n
55264.1	n	n	17.861	0.028	17.453	0.024	17.114	0.02	n	n	n	n	n	n	n	n
55270.2	n	n	17.9	0.025	n	n	n	n	n	n	n	n	n	n	n	n
55271.0	n	n	n	n	17.455	0.039	n	n	n	n	n	n	n	n	n	n
55271.1	n	n	n	n	17.456	0.021	17.127	0.023	n	n	n	n	n	n	n	n
55274.1	19.243	0.046	17.94.	0.029	17.441	0.027	17.173	0.022	18.537	0.039	17.624	0.026	n	n	n	n
55276.1	19.223	0.065	n	n	n	n	n	n	18.555	0.038	n	n	n	n	n	n
55277.1	n	n	18.025	0.04	17.493	0.023	17.216	0.039	n	n	n	n	n	n	n	n
55278.1	n	n	n	n	17.506	0.051	n	n	n	n	n	n	n	n	n	n
55279.0	19.425	0.049	n	n	n	n	n	n	18.645	0.036	17.77	0.039	17.668	0.051	17.519	0.055
55280.1	n	n	18.081	0.027	17.548	0.022	17.291	0.02	n	n	n	n	n	n	n	n
55283.1	n	n	n	n	17.638	0.044	n	n	n	n	17.839	0.025	17.743	0.045	17.541	0.059
55290.1	20.201	0.035	n	n	17.915	0.115	17.522	0.14	19.234	0.033	18.105	0.032	18.056	0.037	17.799	0.044
55292.0	n	n	18.838	0.066	n	n	n	n	n	n	n	n	n	n	n	n
55292.0	n	n	n	n	18.011	0.052	n	n	n	n	n	n	n	n	n	n
55295.0	20.721	0.129	n	n	n	n	n	n	19.41	0.068	18.191	0.053	18.299	0.076	18.028	0.069
55305.1	21.015	0.129	19.204	0.049	18.387	0.032	18.001	0.033	19.906	0.078	18.6	0.044	18.532	0.066	18.308	0.072
55307.0	n	n	19.112	0.086	n	n	18.045	0.052	n	n	n	n	n	n	n	n
55313.0	n	n	19.33	0.053	18.562	0.035	18.158	0.039	n	n	n	n	n	n	n	n
55314.0	n	n	n	n	n	n	n	n	20.07	0.116	18.721	0.071	18.635	0.099	18.472	0.108
55321.0	n	n	n	n	n	n	n	n	20.128	0.101	18.776	0.062	18.769	0.055	n	n
55338.0	n	n	n	n	n	n	n	n	20.4	0.116	n	n	n	n	n	n
55351.0	n	n	19.754	0.059	n	n	n	n	n	n	n	n	n	n	n	n
55355.0	n	n	n	n	18.876	0.042	n	n	20.643	0.131	n	n	n	n	n	n
