#MJD	g	gerr	r	rerr	i	ierr
58249.77	NaN	NaN	20.63	0.35	NaN	NaN
58261.81	NaN	NaN	19.69	0.19	NaN	NaN
58311.69	NaN	NaN	19.01	0.05	NaN	NaN
58314.67	NaN	NaN	18.84	0.07	NaN	NaN
58314.75	18.93	0.05	18.89	0.23	NaN	NaN
58320.73	18.96	0.31	18.78	0.27	19.62	0.14
58325.79	19.04	0.30	18.72	0.24	19.45	0.19
58326.77	19.07	0.29	18.73	0.02	19.51	0.20
58330.71	19.18	0.06	18.71	0.22	19.51	0.20
58330.80	19.21	0.25	18.67	0.07	19.51	0.20
58331.82	19.25	0.26	18.72	0.22	19.58	0.20
58333.66	19.34	0.26	18.71	0.04	19.49	0.20
58336.65	19.50	0.28	18.78	0.22	19.40	0.15
58336.71	19.51	0.28	18.84	0.04	19.48	0.19
58340.65	19.74	0.26	18.84	0.23	19.58	0.20
58343.65	19.93	0.23	18.87	0.06	19.66	0.20
58343.67	19.91	0.08	18.88	0.23	19.66	0.20
58345.66	20.05	0.23	18.92	0.23	19.71	0.14
58346.65	20.14	0.20	18.94	0.23	19.76	0.20
58346.67	20.10	0.23	18.95	0.05	19.76	0.20
58350.72	20.31	0.27	19.03	0.23	19.92	0.20
58353.65	20.43	0.29	18.98	0.05	19.90	0.24
58357.73	20.56	0.26	19.41	0.16	19.87	0.27
58360.64	20.64	0.34	19.28	0.22	19.84	0.24
58360.75	20.64	0.23	19.20	0.11	19.84	0.24
58363.63	20.70	0.22	19.29	0.22	19.81	0.22
58363.65	20.73	0.18	19.29	0.22	19.84	0.20
58363.73	20.70	0.22	19.34	0.11	19.84	0.20
58366.71	20.83	0.23	19.27	0.23	19.89	0.20
58367.64	20.78	0.22	19.26	0.23	19.90	0.16
58369.63	20.83	0.22	19.23	0.08	19.99	0.23
58369.73	20.67	0.31	19.23	0.23	19.99	0.23
58373.63	21.02	0.23	19.15	0.07	20.16	0.26
58373.71	21.03	0.30	19.19	0.25	20.16	0.26
58379.62	21.40	0.24	19.20	0.42	20.41	0.29
58381.67	21.57	0.30	19.22	0.50	NaN	NaN
58465.05	NaN	NaN	21.34	0.31	NaN	NaN
58468.06	NaN	NaN	21.23	0.21	NaN	NaN
