#MJD		uvw2	w2err	uvm2	m2err	uvw1	w1err
58414.62	16.87	0.104	17.495	0.166	17.009	0.153
58415.71	18.466	0.223	18.552	0.226	17.274	0.142
58416.74	19.169	0.351	n	n	18.563	0.322
58419.79	n	n	n	n	18.375	0.256
58424.98	19.873	0.614	19.567	0.352	19.24	0.514
58428.62	n	n	19.461	0.42	18.991	0.552
58459.80	19.114	0.355	n	n	18.771	0.341
58464.88	19.035	0.342	n	n	n	n
58466.68	n	n	n	n	18.673	0.487
58477.04	19.283	0.4	n	n	18.052	0.209
58484.95	n	n	19.828	0.46	17.636	0.14
58492.44	18.62	0.182	19.872	0.42	17.742	0.121
58497.08	18.585	0.211	n	n	17.826	0.178
58499.23	18.902	0.365	n	n	n	n
58506.78	18.782	0.208	n	n	18.126	0.17
58531.30	n	n	n	n	19.675	0.419
