#MJD	g	gerr	r	rerr	i	ierr
58221.76	NaN	NaN	21.86	0.32	NaN	NaN
58230.77	NaN	NaN	21.23	0.23	NaN	NaN
58257.77	NaN	NaN	20.39	0.46	NaN	NaN
58267.79	NaN	NaN	20.09	0.13	NaN	NaN
58272.67	NaN	NaN	19.91	0.05	NaN	NaN
58272.73	21.55	0.15	19.98	0.37	NaN	NaN
58272.84	21.56	0.05	19.98	0.37	20.25	0.24
58276.70	21.86	0.02	19.95	0.04	19.78	0.08
58276.74	21.85	0.16	19.90	0.37	19.77	0.07
58277.67	21.71	0.35	19.88	0.37	19.65	0.12
58279.74	21.20	0.37	19.69	0.03	19.43	0.12
58280.76	21.02	0.11	19.82	0.37	19.35	0.12
58282.69	20.97	0.48	19.79	0.37	19.27	0.07
58283.71	20.95	0.37	20.05	0.05	19.27	0.07
58284.73	20.94	0.19	19.76	0.37	19.29	0.09
58286.68	NaN	NaN	19.73	0.37	19.34	0.09
58291.76	NaN	NaN	19.46	0.06	19.37	0.08
58292.68	NaN	NaN	19.65	0.38	19.36	0.10
58297.77	NaN	NaN	19.62	0.07	19.26	0.17
58299.80	NaN	NaN	19.60	0.38	19.24	0.12
58307.68	NaN	NaN	19.48	0.07	NaN	NaN
58311.68	NaN	NaN	19.79	0.10	NaN	NaN
58323.67	NaN	NaN	19.68	0.13	NaN	NaN
58336.70	NaN	NaN	19.69	0.09	NaN	NaN
58364.64	NaN	NaN	20.41	0.35	NaN	NaN
58466.02	NaN	NaN	21.24	0.33	NaN	NaN
