#MJD	g	gerr	r	rerr
58492.94	NaN	NaN	21.11	0.28
58510.02	19.85	0.13	19.86	0.30
58511.88	19.83	0.38	19.83	0.10
58512.88	19.63	0.17	19.70	0.25
58513.92	19.85	0.39	19.51	0.08
58524.94	20.02	0.44	19.81	0.15
58539.77	19.98	0.32	19.18	0.26
58539.80	20.00	0.38	19.14	0.14
58543.75	20.02	0.43	19.14	0.15
58557.73	20.13	0.38	19.24	0.13
58557.77	20.23	0.29	19.19	0.26
58560.82	20.08	0.42	19.09	0.10
58568.71	20.20	0.08	18.90	0.26
58568.77	20.10	0.38	18.88	0.04
58573.72	19.98	0.18	18.82	0.26
58573.73	20.02	0.38	18.82	0.05
58581.73	20.08	0.42	18.78	0.04
58584.67	20.10	0.38	18.81	0.07
58584.73	20.26	0.23	18.85	0.24
58587.71	19.84	0.20	18.90	0.24
58587.79	19.96	0.38	18.98	0.12
58592.64	19.80	0.35	18.87	0.25
58592.73	19.91	0.38	18.88	0.15
58598.64	20.01	0.44	18.74	0.05
58601.75	20.04	0.44	18.97	0.06
58608.69	20.33	0.19	NaN	NaN
