#MJD	g	gerr	r	rerr
59177.02	20.11	0.12	NaN	NaN
59177.05	20.05	0.25	20.26	0.20
59179.99	19.98	0.13	20.09	0.22
59180.03	20.06	0.23	20.04	0.12
59182.03	20.03	0.17	20.06	0.22
59182.96	20.12	0.24	19.92	0.20
59185.01	20.19	0.24	20.11	0.19
59189.01	20.34	0.24	19.91	0.17
59189.04	20.39	0.23	19.96	0.21
59193.04	20.46	0.10	19.90	0.22
59194.04	20.52	0.23	19.89	0.05
59196.03	20.58	0.21	19.86	0.22
59197.01	20.59	0.23	19.94	0.10
59199.02	20.68	0.17	19.82	0.22
59201.02	20.61	0.24	19.76	0.18
59203.98	20.58	0.25	19.71	0.11
59204.04	20.58	0.18	19.75	0.22
59220.00	20.26	0.25	19.58	0.09
59220.03	20.13	0.15	19.55	0.23
59223.90	20.33	0.17	19.50	0.22
59223.96	20.30	0.23	19.50	0.06
59225.94	20.40	0.12	19.47	0.22
59229.93	20.34	0.25	19.51	0.13
59231.92	20.33	0.12	19.39	0.22
59231.96	20.33	0.26	19.26	0.05
59248.92	20.25	0.25	19.20	0.04
59248.96	20.20	0.11	19.25	0.22
59252.87	20.25	0.24	19.34	0.06
59252.99	20.26	0.09	19.22	0.22
59254.90	20.25	0.24	19.20	0.02
59256.87	20.29	0.08	19.20	0.21
59258.84	20.23	0.24	19.22	0.05
59262.84	20.19	0.24	19.13	0.06
59262.91	20.21	0.07	19.17	0.21
59264.87	20.17	0.24	19.16	0.04
59268.85	20.15	0.24	19.14	0.04
59268.93	20.07	0.13	19.18	0.22
59274.71	20.23	0.24	19.22	0.22
59274.86	20.25	0.23	19.20	0.07
59276.76	20.27	0.16	19.24	0.22
59276.87	20.31	0.23	19.21	0.06
59278.91	20.38	0.24	19.33	0.04
59280.86	20.55	0.15	19.30	0.22
59290.82	20.62	0.10	19.53	0.22
59290.84	20.66	0.26	19.44	0.04
59295.77	20.83	0.28	19.62	0.10
59302.74	21.16	0.24	20.00	0.14
59302.83	21.13	0.35	19.95	0.22
59304.81	21.27	0.23	20.05	0.07
59304.85	21.13	0.23	20.02	0.21
59307.75	21.44	0.23	20.07	0.08
59307.78	21.66	0.28	20.12	0.21
59311.67	21.58	0.25	20.32	0.23
59313.71	21.61	0.26	20.25	0.09
59313.75	21.59	0.25	20.29	0.21
59315.75	21.64	0.29	20.45	0.13
59322.77	21.63	0.43	20.46	0.09
59329.73	21.57	0.49	20.53	0.23
59335.71	21.51	0.43	20.50	0.21
59338.74	21.48	0.37	20.70	0.13
59342.78	21.47	0.29	20.49	0.10
59344.76	21.45	0.27	20.75	0.22
59348.69	21.50	0.33	21.07	0.27
59353.68	21.56	0.41	20.83	0.25
59367.72	21.77	0.33	21.10	0.24
59371.69	21.83	0.35	21.13	0.23
59371.73	NaN	NaN	21.13	0.23
59375.73	NaN	NaN	21.28	0.28
59379.71	NaN	NaN	21.06	0.34
