#MJD	g	gerr	r	rerr	o	oerr	c	cerr
59177.02	20.06	0.12	NaN	NaN	NaN	NaN	NaN	NaN
59177.05	20.06	0.11	20.15	0.16	NaN	NaN	NaN	NaN
59179.99	20.04	0.11	20.10	0.15	NaN	NaN	NaN	NaN
59180.03	20.04	0.11	20.10	0.15	NaN	NaN	NaN	NaN
59182.03	20.08	0.11	20.06	0.15	NaN	NaN	NaN	NaN
59182.96	20.10	0.11	20.05	0.15	NaN	NaN	NaN	NaN
59185.01	20.18	0.11	20.01	0.15	NaN	NaN	NaN	NaN
59189.01	20.35	0.11	19.96	0.15	NaN	NaN	NaN	NaN
59189.04	20.35	0.11	19.96	0.15	NaN	NaN	NaN	NaN
59193.04	20.49	0.11	19.90	0.15	NaN	NaN	NaN	NaN
59194.04	20.52	0.11	19.89	0.15	NaN	NaN	NaN	NaN
59196.03	20.58	0.11	19.86	0.15	NaN	NaN	NaN	NaN
59197.01	20.60	0.11	19.85	0.15	NaN	NaN	NaN	NaN
59199.02	20.63	0.11	19.82	0.15	NaN	NaN	NaN	NaN
59201.02	20.63	0.11	19.79	0.15	NaN	NaN	NaN	NaN
59203.98	20.58	0.11	19.75	0.16	NaN	NaN	NaN	NaN
59204.04	20.58	0.11	19.75	0.16	NaN	NaN	NaN	NaN
59220.00	20.23	0.11	19.55	0.16	NaN	NaN	NaN	NaN
59220.03	20.23	0.11	19.55	0.16	NaN	NaN	NaN	NaN
59221.55	20.25	0.11	19.53	0.15	19.32	0.37	NaN	NaN
59221.56	20.25	0.11	19.53	0.15	19.32	0.37	NaN	NaN
59223.90	20.31	0.11	19.50	0.15	19.31	0.38	NaN	NaN
59223.96	20.31	0.11	19.50	0.15	19.31	0.38	NaN	NaN
59225.94	20.35	0.11	19.47	0.15	19.30	0.39	NaN	NaN
59229.61	20.35	0.11	19.42	0.15	19.27	0.41	19.66	0.29
59229.61	20.35	0.11	19.42	0.15	19.27	0.41	19.66	0.29
59229.62	20.35	0.11	19.42	0.15	19.27	0.41	19.66	0.29
59229.65	20.35	0.11	19.42	0.15	19.27	0.41	19.66	0.29
59229.93	20.35	0.11	19.41	0.15	19.27	0.41	19.64	0.30
59231.53	20.34	0.11	19.39	0.16	19.25	0.42	19.55	0.30
59231.92	20.33	0.11	19.39	0.16	19.25	0.42	19.55	0.30
59231.96	20.33	0.11	19.39	0.16	19.25	0.42	19.55	0.30
59232.57	20.33	0.12	19.38	0.16	19.24	0.42	19.56	0.30
59232.60	20.33	0.12	19.38	0.16	19.24	0.42	19.56	0.30
59248.92	20.23	0.12	19.25	0.16	19.06	0.35	19.59	0.31
59248.96	20.23	0.11	19.25	0.16	19.06	0.35	19.59	0.31
59249.66	20.24	0.11	19.24	0.15	19.05	0.35	19.59	0.31
59251.56	20.24	0.11	19.23	0.15	19.04	0.34	19.59	0.31
59251.56	20.24	0.11	19.23	0.15	19.04	0.34	19.59	0.31
59251.57	20.24	0.11	19.23	0.15	19.04	0.34	19.59	0.31
59251.58	20.24	0.11	19.23	0.15	19.04	0.34	19.59	0.31
59252.87	20.25	0.11	19.23	0.15	19.04	0.34	19.59	0.31
59252.99	20.25	0.11	19.23	0.15	19.04	0.35	19.59	0.31
59254.90	20.26	0.11	19.22	0.15	19.05	0.35	19.59	0.31
59255.46	20.26	0.11	19.21	0.15	19.05	0.36	19.59	0.30
59255.47	20.26	0.11	19.21	0.15	19.05	0.36	19.59	0.30
59256.87	20.26	0.11	19.20	0.15	19.06	0.36	19.57	0.31
59257.53	20.25	0.11	19.20	0.15	19.06	0.37	19.54	0.29
59257.54	20.25	0.11	19.20	0.15	19.06	0.37	19.54	0.29
59257.55	20.25	0.11	19.20	0.15	19.06	0.37	19.54	0.29
59258.84	20.24	0.11	19.19	0.15	19.07	0.37	19.58	0.31
59261.45	20.21	0.11	19.18	0.15	19.08	0.37	19.53	0.29
59261.46	20.21	0.11	19.18	0.15	19.08	0.37	19.53	0.29
59261.46	20.21	0.11	19.18	0.15	19.08	0.37	19.53	0.29
59262.84	20.19	0.11	19.17	0.15	19.08	0.37	19.58	0.31
59262.91	20.19	0.11	19.17	0.15	19.09	0.37	19.58	0.31
59264.87	20.16	0.11	19.17	0.15	19.09	0.36	19.59	0.31
59267.50	20.13	0.11	19.17	0.15	19.09	0.35	19.59	0.31
59267.50	20.13	0.11	19.17	0.15	19.09	0.35	19.59	0.31
59267.51	20.13	0.11	19.17	0.15	19.09	0.35	19.59	0.31
59267.52	20.13	0.11	19.17	0.15	19.09	0.35	19.59	0.31
59268.85	20.13	0.11	19.17	0.15	19.09	0.34	19.59	0.31
59268.93	20.13	0.11	19.17	0.15	19.09	0.34	19.59	0.31
59269.37	20.13	0.11	19.17	0.15	19.09	0.35	19.59	0.31
59269.38	20.13	0.11	19.17	0.15	19.09	0.35	19.59	0.31
