#MJD	g	gerr	r	rerr
58985.77	NaN	NaN	21.01	0.26
58991.79	NaN	NaN	21.28	0.28
58991.81	21.04	0.21	21.01	0.29
58994.77	21.70	0.34	20.93	0.29
58994.81	21.35	0.43	20.93	0.29
58998.80	21.37	0.43	20.73	0.15
58998.85	21.32	0.26	20.80	0.28
59001.76	21.37	0.43	20.63	0.28
59011.75	21.31	0.43	20.31	0.13
59011.79	21.42	0.34	20.38	0.28
59014.73	21.27	0.42	20.33	0.12
59017.71	21.30	0.22	20.20	0.27
59017.75	21.22	0.42	20.24	0.11
59020.72	20.95	0.17	20.10	0.27
59020.75	21.16	0.42	20.24	0.10
59023.69	21.09	0.42	19.94	0.07
59023.73	21.25	0.22	20.00	0.27
59026.73	20.99	0.36	19.91	0.27
59026.75	21.02	0.42	19.68	0.21
59029.71	20.94	0.43	20.05	0.17
59032.75	20.86	0.43	19.57	0.13
59035.79	20.78	0.43	19.77	0.26
59038.71	20.71	0.43	19.66	0.07
59038.73	20.46	0.15	19.65	0.28
59041.71	20.96	0.30	19.59	0.28
59044.71	20.55	0.43	19.61	0.07
59047.71	20.46	0.42	19.47	0.03
59050.69	20.36	0.09	19.42	0.28
59050.75	20.38	0.42	19.42	0.05
59053.69	20.23	0.09	19.37	0.28
59055.69	20.27	0.42	19.31	0.05
59059.67	20.20	0.41	19.24	0.06
59059.78	20.28	0.34	19.27	0.27
59062.69	19.96	0.21	19.24	0.27
59062.75	20.17	0.41	19.26	0.07
59064.69	20.02	0.25	19.21	0.27
59064.77	20.15	0.41	19.30	0.06
59067.65	20.15	0.41	19.18	0.06
59067.73	20.31	0.25	19.18	0.27
59069.69	20.15	0.41	19.10	0.03
59072.73	20.11	0.09	19.15	0.27
59073.67	20.16	0.41	19.24	0.04
59075.67	20.05	0.08	19.15	0.27
59075.73	20.18	0.41	19.04	0.04
59077.73	20.23	0.11	19.16	0.28
59078.67	20.21	0.42	19.16	0.05
59080.67	20.23	0.42	19.17	0.05
59080.69	20.35	0.21	19.19	0.29
59082.71	20.26	0.31	19.21	0.30
59118.61	NaN	NaN	20.23	0.16
59120.61	NaN	NaN	20.35	0.18
59122.61	NaN	NaN	20.57	0.24
59199.05	NaN	NaN	20.86	0.20
59201.06	NaN	NaN	20.62	0.21
59203.06	NaN	NaN	20.70	0.17
59205.07	NaN	NaN	20.67	0.30
59232.04	NaN	NaN	20.50	0.16
59248.94	NaN	NaN	20.53	0.31
59253.02	NaN	NaN	21.00	0.19
59266.89	NaN	NaN	21.26	0.04
59268.96	NaN	NaN	21.13	0.36
