#MJD	g	gerr	r	rerr	o	oerr	c	cerr
58985.77	NaN	NaN	21.11	0.23	NaN	NaN	NaN	NaN
58991.79	NaN	NaN	21.02	0.20	NaN	NaN	NaN	NaN
58991.81	21.32	0.27	21.02	0.20	NaN	NaN	NaN	NaN
58992.45	21.33	0.27	21.01	0.20	19.53	0.35	NaN	NaN
58994.77	21.35	0.26	20.94	0.20	19.51	0.38	NaN	NaN
58994.81	21.35	0.26	20.94	0.20	19.51	0.38	NaN	NaN
58998.80	21.38	0.25	20.80	0.20	19.45	0.45	NaN	NaN
58998.85	21.38	0.25	20.79	0.20	19.45	0.45	NaN	NaN
59001.76	21.38	0.26	20.69	0.20	19.41	0.48	NaN	NaN
59011.75	21.32	0.26	20.38	0.20	19.35	0.50	NaN	NaN
59011.79	21.32	0.26	20.37	0.20	19.35	0.50	NaN	NaN
59014.73	21.28	0.25	20.29	0.20	19.36	0.48	NaN	NaN
59017.71	21.22	0.25	20.20	0.19	19.37	0.45	NaN	NaN
59017.75	21.22	0.25	20.20	0.19	19.37	0.45	NaN	NaN
59020.72	21.16	0.25	20.10	0.19	19.38	0.40	NaN	NaN
59020.75	21.16	0.25	20.10	0.19	19.38	0.40	NaN	NaN
59023.69	21.09	0.25	20.00	0.19	19.40	0.34	NaN	NaN
59023.73	21.09	0.25	20.00	0.19	19.40	0.34	NaN	NaN
59024.33	21.08	0.25	19.98	0.19	19.40	0.33	NaN	NaN
59026.73	21.02	0.25	19.91	0.19	19.40	0.32	NaN	NaN
59026.75	21.02	0.25	19.90	0.19	19.40	0.32	NaN	NaN
59028.35	20.98	0.25	19.86	0.20	19.40	0.33	NaN	NaN
59029.71	20.94	0.25	19.83	0.20	19.39	0.34	NaN	NaN
59032.75	20.86	0.25	19.76	0.20	19.39	0.36	NaN	NaN
59035.79	20.78	0.25	19.70	0.20	19.41	0.34	NaN	NaN
59038.33	20.72	0.25	19.66	0.20	19.44	0.29	NaN	NaN
59038.34	20.72	0.25	19.66	0.20	19.44	0.29	NaN	NaN
59038.71	20.71	0.25	19.65	0.20	19.45	0.29	NaN	NaN
59038.73	20.71	0.25	19.65	0.20	19.45	0.29	NaN	NaN
59040.36	20.67	0.25	19.62	0.20	19.48	0.28	NaN	NaN
59040.36	20.67	0.25	19.62	0.20	19.48	0.28	NaN	NaN
59040.37	20.67	0.25	19.62	0.20	19.48	0.28	NaN	NaN
59040.38	20.67	0.25	19.62	0.20	19.48	0.28	NaN	NaN
59041.39	20.64	0.25	19.60	0.20	19.47	0.29	19.42	0.30
59041.71	20.63	0.25	19.60	0.20	19.47	0.29	19.42	0.30
59044.34	20.56	0.25	19.55	0.20	19.40	0.29	19.42	0.30
59044.35	20.56	0.25	19.55	0.20	19.40	0.29	19.42	0.30
59044.36	20.56	0.25	19.55	0.20	19.40	0.29	19.42	0.30
59044.71	20.55	0.25	19.54	0.20	19.39	0.29	19.42	0.30
59047.71	20.46	0.25	19.48	0.20	19.28	0.29	19.42	0.30
59048.31	20.45	0.25	19.47	0.20	19.26	0.29	19.42	0.30
59048.31	20.45	0.25	19.47	0.20	19.26	0.29	19.42	0.30
59048.33	20.45	0.25	19.47	0.20	19.26	0.29	19.42	0.30
59050.69	20.38	0.25	19.43	0.20	19.17	0.33	19.42	0.30
59050.75	20.38	0.25	19.42	0.20	19.17	0.33	19.42	0.30
59053.69	20.31	0.25	19.37	0.20	19.05	0.36	19.42	0.30
59054.34	20.29	0.25	19.36	0.20	19.02	0.36	19.42	0.30
59054.36	20.29	0.25	19.36	0.20	19.02	0.36	19.42	0.30
59055.69	20.26	0.25	19.33	0.20	18.97	0.35	19.42	0.30
59058.27	20.21	0.25	19.29	0.19	18.88	0.32	19.42	0.30
59059.67	20.19	0.25	19.28	0.19	18.85	0.31	19.42	0.30
59059.78	20.19	0.25	19.27	0.19	18.85	0.31	19.42	0.30
59060.28	20.18	0.25	19.27	0.19	18.84	0.31	19.42	0.30
59062.69	20.16	0.25	19.24	0.19	18.87	0.31	19.42	0.30
59062.75	20.16	0.25	19.24	0.19	18.87	0.31	19.42	0.30
59064.32	20.15	0.25	19.22	0.19	18.93	0.31	19.42	0.30
59064.69	20.14	0.25	19.22	0.19	18.95	0.31	19.42	0.30
59064.77	20.14	0.25	19.22	0.19	18.95	0.31	19.42	0.30
59067.65	20.14	0.25	19.18	0.19	19.11	0.31	19.42	0.30
59067.73	20.14	0.25	19.18	0.19	19.11	0.31	19.42	0.30
59068.27	20.14	0.25	19.18	0.19	19.14	0.31	19.42	0.30
59068.29	20.14	0.25	19.18	0.19	19.14	0.31	19.42	0.30
59069.69	20.14	0.25	19.17	0.19	19.18	0.32	19.42	0.30
59070.28	20.14	0.25	19.16	0.19	19.19	0.33	19.42	0.30
59072.31	20.15	0.25	19.15	0.19	19.20	0.36	19.42	0.30
59072.73	20.16	0.25	19.15	0.19	19.20	0.37	19.42	0.30
59073.67	20.16	0.25	19.15	0.19	19.19	0.37	19.42	0.30
59075.67	20.18	0.25	19.15	0.19	19.17	0.36	19.42	0.30
59075.73	20.18	0.25	19.15	0.19	19.17	0.36	19.42	0.30
59077.73	20.20	0.25	19.16	0.19	19.15	0.33	19.42	0.30
59078.67	20.21	0.25	19.16	0.19	19.14	0.31	19.42	0.30
59080.26	20.23	0.25	19.18	0.20	19.14	0.29	19.42	0.30
59080.27	20.23	0.25	19.18	0.20	19.14	0.29	19.42	0.30
59080.27	20.23	0.25	19.18	0.20	19.14	0.29	19.42	0.30
59080.28	20.23	0.25	19.18	0.20	19.14	0.29	19.42	0.30
59080.67	20.23	0.26	19.18	0.20	19.14	0.29	19.42	0.30
