#MJD	B	Berr	V	Verr	g	gerr	r	rerr	i	ierr
59496	17.93	0.07	17.97	0.06	17.81	0.03	18.03	0.03	18.26	0.04
59498.1	17.93	0.06	17.86	0.03	17.73	0.03	17.87	0.03	18.07	0.03
59499	17.95	0.08	17.88	0.04	17.75	0.04	17.84	0.02	18.05	0.03
59501	18.02	0.07	17.89	0.03	17.78	0.04	17.78	0.02	17.98	0.03
59501.9	18.01	0.06	17.88	0.03	17.78	0.04	17.76	0.02	17.95	0.02
59504.9	18.09	0.06	17.83	0.03	17.86	0.04	17.69	0.03	17.86	0.03
59509.1	18.35	0.09	17.91	0.05	17.98	0.06	17.7	0.04	17.8	0.05
59511.6	18.56	0.08	18.03	0.03	18.08	0.03	17.77	0.04	17.92	0.03
59515.1	18.77	0.07	18.12	0.03	18.27	0.03	17.87	0.02	18	0.03
59518	18.91	0.06	18.16	0.03	18.37	0.03	17.9	0.03	18.03	0.04
59521.9	18.98	0.06	18.21	0.04	18.43	0.04	17.92	0.03	17.98	0.03
59527.2	19.2	0.09	18.24	0.03	18.56	0.03	17.96	0.03	18.03	0.04
59532	19.26	0.09	18.24	0.03	18.58	0.04	18.02	0.03	18.02	0.04
59549.9	18.77	0.08	17.94	0.04	18.17	0.03	17.76	0.03	17.77	0.04
59562.8	18.43	0.11	17.73	0.08	17.91	0.08	17.49	0.07	n	n
59569.1	18.32	0.06	17.57	0.03	17.79	0.04	17.37	0.03	17.42	0.03
59576.8	18.23	0.07	17.47	0.03	17.68	0.03	17.28	0.03	17.3	0.05
59583.1	18.28	0.11	17.5	0.03	17.68	0.03	17.28	0.03	17.29	0.04
59590.9	18.25	0.16	17.47	0.07	17.7	0.07	17.32	0.09	17.29	0.06
59605.1	19.2	0.15	17.93	0.08	18.34	0.06	n	n	17.72	0.09
59609.1	19.39	0.1	18.26	0.05	18.63	0.05	17.86	0.04	17.89	0.05
59731.2	20.75	0.1	19.92	0.06	20.13	0.05	n	n	19.57	0.09
59741.1	20.78	0.13	19.91	0.07	20.21	0.06	19.18	0.04	19.61	0.07
59749.4	20.86	0.14	20.07	0.11	20.32	0.09	19.18	0.06	19.63	0.09
59765.3	20.99	0.11	20.12	0.05	20.48	0.04	19.34	0.03	19.65	0.05
59785.2	21.02	0.1	20.43	0.07	20.67	0.06	19.56	0.04	19.97	0.15
59792.7	21.15	0.09	20.47	0.14	20.76	0.06	19.56	0.03	20.02	0.06
59800.7	21.24	0.16	20.37	0.07	20.71	0.08	19.59	0.04	20.15	0.07
59813.3	21.15	0.08	20.46	0.06	20.82	0.06	19.61	0.03	20.1	0.05
59846.7	21.47	0.09	20.85	0.06	21	0.05	20.02	0.03	20.16	0.06
59850.4	21.49	0.1	20.82	0.06	20.99	0.05	20.06	0.04	20.26	0.06
59865.3	21.57	0.21	n	n	21.13	0.15	20.21	0.08	20.5	0.16
59895.2	21.68	0.2	n	n	n	n	20.44	0.08	20.68	0.31
59501.9	n	n	17.94	0.04	17.83	0.09	17.78	0.03	17.91	0.04
59510.9	18.59	0.23	18.01	0.06	n	n	17.77	0.03	17.78	0.14
59511.9	18.57	0.24	18	0.08	18.17	0.07	17.78	0.04	17.85	0.05
59512.8	18.69	0.21	18.05	0.05	18.17	0.07	17.77	0.02	n	n
59514.9	18.78	0.21	17.99	0.05	18.2	0.04	17.87	0.02	17.93	0.04
59515.9	18.73	0.18	18.14	0.06	18.3	0.04	17.96	0.02	18.03	0.03
59516.9	18.89	0.21	18.09	0.08	18.36	0.04	17.92	0.02	18	0.04
59517.9	18.95	0.21	18.21	0.06	18.34	0.05	17.97	0.03	17.96	0.03
59518.9	19.03	0.18	18.22	0.06	18.33	0.06	17.92	0.02	18.08	0.03
59538.8	n	n	18.18	0.09	18.47	0.05	17.94	0.03	17.85	0.03
59539.8	n	n	18.22	0.05	18.48	0.09	17.97	0.05	17.89	0.05
59555.8	18.62	0.23	17.85	0.03	18.04	0.05	17.61	0.02	17.68	0.04
59565.8	n	n	n	n	17.82	0.24	17.39	0.13	17.46	0.07
59585.8	18.28	0.19	17.48	0.06	17.73	0.05	17.32	0.02	17.29	0.02
59586.7	18.25	0.21	17.47	0.03	17.69	0.04	17.29	0.02	17.24	0.04
59591.7	18.26	0.26	17.66	0.08	17.73	0.07	17.31	0.05	17.3	0.04
59593.7	18.38	0.23	17.6	0.1	17.75	0.08	17.37	0.05	17.32	0.05
59594.7	18.37	0.21	17.67	0.07	17.88	0.05	17.42	0.03	17.4	0.05
59597.7	n	n	17.71	0.16	17.99	0.05	17.45	0.05	17.48	0.05
59598.8	n	n	17.77	0.06	18.09	0.07	17.43	0.06	17.45	0.03
59603.7	19	0.17	17.92	0.07	18.21	0.04	17.67	0.07	17.62	0.04
