#MJD	g	gerr	r	rerr	i	ierr
59291.99	21.57	0.26	NaN	NaN	NaN	NaN
59300.96	21.60	0.37	20.66	0.24	NaN	NaN
59303.94	21.59	0.32	20.60	0.26	NaN	NaN
59307.00	21.57	0.25	20.66	0.10	NaN	NaN
59307.93	21.56	0.22	20.61	0.22	NaN	NaN
59309.92	21.53	0.22	20.60	0.22	20.73	0.24
59309.94	21.58	0.17	20.60	0.22	20.72	0.25
59309.98	21.52	0.22	20.50	0.12	20.72	0.25
59312.90	21.46	0.22	20.61	0.16	20.70	0.24
59312.92	21.41	0.19	20.61	0.22	20.70	0.24
59316.87	21.44	0.21	20.64	0.23	20.67	0.23
59316.90	21.42	0.22	20.64	0.23	20.67	0.23
59319.89	21.47	0.22	20.67	0.23	20.64	0.23
59319.93	21.38	0.26	20.67	0.23	20.64	0.23
59322.78	21.58	0.23	20.63	0.23	20.61	0.23
59322.92	21.65	0.26	20.69	0.22	20.61	0.23
59323.94	21.64	0.25	20.70	0.22	20.67	0.19
59324.84	21.67	0.27	20.85	0.25	20.58	0.23
59328.81	21.82	0.35	20.62	0.21	20.52	0.23
59328.90	21.82	0.36	20.70	0.22	20.50	0.28
59336.89	21.97	0.28	20.77	0.14	20.40	0.23
59338.86	21.95	0.24	20.59	0.22	20.36	0.23
59338.92	22.00	0.20	20.59	0.22	20.36	0.23
59339.84	21.93	0.23	20.47	0.05	20.35	0.23
59341.90	21.86	0.23	20.52	0.21	20.34	0.22
59341.91	21.86	0.23	20.56	0.07	20.32	0.22
59342.88	21.77	0.19	20.50	0.21	20.30	0.22
59344.90	21.73	0.22	20.44	0.07	20.28	0.22
59345.90	21.78	0.18	20.43	0.21	20.26	0.22
59346.91	21.63	0.22	20.34	0.07	20.25	0.22
59348.88	21.43	0.12	20.35	0.22	20.23	0.22
59349.82	21.48	0.25	20.36	0.08	20.22	0.22
59352.88	21.40	0.30	20.26	0.22	20.13	0.22
59353.83	21.38	0.32	20.39	0.12	20.18	0.22
59356.83	21.36	0.32	20.16	0.22	20.20	0.23
59356.86	21.36	0.32	20.01	0.13	20.16	0.22
59359.86	21.36	0.27	20.11	0.21	20.06	0.29
59359.90	21.36	0.27	19.97	0.22	20.14	0.21
59361.95	21.35	0.26	20.09	0.21	20.14	0.21
59362.79	21.39	0.23	20.19	0.08	20.14	0.21
59362.86	21.39	0.23	20.09	0.21	20.08	0.20
59364.81	21.42	0.22	20.09	0.06	20.14	0.21
59365.82	21.44	0.13	20.07	0.21	20.14	0.21
59365.88	21.43	0.22	20.07	0.21	20.00	0.17
59366.88	21.43	0.22	20.06	0.04	20.14	0.21
59367.92	21.50	0.12	20.06	0.21	20.14	0.21
59369.83	21.43	0.22	20.05	0.04	20.15	0.21
59370.71	21.43	0.22	20.04	0.21	20.30	0.25
59370.88	21.31	0.11	20.04	0.21	20.16	0.21
59371.84	21.43	0.22	20.09	0.08	20.16	0.22
59373.85	21.56	0.19	20.03	0.21	20.17	0.22
59373.87	21.44	0.22	20.05	0.07	20.17	0.22
59374.76	21.44	0.22	20.02	0.21	20.31	0.21
59376.78	21.41	0.22	19.99	0.03	20.20	0.22
59376.85	21.36	0.10	20.02	0.21	20.20	0.22
59377.79	21.41	0.21	20.02	0.21	20.17	0.15
59378.81	21.41	0.22	20.01	0.04	20.22	0.22
59378.86	21.42	0.15	20.03	0.21	20.22	0.22
59380.84	21.42	0.22	20.01	0.05	20.24	0.22
59381.82	21.38	0.17	20.06	0.21	20.25	0.22
59382.85	21.46	0.25	20.02	0.06	20.26	0.22
59385.77	21.59	0.29	20.26	0.10	20.29	0.23
59387.90	21.72	0.30	20.12	0.27	20.31	0.23
59390.83	21.91	0.27	20.24	0.14	20.35	0.23
59391.85	21.98	0.25	20.37	0.21	20.22	0.26
59392.81	22.04	0.28	20.42	0.22	20.37	0.23
59392.83	22.04	0.25	20.41	0.12	20.37	0.23
59394.94	22.18	0.25	20.52	0.22	20.40	0.23
59397.71	22.34	0.25	20.57	0.10	20.43	0.24
59399.77	22.48	0.30	20.75	0.21	20.46	0.24
59399.82	NaN	NaN	20.86	0.09	20.46	0.24
59401.84	NaN	NaN	20.97	0.10	20.48	0.25
59404.71	NaN	NaN	20.89	0.21	20.60	0.23
59404.71	NaN	NaN	21.04	0.18	20.51	0.25
59406.73	NaN	NaN	20.87	0.09	20.53	0.26
59408.73	NaN	NaN	20.80	0.09	20.55	0.27
59410.75	NaN	NaN	20.80	0.11	20.57	0.28
59412.87	NaN	NaN	21.12	0.26	20.59	0.29
59423.75	NaN	NaN	20.91	0.09	20.66	0.34
59427.69	NaN	NaN	20.90	0.10	20.68	0.36
59430.71	NaN	NaN	20.93	0.13	20.69	0.37
59434.69	NaN	NaN	20.90	0.11	20.70	0.37
59436.71	NaN	NaN	20.83	0.23	20.70	0.37
59438.74	NaN	NaN	21.09	0.25	20.70	0.37
59441.67	NaN	NaN	20.91	0.20	20.71	0.37
59447.71	NaN	NaN	21.08	0.27	20.71	0.34
59450.66	NaN	NaN	20.97	0.16	20.71	0.33
59452.69	NaN	NaN	20.92	0.10	20.71	0.32
59454.77	NaN	NaN	20.93	0.13	20.71	0.31
59458.69	NaN	NaN	21.00	0.11	20.70	0.29
59460.71	NaN	NaN	20.99	0.22	20.70	0.28
59462.73	NaN	NaN	20.91	0.17	20.70	0.27
