#MJD	g	gerr	r	rerr	i	ierr
59390.79	NaN	NaN	20.37	0.14	NaN	NaN
59392.81	21.18	0.15	20.44	0.33	NaN	NaN
59392.84	21.32	0.43	20.53	0.09	NaN	NaN
59394.84	21.55	0.20	20.37	0.32	NaN	NaN
59396.73	21.49	0.40	20.39	0.06	NaN	NaN
59397.75	21.52	0.23	20.26	0.31	NaN	NaN
59399.73	21.52	0.40	20.31	0.06	NaN	NaN
59399.77	21.73	0.15	20.18	0.31	NaN	NaN
59401.77	21.46	0.40	20.03	0.04	NaN	NaN
59402.83	21.58	0.17	20.02	0.31	NaN	NaN
59403.81	21.34	0.40	20.02	0.06	NaN	NaN
59404.71	21.27	0.40	19.92	0.31	20.18	0.17
59404.83	21.12	0.18	19.92	0.31	20.08	0.24
59407.69	21.06	0.42	19.70	0.04	19.92	0.22
59407.71	21.06	0.42	19.76	0.32	20.00	0.14
59407.75	21.07	0.12	19.76	0.32	19.92	0.22
59411.71	20.81	0.44	19.45	0.09	19.71	0.21
59411.79	20.80	0.44	19.56	0.32	19.56	0.11
59414.73	20.51	0.29	19.44	0.33	19.56	0.21
59415.71	20.69	0.45	19.40	0.33	19.39	0.12
59419.75	20.74	0.46	19.19	0.21	19.36	0.22
59422.82	20.79	0.43	19.21	0.32	19.37	0.13
59423.72	21.02	0.21	19.19	0.32	19.24	0.21
59423.76	20.79	0.41	19.21	0.05	19.24	0.21
59425.73	20.61	0.12	19.16	0.32	19.19	0.21
59425.77	20.78	0.40	19.16	0.32	19.27	0.09
59427.69	20.75	0.40	19.14	0.04	19.16	0.21
59427.73	20.88	0.20	19.13	0.33	19.16	0.21
59429.75	20.62	0.16	19.10	0.33	19.13	0.22
59430.68	20.69	0.41	19.09	0.33	19.05	0.06
59434.71	20.75	0.17	19.04	0.33	19.09	0.23
59435.68	20.58	0.41	19.03	0.33	19.07	0.06
59436.71	20.57	0.41	19.08	0.05	19.09	0.23
59436.74	20.35	0.14	19.02	0.33	19.09	0.23
59439.68	20.57	0.21	18.98	0.32	19.08	0.24
59441.67	20.56	0.45	19.00	0.06	19.07	0.24
59443.76	20.58	0.48	18.81	0.12	19.07	0.24
59447.71	20.61	0.47	18.92	0.04	19.05	0.24
59450.67	20.61	0.44	18.89	0.04	19.03	0.24
59450.69	20.67	0.24	18.87	0.32	19.03	0.24
59454.66	20.57	0.43	18.84	0.33	19.09	0.07
59454.69	20.52	0.15	18.84	0.33	18.99	0.23
59459.66	20.56	0.43	18.82	0.33	18.88	0.06
59460.69	20.43	0.11	18.82	0.33	18.93	0.21
59460.71	20.57	0.42	18.81	0.03	18.93	0.21
59462.65	20.59	0.42	18.81	0.33	18.91	0.06
59464.68	20.82	0.21	18.81	0.32	18.89	0.21
59464.73	20.61	0.42	18.81	0.03	18.89	0.21
59465.65	20.61	0.41	18.81	0.32	18.84	0.06
59468.66	20.39	0.15	18.82	0.33	18.86	0.21
59468.73	20.58	0.41	18.79	0.04	18.86	0.21
59469.65	20.57	0.41	18.82	0.33	18.84	0.07
59470.70	20.65	0.25	18.83	0.33	18.85	0.22
59474.68	20.53	0.47	18.86	0.33	18.87	0.10
59476.68	20.50	0.47	18.99	0.07	NaN	NaN
59480.66	20.42	0.30	18.95	0.32	NaN	NaN
59480.70	20.46	0.44	18.77	0.10	NaN	NaN
59485.68	20.40	0.36	19.06	0.32	NaN	NaN
59487.64	NaN	NaN	19.19	0.08	NaN	NaN
59489.65	NaN	NaN	19.04	0.08	NaN	NaN
59491.66	NaN	NaN	19.32	0.20	NaN	NaN
59502.60	NaN	NaN	19.62	0.06	NaN	NaN
59504.60	NaN	NaN	19.72	0.06	NaN	NaN
59521.58	NaN	NaN	19.84	0.07	NaN	NaN
59525.58	NaN	NaN	19.79	0.06	NaN	NaN
59527.58	NaN	NaN	19.78	0.10	NaN	NaN
59601.02	NaN	NaN	20.46	0.21	NaN	NaN
59622.04	NaN	NaN	20.88	0.15	NaN	NaN
59625.99	NaN	NaN	20.56	0.32	NaN	NaN
59631.04	NaN	NaN	20.48	0.21	NaN	NaN
59637.95	NaN	NaN	20.66	0.27	NaN	NaN
59640.02	NaN	NaN	21.31	0.29	NaN	NaN
59675.92	NaN	NaN	21.50	0.28	NaN	NaN
59679.88	NaN	NaN	21.11	0.29	NaN	NaN
