#MJD	g	gerr	r	rerr	i	ierr	o	oerr	c	cerr
59390.79	NaN	NaN	20.44	0.17	NaN	NaN	NaN	NaN	NaN	NaN
59392.81	21.31	0.22	20.44	0.15	NaN	NaN	NaN	NaN	NaN	NaN
59392.84	21.31	0.22	20.44	0.15	NaN	NaN	NaN	NaN	NaN	NaN
59394.84	21.43	0.21	20.40	0.15	NaN	NaN	NaN	NaN	NaN	NaN
59396.73	21.51	0.21	20.35	0.15	NaN	NaN	NaN	NaN	NaN	NaN
59397.75	21.54	0.21	20.31	0.15	NaN	NaN	NaN	NaN	NaN	NaN
59399.73	21.56	0.21	20.21	0.14	NaN	NaN	NaN	NaN	NaN	NaN
59399.77	21.56	0.21	20.21	0.14	NaN	NaN	NaN	NaN	NaN	NaN
59401.77	21.49	0.21	20.10	0.14	NaN	NaN	NaN	NaN	NaN	NaN
59402.83	21.42	0.21	20.03	0.14	NaN	NaN	NaN	NaN	NaN	NaN
59403.81	21.35	0.21	19.98	0.14	NaN	NaN	NaN	NaN	NaN	NaN
59404.71	21.28	0.21	19.92	0.14	20.13	0.10	NaN	NaN	NaN	NaN
59404.83	21.27	0.21	19.92	0.14	20.12	0.10	NaN	NaN	NaN	NaN
59405.34	21.23	0.21	19.88	0.14	20.09	0.09	19.51	0.35	NaN	NaN
59407.69	21.05	0.21	19.74	0.14	19.93	0.09	19.45	0.33	NaN	NaN
59407.71	21.05	0.21	19.74	0.14	19.93	0.09	19.45	0.33	NaN	NaN
59407.75	21.05	0.21	19.74	0.14	19.93	0.09	19.45	0.33	NaN	NaN
59409.34	20.94	0.22	19.65	0.15	19.82	0.09	19.40	0.32	NaN	NaN
59411.71	20.79	0.22	19.53	0.15	19.67	0.09	19.33	0.32	NaN	NaN
59411.79	20.79	0.22	19.52	0.15	19.66	0.09	19.33	0.32	NaN	NaN
59413.32	20.71	0.22	19.46	0.15	19.58	0.09	19.28	0.32	NaN	NaN
59414.73	20.67	0.22	19.41	0.15	19.51	0.09	19.24	0.32	NaN	NaN
59415.32	20.66	0.22	19.39	0.15	19.48	0.09	19.22	0.32	NaN	NaN
59415.71	20.66	0.22	19.38	0.15	19.47	0.09	19.21	0.32	NaN	NaN
59417.36	20.68	0.23	19.32	0.16	19.41	0.09	19.16	0.32	NaN	NaN
59419.33	20.73	0.23	19.26	0.16	19.36	0.09	19.10	0.33	NaN	NaN
59419.75	20.74	0.23	19.25	0.16	19.35	0.09	19.08	0.33	NaN	NaN
59422.82	20.80	0.21	19.20	0.15	19.29	0.09	19.00	0.33	NaN	NaN
59423.72	20.81	0.21	19.19	0.14	19.27	0.09	18.98	0.33	NaN	NaN
59423.76	20.81	0.21	19.19	0.14	19.26	0.09	18.98	0.33	NaN	NaN
59425.35	20.79	0.21	19.17	0.14	19.22	0.09	18.94	0.33	19.55	0.00
59425.73	20.78	0.21	19.16	0.14	19.21	0.09	18.94	0.33	19.56	0.02
59425.77	20.78	0.21	19.16	0.14	19.21	0.09	18.94	0.33	19.56	0.02
59427.69	20.75	0.21	19.13	0.14	19.17	0.09	18.90	0.33	19.58	0.05
59427.73	20.75	0.21	19.13	0.14	19.16	0.09	18.90	0.33	19.58	0.05
59429.35	20.72	0.21	19.11	0.15	19.13	0.09	18.87	0.33	19.60	0.00
59429.75	20.71	0.21	19.11	0.15	19.12	0.09	18.86	0.33	19.60	0.02
59430.68	20.69	0.22	19.09	0.15	19.11	0.09	18.84	0.33	19.61	0.06
59431.34	20.68	0.22	19.09	0.15	19.10	0.09	18.83	0.33	19.61	0.08
59433.36	20.64	0.22	19.07	0.15	19.08	0.09	18.80	0.32	19.62	0.10
59434.71	20.60	0.22	19.05	0.15	19.08	0.09	18.78	0.32	19.63	0.09
59435.33	20.59	0.21	19.05	0.15	19.08	0.09	18.77	0.32	19.63	0.08
59435.68	20.58	0.21	19.04	0.15	19.08	0.09	18.77	0.32	19.63	0.07
59436.71	20.55	0.21	19.03	0.15	19.08	0.09	18.76	0.32	19.63	0.03
59436.74	20.55	0.21	19.03	0.15	19.08	0.09	18.76	0.32	19.63	0.03
59437.30	20.54	0.21	19.02	0.15	19.08	0.09	18.75	0.31	19.63	0.00
59439.27	20.54	0.22	18.99	0.15	19.08	0.09	18.73	0.31	19.61	0.09
59439.68	20.54	0.22	18.98	0.15	19.08	0.09	18.73	0.31	19.61	0.10
59441.32	20.55	0.22	18.95	0.15	19.07	0.09	18.71	0.31	19.58	0.14
59441.67	20.56	0.22	18.94	0.15	19.07	0.09	18.71	0.31	19.58	0.15
59443.32	20.57	0.22	18.91	0.15	19.07	0.09	18.69	0.31	19.55	0.17
59443.76	20.58	0.23	18.90	0.16	19.07	0.09	18.69	0.31	19.54	0.18
59445.26	20.60	0.23	18.89	0.16	19.06	0.10	18.67	0.31	19.52	0.19
59447.29	20.61	0.23	18.89	0.16	19.05	0.10	18.65	0.31	19.48	0.19
59447.71	20.61	0.23	18.89	0.16	19.05	0.09	18.65	0.31	19.48	0.18
59449.33	20.62	0.22	18.88	0.15	19.05	0.09	18.64	0.31	19.44	0.17
