#MJD	g	gerr	r	rerr	i	ierr
59426.75	NaN	NaN	20.58	0.10	NaN	NaN
59427.74	20.64	0.09	20.45	0.26	NaN	NaN
59429.76	20.72	0.12	20.36	0.24	NaN	NaN
59430.68	20.68	0.24	20.33	0.24	20.31	0.26
59430.73	20.68	0.24	20.18	0.13	20.33	0.20
59434.69	20.64	0.24	20.21	0.12	20.18	0.19
59436.68	20.61	0.24	20.06	0.24	20.16	0.17
59436.69	20.61	0.24	20.12	0.10	20.10	0.18
59436.75	20.61	0.24	20.06	0.24	20.10	0.18
59439.68	20.66	0.21	19.92	0.24	19.97	0.18
59439.71	20.55	0.23	19.94	0.08	19.97	0.18
59441.74	20.45	0.18	19.82	0.24	19.89	0.19
59443.75	20.44	0.23	19.72	0.24	19.80	0.19
59447.69	20.28	0.27	19.53	0.24	19.63	0.19
59447.70	20.33	0.22	19.48	0.08	19.63	0.19
59449.71	20.27	0.24	19.44	0.24	19.55	0.19
59450.68	20.27	0.22	19.32	0.04	19.51	0.19
59451.72	20.16	0.10	19.35	0.24	19.46	0.18
59454.66	20.20	0.23	19.24	0.24	19.36	0.11
59454.68	20.31	0.09	19.24	0.24	19.34	0.18
59458.70	20.12	0.23	19.23	0.07	19.19	0.18
59460.68	20.07	0.08	19.04	0.24	19.11	0.18
59460.73	20.07	0.23	18.99	0.04	19.11	0.18
59463.69	19.98	0.23	18.96	0.23	18.88	0.07
59464.72	19.94	0.23	18.87	0.03	18.98	0.17
59465.73	19.98	0.22	18.90	0.23	18.94	0.17
59466.69	19.86	0.23	18.88	0.23	18.92	0.07
59467.65	19.83	0.23	18.80	0.05	18.89	0.17
59469.65	19.75	0.07	18.82	0.23	18.83	0.17
59469.67	19.75	0.23	18.83	0.04	18.83	0.17
59471.68	19.67	0.23	18.78	0.23	18.80	0.11
59471.70	19.67	0.23	18.86	0.12	18.78	0.18
59473.68	19.57	0.14	18.75	0.23	18.74	0.18
59474.68	19.59	0.22	18.73	0.24	18.77	0.09
59476.66	19.39	0.14	18.70	0.24	18.68	0.18
59476.68	19.57	0.23	18.65	0.07	18.68	0.18
59480.66	19.70	0.20	18.63	0.24	18.62	0.19
59480.67	19.59	0.23	18.70	0.08	18.62	0.19
59486.63	19.70	0.12	18.54	0.24	18.57	0.20
59486.66	19.68	0.26	18.57	0.04	18.57	0.20
59488.66	19.72	0.29	18.48	0.03	18.56	0.20
59491.61	19.77	0.37	18.47	0.02	18.56	0.20
59498.61	19.91	0.60	18.44	0.02	18.58	0.21
59503.62	20.01	0.78	18.47	0.35	18.62	0.11
59601.04	21.20	1.00	20.26	0.20	19.84	0.56
59622.02	21.36	0.22	20.20	0.25	20.18	0.23
59622.04	21.36	0.28	20.25	0.08	20.18	0.23
59624.92	21.39	0.32	20.12	0.12	20.23	0.21
59624.98	21.39	0.32	20.20	0.25	20.23	0.28
59631.00	21.44	0.55	20.25	0.13	20.33	0.18
59636.94	21.50	0.78	20.26	0.25	20.34	0.20
59637.93	21.51	0.81	20.15	0.15	20.43	0.18
59639.99	21.53	0.89	20.37	0.06	20.46	0.19
59640.93	21.54	0.92	20.30	0.26	20.57	0.25
59670.89	21.91	1.42	20.73	0.17	20.61	0.19
59670.92	21.91	1.42	20.76	0.25	20.60	0.21
59673.87	21.96	1.43	21.01	0.27	20.60	0.19
59675.92	21.99	1.42	20.73	0.12	20.59	0.19
59679.84	22.05	1.41	20.85	0.24	20.57	0.28
59679.87	22.05	1.41	20.68	0.18	NaN	NaN
59682.84	22.10	1.39	20.93	0.16	NaN	NaN
59693.81	22.27	1.23	21.09	0.18	NaN	NaN
59700.80	22.39	1.07	21.10	0.26	NaN	NaN
59702.86	22.42	1.01	21.01	0.25	NaN	NaN
59707.77	22.49	0.86	21.00	0.25	NaN	NaN
59709.78	22.51	0.79	20.95	0.15	NaN	NaN
59714.84	22.57	0.59	20.87	0.23	NaN	NaN
59717.74	22.60	0.47	21.13	0.14	NaN	NaN
59719.78	22.61	0.39	21.38	0.18	NaN	NaN
59721.82	22.62	0.33	21.27	0.12	NaN	NaN
59724.84	22.64	0.29	21.44	0.26	NaN	NaN
59724.90	NaN	NaN	21.59	0.14	NaN	NaN
