#MJD	g	gerr	r	rerr	i	ierr	o	oerr	c	cerr
59426.75	NaN	NaN	20.50	0.16	NaN	NaN	NaN	NaN	NaN	NaN
59427.74	20.68	0.10	20.45	0.15	NaN	NaN	NaN	NaN	NaN	NaN
59429.76	20.68	0.09	20.36	0.15	NaN	NaN	NaN	NaN	NaN	NaN
59430.68	20.68	0.09	20.32	0.14	20.32	0.06	NaN	NaN	NaN	NaN
59430.73	20.68	0.09	20.32	0.14	20.32	0.06	NaN	NaN	NaN	NaN
59434.69	20.65	0.09	20.16	0.14	20.19	0.06	NaN	NaN	NaN	NaN
59435.33	20.64	0.09	20.13	0.14	20.16	0.06	19.60	0.45	NaN	NaN
59436.68	20.62	0.09	20.07	0.14	20.11	0.06	19.59	0.44	NaN	NaN
59436.69	20.62	0.09	20.07	0.14	20.11	0.06	19.59	0.44	NaN	NaN
59436.75	20.62	0.09	20.07	0.14	20.11	0.06	19.59	0.44	NaN	NaN
59437.32	20.61	0.09	20.04	0.14	20.08	0.06	19.59	0.43	19.99	0.75
59439.29	20.57	0.09	19.94	0.14	20.00	0.06	19.57	0.43	19.99	0.75
59439.68	20.56	0.09	19.92	0.14	19.98	0.06	19.56	0.43	19.99	0.75
59439.71	20.56	0.09	19.92	0.14	19.98	0.06	19.56	0.42	19.99	0.75
59441.34	20.51	0.09	19.84	0.15	19.91	0.06	19.54	0.42	19.99	0.75
59441.37	20.51	0.09	19.84	0.15	19.91	0.06	19.54	0.42	19.99	0.75
59441.74	20.50	0.09	19.82	0.15	19.89	0.06	19.54	0.42	19.99	0.75
59443.29	20.45	0.09	19.74	0.15	19.82	0.06	19.51	0.42	19.99	0.75
59443.30	20.45	0.09	19.74	0.15	19.82	0.06	19.51	0.42	19.99	0.75
59443.30	20.45	0.09	19.74	0.15	19.82	0.06	19.51	0.42	19.99	0.75
59443.30	20.45	0.09	19.74	0.15	19.82	0.06	19.51	0.42	19.99	0.75
59443.31	20.45	0.09	19.74	0.15	19.82	0.06	19.51	0.42	19.99	0.75
59443.75	20.43	0.09	19.72	0.15	19.80	0.06	19.51	0.42	19.99	0.75
59445.24	20.39	0.09	19.64	0.15	19.74	0.06	19.48	0.42	19.99	0.75
59445.24	20.39	0.09	19.64	0.15	19.74	0.06	19.48	0.42	19.99	0.75
59445.25	20.39	0.09	19.64	0.15	19.74	0.06	19.48	0.42	19.99	0.75
59445.26	20.39	0.09	19.64	0.15	19.74	0.06	19.48	0.42	19.99	0.75
59447.69	20.32	0.09	19.52	0.15	19.63	0.06	19.43	0.41	19.99	0.75
59447.70	20.32	0.09	19.52	0.15	19.63	0.06	19.43	0.41	19.99	0.75
59449.25	20.29	0.09	19.45	0.14	19.57	0.06	19.40	0.41	19.99	0.75
59449.25	20.29	0.09	19.45	0.14	19.57	0.06	19.40	0.41	19.99	0.75
59449.71	20.28	0.09	19.43	0.14	19.55	0.06	19.39	0.41	19.99	0.75
59450.68	20.26	0.09	19.39	0.14	19.51	0.06	19.37	0.41	19.99	0.75
59451.29	20.25	0.09	19.36	0.14	19.48	0.06	19.35	0.41	19.99	0.75
59451.30	20.25	0.09	19.36	0.14	19.48	0.06	19.35	0.41	19.99	0.75
59451.30	20.25	0.09	19.36	0.14	19.48	0.06	19.35	0.41	19.99	0.75
59451.32	20.25	0.09	19.36	0.14	19.48	0.06	19.35	0.41	19.99	0.75
59451.72	20.24	0.09	19.35	0.14	19.47	0.06	19.35	0.41	19.99	0.75
59453.24	20.23	0.09	19.29	0.15	19.40	0.06	19.31	0.41	19.99	0.75
59453.25	20.23	0.09	19.29	0.15	19.40	0.06	19.31	0.41	19.99	0.75
59453.26	20.23	0.09	19.29	0.15	19.40	0.06	19.31	0.41	19.99	0.75
59454.66	20.21	0.09	19.24	0.15	19.34	0.06	19.28	0.42	19.99	0.75
