#MJD	g	gerr	r	rerr	i	ierr
59223.47	NaN	NaN	19.54	0.10	NaN	NaN
59225.39	NaN	NaN	18.97	0.14	19.13	0.10
59225.44	18.58	0.10	18.96	0.14	19.04	0.14
59228.30	18.12	0.18	18.22	0.10	18.66	0.13
59228.51	18.10	0.18	18.23	0.11	18.54	0.10
59228.56	17.94	0.10	18.23	0.11	18.63	0.13
59230.68	17.94	0.10	18.08	0.13	18.39	0.14
59231.36	17.90	0.20	18.08	0.12	18.34	0.10
59232.56	17.86	0.23	18.11	0.10	18.22	0.15
59248.36	18.43	0.22	18.17	0.15	18.26	0.10
59249.52	18.52	0.10	18.20	0.11	18.28	0.13
59249.54	18.50	0.20	18.19	0.10	18.28	0.13
59251.19	18.58	0.19	18.26	0.10	18.31	0.10
59251.90	18.62	0.18	18.29	0.10	18.33	0.12
59253.52	18.66	0.10	18.33	0.12	18.36	0.12
59253.54	18.70	0.18	18.33	0.12	18.39	0.10
59255.17	18.74	0.10	18.37	0.11	18.39	0.12
59256.14	18.82	0.18	18.38	0.10	18.41	0.12
59257.08	18.85	0.18	18.47	0.10	18.41	0.10
59257.27	18.94	0.10	18.45	0.10	18.42	0.13
59260.62	18.92	0.19	18.53	0.15	18.44	0.10
59262.47	18.91	0.10	18.54	0.11	18.51	0.12
59262.73	18.92	0.19	18.54	0.10	18.52	0.12
59264.38	18.92	0.20	18.53	0.13	18.58	0.10
59267.22	18.92	0.19	18.49	0.10	18.58	0.10
59267.46	18.92	0.19	18.51	0.10	18.59	0.13
59268.37	18.90	0.10	18.49	0.10	18.59	0.13
59268.41	18.92	0.19	18.46	0.10	18.59	0.13
59272.85	19.00	0.10	18.59	0.10	18.60	0.13
59272.88	19.00	0.18	18.62	0.10	18.60	0.13
59274.29	19.03	0.18	18.55	0.10	18.62	0.10
59275.25	19.06	0.18	18.49	0.10	18.58	0.13
59276.15	19.03	0.10	18.51	0.12	18.58	0.13
59277.60	19.12	0.18	18.52	0.16	18.55	0.10
59278.03	19.19	0.10	18.53	0.16	18.56	0.13
59281.38	19.18	0.24	18.61	0.10	18.55	0.13
59281.86	19.18	0.25	18.60	0.12	18.51	0.10
59291.01	19.12	0.10	18.36	0.11	18.48	0.13
59291.31	19.08	0.18	18.35	0.10	18.48	0.13
59292.24	19.07	0.18	18.36	0.12	18.58	0.10
59292.91	18.97	0.10	18.36	0.13	18.44	0.13
59294.14	19.03	0.18	18.36	0.14	18.34	0.10
59296.21	19.08	0.10	18.34	0.11	18.36	0.12
59296.50	18.99	0.19	18.35	0.10	18.35	0.12
59297.92	18.95	0.19	18.28	0.13	18.27	0.10
59301.24	18.83	0.19	18.09	0.10	18.25	0.13
