#MJD	g	gerr	r	rerr	i	ierr	o	oerr	c	cerr
59223.47	NaN	NaN	19.54	0.03	NaN	NaN	NaN	NaN	NaN	NaN
59225.39	NaN	NaN	18.97	0.02	19.08	0.06	NaN	NaN	NaN	NaN
59225.44	18.54	0.08	18.96	0.02	19.07	0.05	NaN	NaN	NaN	NaN
59228.30	18.10	0.07	18.25	0.02	18.64	0.05	NaN	NaN	NaN	NaN
59228.51	18.07	0.07	18.22	0.02	18.62	0.05	NaN	NaN	NaN	NaN
59228.56	18.07	0.07	18.22	0.02	18.61	0.05	NaN	NaN	NaN	NaN
59229.61	17.97	0.07	18.12	0.03	18.49	0.05	NaN	NaN	17.96	0.18
59229.61	17.97	0.07	18.12	0.03	18.49	0.05	NaN	NaN	17.96	0.18
59229.62	17.97	0.07	18.12	0.03	18.49	0.05	NaN	NaN	17.96	0.18
59229.63	17.97	0.07	18.12	0.03	18.49	0.05	NaN	NaN	17.96	0.18
59230.68	17.92	0.07	18.08	0.03	18.38	0.05	NaN	NaN	17.98	0.18
59231.36	17.89	0.07	18.08	0.02	18.32	0.05	NaN	NaN	17.99	0.18
59231.51	17.89	0.07	18.08	0.02	18.31	0.05	NaN	NaN	17.99	0.18
59231.51	17.89	0.07	18.08	0.02	18.31	0.05	NaN	NaN	17.99	0.18
59231.51	17.89	0.07	18.08	0.02	18.31	0.05	NaN	NaN	17.99	0.18
59231.52	17.89	0.07	18.08	0.02	18.31	0.05	NaN	NaN	17.99	0.18
59232.56	17.86	0.08	18.11	0.03	18.23	0.06	NaN	NaN	18.02	0.18
59235.52	17.86	0.15	18.15	0.15	18.09	0.11	NaN	NaN	18.08	0.18
59235.52	17.86	0.15	18.15	0.15	18.09	0.11	NaN	NaN	18.08	0.18
59235.53	17.86	0.15	18.15	0.15	18.09	0.11	NaN	NaN	18.08	0.18
59235.54	17.86	0.15	18.15	0.15	18.09	0.11	NaN	NaN	18.08	0.18
59237.61	17.90	0.21	18.16	0.23	18.05	0.15	NaN	NaN	18.12	0.18
59237.61	17.90	0.21	18.16	0.23	18.05	0.15	NaN	NaN	18.12	0.18
59248.36	18.44	0.07	18.17	0.03	18.25	0.06	NaN	NaN	18.33	0.20
59249.52	18.50	0.07	18.20	0.02	18.28	0.05	NaN	NaN	18.36	0.19
59249.54	18.50	0.07	18.20	0.02	18.28	0.05	NaN	NaN	18.36	0.19
59249.64	18.51	0.07	18.20	0.02	18.28	0.05	18.36	0.20	18.36	0.19
59249.64	18.51	0.07	18.20	0.02	18.28	0.05	18.36	0.20	18.36	0.19
59249.66	18.51	0.07	18.20	0.02	18.28	0.05	18.36	0.20	18.36	0.19
59249.67	18.51	0.07	18.20	0.02	18.28	0.05	18.36	0.20	18.36	0.19
59251.19	18.58	0.07	18.26	0.02	18.32	0.05	18.34	0.20	18.40	0.19
