#MJD	B	errB	V	errV	R	errR
56968.9	-14.10	0.21	NaN	NaN	NaN	NaN
56972.1	-14.44	0.22	NaN	NaN	NaN	NaN
56982.3	-14.20	0.16	-14.94	0.05	NaN	NaN
56983.4	NaN	NaN	-14.96	0.06	NaN	NaN
56990.9	NaN	NaN	-15.20	0.07	-15.28	0.10
56993.0	NaN	NaN	-15.07	0.08	-15.33	0.11
56994.0	NaN	NaN	-15.14	0.08	-15.46	0.07
56996.8	NaN	NaN	-15.04	0.07	-15.44	0.09
57000.1	NaN	NaN	-15.16	0.05	-15.46	0.06
57003.0	-14.82	0.04	NaN	NaN	-15.53	0.04
57005.9	NaN	NaN	-15.37	0.04	NaN	NaN
57007.1	-14.81	0.05	NaN	NaN	-15.55	0.05
57012.0	-14.85	0.03	NaN	NaN	-15.61	0.04
57015.0	-14.85	0.04	NaN	NaN	-15.64	0.04
57015.9	-14.95	0.04	NaN	NaN	-15.65	0.05
57017.0	NaN	NaN	NaN	NaN	-15.67	0.05
57017.9	-14.93	0.04	NaN	NaN	-15.66	0.04
57019.8	NaN	NaN	-15.32	0.10	-15.53	0.09
57020.7	-15.01	0.04	NaN	NaN	NaN	NaN
57021.9	NaN	NaN	-15.48	0.06	-15.73	0.03
57023.9	-15.09	0.04	NaN	NaN	-15.74	0.04
57025.7	-15.07	0.03	NaN	NaN	NaN	NaN
57026.7	-15.06	0.03	-15.45	0.07	-15.72	0.04
57027.9	-15.08	0.03	NaN	NaN	-15.77	0.03
57029.6	NaN	NaN	-15.45	0.04	NaN	NaN
57033.9	NaN	NaN	-15.68	0.04	-15.95	0.04
57036.6	NaN	NaN	-15.80	0.05	-15.97	0.05
57044.7	NaN	NaN	-15.76	0.05	-16.04	0.04
57049.2	NaN	NaN	-15.75	0.04	-16.03	0.04
57062.4	NaN	NaN	-15.87	0.03	-16.15	0.03
57076.4	NaN	NaN	-15.91	0.03	-16.04	0.04
57090.4	NaN	NaN	-16.00	0.03	-16.19	0.03
57104.3	NaN	NaN	-16.03	0.11	-16.17	0.09
57118.2	NaN	NaN	-15.92	0.09	-16.13	0.06
57132.1	-15.49	0.05	-15.98	0.05	-16.31	0.03
57149.1	-15.44	0.05	-15.95	0.05	-16.21	0.05
57168.3	-15.30	0.04	NaN	NaN	-16.21	0.04
57188.2	NaN	NaN	-15.77	0.06	-16.12	0.07
57208.1	-15.09	0.08	NaN	NaN	-16.05	0.04
57216.2	-15.07	0.07	-15.56	0.09	-16.18	0.05
57224.0	NaN	NaN	-15.54	0.05	-15.97	0.05
57325.8	NaN	NaN	-14.01	0.23	-14.81	0.16
57340.9	NaN	NaN	-14.16	0.21	-14.40	0.23
57367.1	NaN	NaN	-14.17	0.15	-14.51	0.17
