# ph	T_bb	err	R_bb	err	L_bb	err

-92.68	1.47e+03	4.50e+02	5.40e+16	5.40e+16	9.72e+42	2.28e+43
-84.79	1.56e+04	5.31e+03	8.51e+13	2.82e+13	3.07e+41	4.64e+41
-83.76	1.21e+04	1.85e+03	1.10e+14	1.96e+13	1.86e+41	1.31e+41
-82.78	9.89e+03	6.51e+02	1.39e+14	1.27e+13	1.32e+41	4.23e+40
-81.86	8.13e+03	1.74e+02	1.87e+14	6.60e+12	1.08e+41	1.20e+40
-81.44	7.41e+03	4.36e-02	2.21e+14	2.41e+09	1.05e+41	3.37e+36
-80.42	6.09e+03	3.28e-02	3.37e+14	4.04e+09	1.12e+41	3.60e+36
-79.83	5.71e+03	4.12e+01	3.95e+14	6.13e+12	1.18e+41	5.01e+39
-75.85	4.91e+03	3.19e+02	5.58e+14	8.75e+13	1.29e+41	5.25e+40
-72.43	4.85e+03	3.75e+01	6.54e+14	1.39e+13	1.69e+41	8.91e+39
-70.91	4.60e+03	1.91e+02	7.92e+14	9.38e+13	2.01e+41	5.81e+40
-70.43	4.57e+03	2.07e+02	8.13e+14	1.09e+14	2.05e+41	6.61e+40
-68.49	4.95e+03	2.45e+02	6.81e+14	9.15e+13	1.99e+41	6.64e+40
-66.95	5.03e+03	6.79e+01	7.24e+14	2.56e+13	2.39e+41	2.12e+40
-66.56	5.01e+03	1.44e-01	7.57e+14	5.85e+10	2.58e+41	4.97e+37
-64.41	5.14e+03	3.81e+02	7.11e+14	1.37e+14	2.51e+41	1.22e+41
-62.97	5.36e+03	2.67e+02	6.55e+14	8.61e+13	2.52e+41	8.30e+40
-62.36	5.26e+03	1.53e-01	6.87e+14	5.71e+10	2.58e+41	5.23e+37
-59.01	4.88e+03	2.41e+01	8.27e+14	1.11e+13	2.77e+41	9.21e+39
-56.55	4.58e+03	2.74e+02	1.04e+15	1.82e+14	3.38e+41	1.43e+41
-55.06	4.48e+03	2.40e+02	1.08e+15	1.70e+14	3.35e+41	1.28e+41
-54.65	4.46e+03	1.67e+02	1.08e+15	1.22e+14	3.32e+41	8.99e+40
-51.10	4.76e+03	4.23e+02	9.78e+14	2.32e+14	3.49e+41	2.07e+41
-49.19	4.82e+03	7.24e+02	9.30e+14	3.68e+14	3.32e+41	3.30e+41
-46.70	4.37e+03	2.36e+02	1.28e+15	2.13e+14	4.27e+41	1.69e+41
-43.61	4.51e+03	6.24e-02	1.23e+15	4.34e+10	4.48e+41	4.01e+37
-35.68	4.13e+03	1.95e+02	1.59e+15	2.44e+14	5.26e+41	1.89e+41
-29.77	4.17e+03	1.83e+02	1.54e+15	2.17e+14	5.12e+41	1.70e+41
-16.90	4.07e+03	1.78e+02	1.81e+15	2.61e+14	6.41e+41	2.16e+41
-14.95	3.88e+03	2.20e+02	2.07e+15	4.05e+14	6.94e+41	3.14e+41
-5.27	4.15e+03	1.74e+02	1.73e+15	2.35e+14	6.33e+41	2.02e+41
-2.98	4.03e+03	1.76e+02	1.93e+15	2.65e+14	6.97e+41	2.27e+41
-1.02	3.98e+03	1.33e+02	1.96e+15	2.20e+14	6.91e+41	1.80e+41
5.94	4.31e+03	2.55e+02	1.58e+15	2.50e+14	6.12e+41	2.42e+41
14.78	3.52e+03	1.08e-01	2.73e+15	3.56e+11	8.14e+41	2.34e+38
25.68	4.26e+03	1.54e+02	1.18e+15	1.33e+14	3.25e+41	8.71e+40
31.67	4.09e+03	7.02e+01	1.13e+15	6.35e+13	2.55e+41	3.35e+40
35.60	4.04e+03	4.80e+02	1.06e+15	4.14e+14	2.14e+41	1.95e+41
