# ph	Lobs	err	L+BB	err	

-92.68	2.13e+41	1.18e+41	4.24e+42	9.51e+42
-84.79	7.22e+40	1.82e+40	3.24e+41	3.70e+41
-83.76	6.37e+40	1.30e+40	1.98e+41	8.91e+40
-82.78	5.71e+40	9.39e+39	1.41e+41	2.51e+40
-81.86	5.16e+40	6.80e+39	1.12e+41	8.65e+39
-81.44	5.15e+40	5.85e+39	1.07e+41	5.85e+39
-80.42	5.07e+40	4.45e+39	1.07e+41	4.45e+39
-79.83	5.22e+40	4.13e+39	1.13e+41	4.65e+39
-75.85	5.49e+40	3.96e+39	1.24e+41	2.63e+40
-72.43	6.63e+40	1.85e+39	1.58e+41	4.84e+39
-70.91	7.12e+40	3.35e+39	1.84e+41	3.10e+40
-70.43	7.66e+40	2.39e+39	1.92e+41	3.54e+40
-68.49	8.09e+40	1.50e+39	1.88e+41	3.26e+40
-66.95	9.20e+40	4.37e+39	2.19e+41	1.12e+40
-66.56	9.81e+40	1.71e+39	2.36e+41	1.71e+39
-64.41	1.14e+41	4.37e+39	2.45e+41	5.79e+40
-62.97	1.12e+41	6.46e+39	2.41e+41	3.82e+40
-62.36	1.22e+41	4.23e+39	2.55e+41	4.23e+39
-59.01	1.09e+41	5.74e+39	2.59e+41	7.35e+39
-56.55	1.29e+41	2.40e+39	3.19e+41	7.63e+40
-55.06	1.13e+41	5.87e+39	3.04e+41	6.97e+40
-54.65	1.21e+41	1.37e+39	3.10e+41	4.92e+40
-51.10	1.36e+41	8.93e+39	3.26e+41	1.07e+41
-49.19	1.35e+41	9.52e+39	3.14e+41	1.67e+41
-46.70	1.51e+41	1.96e+39	3.97e+41	9.46e+40
-43.61	1.53e+41	6.17e+39	4.07e+41	6.17e+39
-35.68	1.66e+41	2.80e+39	4.80e+41	1.11e+41
-29.77	1.73e+41	2.69e+39	4.77e+41	9.90e+40
-16.90	2.00e+41	2.84e+39	5.86e+41	1.29e+41
-14.95	2.09e+41	2.99e+39	6.39e+41	1.94e+41
-5.27	2.12e+41	2.56e+39	5.89e+41	1.18e+41
-2.98	2.16e+41	2.80e+39	6.38e+41	1.36e+41
-1.02	2.11e+41	2.99e+39	6.33e+41	1.09e+41
5.94	2.11e+41	1.10e+40	5.68e+41	1.37e+41
14.78	1.74e+41	1.89e+40	7.04e+41	1.89e+40
25.68	1.09e+41	3.88e+39	2.99e+41	4.99e+40
31.67	8.09e+40	7.27e+39	2.33e+41	2.12e+40
35.60	7.11e+40	2.49e+39	1.99e+41	1.17e+41

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_SN2005ci_BVRI.txt and logL-bb_SN2005ci_BVRI.txt for simple LC files
# Methodology:
# filters used:BVRI
# redshift used:0.007581
# extinction used:0.0287
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
