##phase	B	err	V	err	R	err	I	err	
#
-92.68	17.39	0.81	16.70	0.89	20.16	0.15	17.33	0.77
-84.79	18.74	0.29	18.06	0.56	18.78	0.13	18.73	0.26
-83.76	18.94	0.19	18.24	0.50	18.75	0.13	18.74	0.17
-82.78	19.11	0.10	18.42	0.43	18.76	0.13	18.67	0.09
-81.86	19.27	0.03	18.57	0.37	18.86	0.13	18.52	0.02
-81.44	19.34	0.00	18.64	0.33	18.74	0.11	18.42	0.00
-80.42	19.48	0.00	18.79	0.25	18.66	0.15	18.12	0.00
-79.83	19.53	0.04	18.86	0.20	18.51	0.16	18.00	0.03
-75.85	19.54	0.18	19.03	0.08	18.31	0.13	17.82	0.08
-72.43	19.54	0.00	18.70	0.00	18.15	0.07	17.53	0.00
-70.91	19.61	0.02	18.49	0.02	18.18	0.13	17.39	0.02
-70.43	19.61	0.00	18.43	0.00	17.99	0.08	17.38	0.00
-68.49	19.38	0.00	18.32	0.00	17.98	0.05	17.42	0.00
-66.95	19.07	0.02	18.27	0.06	17.94	0.13	17.16	0.02
-66.56	19.00	0.00	18.25	0.06	17.82	0.03	17.09	0.00
-64.41	18.83	0.08	18.17	0.00	17.63	0.05	16.86	0.11
-62.97	18.84	0.04	18.12	0.02	17.75	0.13	16.84	0.14
-62.36	18.87	0.00	18.11	0.00	17.45	0.04	16.86	0.13
-59.01	19.00	0.02	18.11	0.06	17.63	0.13	17.00	0.02
-56.55	19.07	0.00	17.82	0.00	17.42	0.05	16.85	0.00
-55.06	19.17	0.02	17.94	0.01	17.72	0.15	16.85	0.01
-54.65	19.16	0.00	17.98	0.00	17.47	0.03	16.85	0.00
-51.10	18.82	0.14	17.83	0.10	17.53	0.13	16.61	0.12
-49.19	18.87	0.16	17.73	0.11	17.68	0.15	16.60	0.13
-46.70	18.99	0.00	17.68	0.00	17.26	0.03	16.60	0.00
-43.61	19.01	0.25	17.76	0.00	17.22	0.05	16.48	0.00
-35.68	18.99	0.00	17.61	0.00	17.16	0.04	16.39	0.00
-29.77	18.97	0.00	17.63	0.00	17.01	0.04	16.41	0.00
-16.90	18.84	0.00	17.45	0.00	16.92	0.04	16.18	0.00
-14.95	18.99	0.00	17.42	0.00	16.80	0.03	16.14	0.00
-5.27	18.76	0.00	17.42	0.00	16.79	0.03	16.18	0.00
-2.98	18.82	0.03	17.42	0.02	16.78	0.02	16.10	0.02
-1.02	18.84	0.00	17.47	0.00	16.80	0.03	16.10	0.00
5.94	18.77	0.23	17.38	0.11	16.82	0.05	16.19	0.11
14.78	19.26	0.00	17.84	0.00	17.10	0.03	16.03	0.31
25.68	19.24	0.00	18.33	0.00	17.53	0.08	16.79	0.00
31.67	19.64	0.30	18.61	0.00	17.84	0.07	17.14	0.27
35.60	19.74	0.00	19.07	0.00	17.93	0.08	17.14	0.00
#
## Reference bands: R
## B: Gaussian Process used for interp and extrap
## V: Gaussian Process used for interp and extrap
## I: Gaussian Process used for interp and extrap
## p = polynomial, c = constant colour, a = average
