# ph	T_bb	err	R_bb	err	L_bb	err

-50.76	5.63e+03	2.31e+02	1.02e+15	8.82e+13	7.41e+41	1.77e+41
-48.81	5.52e+03	2.50e+02	1.09e+15	1.07e+14	7.81e+41	2.09e+41
-48.26	3.79e+03	2.59e+02	2.73e+15	7.75e+14	1.09e+42	6.89e+41
-47.16	4.08e+03	2.51e+02	2.31e+15	5.49e+14	1.05e+42	5.64e+41
-46.33	4.35e+03	2.34e+02	2.01e+15	3.90e+14	1.03e+42	4.55e+41
-43.24	4.24e+03	2.46e+02	2.27e+15	4.89e+14	1.18e+42	5.77e+41
-35.29	4.48e+03	2.37e+02	2.19e+15	4.07e+14	1.38e+42	5.90e+41
-26.47	5.54e+03	1.76e+02	1.46e+15	1.17e+14	1.43e+42	2.93e+41
-22.62	5.57e+03	1.91e+02	1.50e+15	1.30e+14	1.53e+42	3.39e+41
-17.61	5.58e+03	1.78e+02	1.55e+15	1.25e+14	1.66e+42	3.42e+41
-16.68	5.61e+03	1.65e+02	1.54e+15	1.14e+14	1.68e+42	3.17e+41
-3.90	5.56e+03	1.72e+02	1.68e+15	1.31e+14	1.91e+42	3.82e+41
1.97	5.48e+03	1.84e+02	1.75e+15	1.51e+14	1.98e+42	4.31e+41
9.86	5.39e+03	1.67e+02	1.79e+15	1.45e+14	1.94e+42	3.95e+41
15.77	5.31e+03	1.47e+02	1.78e+15	1.31e+14	1.80e+42	3.30e+41
23.63	4.92e+03	1.57e+02	1.89e+15	1.72e+14	1.49e+42	3.32e+41
30.43	4.60e+03	1.38e+02	1.87e+15	1.70e+14	1.11e+42	2.44e+41
39.22	4.40e+03	1.21e+02	1.73e+15	1.51e+14	7.97e+41	1.65e+41
44.14	4.28e+03	1.66e+02	1.77e+15	2.25e+14	7.50e+41	2.23e+41
68.74	4.65e+03	1.07e+02	1.25e+15	8.04e+13	5.24e+41	8.28e+40
74.65	4.33e+03	1.06e+02	1.44e+15	1.14e+14	5.22e+41	9.67e+40
