##phase	u	err	B	err	g	err	V	err	r	err	i	err	Y	err	J	err	H	err	
#
-50.76	21.23	0.40	19.49	0.04	18.72	0.02	18.45	0.02	18.00	0.10	18.10	0.01	17.27	0.07	17.14	0.06	17.11	0.08
-48.81	21.97	0.08	19.36	0.01	18.73	0.00	18.38	0.00	18.20	0.10	18.04	0.00	17.30	0.04	17.13	0.04	17.08	0.05
-48.26	21.93	0.00	19.31	0.00	18.72	0.00	18.35	0.00	18.08	0.01	18.02	0.00	17.30	0.04	17.12	0.03	17.07	0.05
-47.16	21.45	0.00	19.21	0.00	18.71	0.00	18.31	0.00	18.04	0.01	17.98	0.00	17.31	0.02	17.11	0.02	17.04	0.03
-46.33	21.06	0.00	19.17	0.00	18.68	0.00	18.27	0.00	18.00	0.01	17.95	0.00	17.31	0.02	17.10	0.01	17.01	0.02
-43.24	21.08	0.00	19.03	0.00	18.55	0.00	18.13	0.00	17.89	0.02	17.83	0.00	17.30	0.00	17.03	0.00	16.87	0.00
-35.29	20.56	0.00	18.77	0.00	18.30	0.00	17.89	0.00	17.66	0.01	17.61	0.00	17.10	0.01	16.89	0.01	16.72	0.02
-26.47	16.37	0.99	18.61	0.00	18.09	0.00	17.70	0.00	17.45	0.01	17.41	0.00	17.03	0.01	16.70	0.01	16.55	0.02
-22.62	15.02	1.10	18.54	0.00	18.00	0.00	17.62	0.00	17.37	0.01	17.34	0.00	16.93	0.01	16.62	0.01	16.46	0.02
-17.61	14.14	1.14	18.43	0.00	17.92	0.00	17.53	0.00	17.29	0.01	17.25	0.00	16.74	0.01	16.53	0.03	16.36	0.04
-16.68	14.05	1.15	18.41	0.00	17.90	0.00	17.53	0.00	17.28	0.01	17.24	0.00	16.71	0.01	16.52	0.02	16.34	0.04
-3.90	13.61	1.17	18.29	0.00	17.77	0.00	17.39	0.00	17.14	0.01	17.10	0.00	16.59	0.01	16.35	0.01	16.07	0.01
1.97	13.58	1.17	18.29	0.00	17.75	0.00	17.35	0.00	17.11	0.01	17.06	0.00	16.55	0.01	16.28	0.01	16.08	0.02
9.86	13.57	1.17	18.34	0.00	17.81	0.00	17.39	0.00	17.13	0.01	17.07	0.00	16.55	0.01	16.32	0.01	16.17	0.02
15.77	13.57	1.17	18.46	0.00	17.94	0.00	17.50	0.00	17.20	0.01	17.14	0.00	16.61	0.02	16.41	0.02	16.22	0.03
23.63	13.57	1.17	18.89	0.00	18.26	0.00	17.79	0.00	17.43	0.01	17.34	0.00	16.78	0.01	16.55	0.01	16.30	0.02
30.43	13.57	1.17	19.43	0.00	18.75	0.00	18.22	0.00	17.80	0.01	17.66	0.00	17.00	0.01	16.73	0.01	16.48	0.01
39.22	13.57	1.17	19.95	0.00	19.26	0.00	18.68	0.00	18.19	0.01	18.04	0.00	17.23	0.01	17.12	0.01	16.75	0.06
44.14	13.57	1.17	20.17	0.00	19.34	0.00	18.76	0.00	18.28	0.01	18.14	0.00	17.38	0.01	17.21	0.01	16.84	0.03
68.74	13.57	1.17	20.63	0.17	19.70	0.00	19.05	0.00	18.52	0.02	18.44	0.00	17.02	0.33	16.61	0.29	16.09	0.42
74.65	13.57	1.17	20.47	0.00	19.76	0.00	19.21	0.00	18.57	0.01	18.50	0.00	16.74	0.42	16.34	0.37	15.74	0.52
#
## Reference bands: r
## u: Gaussian Process used for interp and extrap
## B: Gaussian Process used for interp and extrap
## g: Gaussian Process used for interp and extrap
## V: Gaussian Process used for interp and extrap
## i: Gaussian Process used for interp and extrap
## Y: Gaussian Process used for interp and extrap
## J: Gaussian Process used for interp and extrap
## H: Gaussian Process used for interp and extrap
## p = polynomial, c = constant colour, a = average
