# ph	T_bb	err	R_bb	err	L_bb	err

53805.89	5.11e+03	8.11e+02	1.13e+15	2.69e+14	6.24e+41	4.95e+41
53809.85	6.00e+03	4.52e+02	8.84e+14	1.33e+14	7.23e+41	3.07e+41
53815.86	5.90e+03	3.76e+02	9.17e+14	1.18e+14	7.26e+41	2.63e+41
53818.90	6.09e+03	3.60e+02	8.77e+14	1.02e+14	7.55e+41	2.50e+41
53819.90	5.90e+03	3.72e+02	9.22e+14	1.18e+14	7.34e+41	2.63e+41
53823.83	6.30e+03	3.61e+02	8.39e+14	9.15e+13	7.92e+41	2.51e+41
53824.87	6.15e+03	3.82e+02	8.73e+14	1.05e+14	7.77e+41	2.69e+41
53828.89	6.15e+03	4.27e+02	8.87e+14	1.19e+14	8.03e+41	3.10e+41
53829.92	6.38e+03	3.82e+02	8.40e+14	9.49e+13	8.31e+41	2.74e+41
53830.89	6.15e+03	3.97e+02	8.91e+14	1.11e+14	8.11e+41	2.92e+41
53832.86	6.20e+03	4.00e+02	8.93e+14	1.11e+14	8.41e+41	3.01e+41
53835.87	6.27e+03	3.97e+02	8.96e+14	1.08e+14	8.84e+41	3.09e+41
53838.82	6.36e+03	4.58e+02	9.05e+14	1.23e+14	9.54e+41	3.78e+41
53840.83	6.38e+03	4.28e+02	9.10e+14	1.15e+14	9.79e+41	3.61e+41
53841.85	6.58e+03	4.24e+02	8.81e+14	1.04e+14	1.04e+42	3.62e+41
53845.82	6.56e+03	4.24e+02	9.18e+14	1.09e+14	1.11e+42	3.90e+41
53850.81	6.46e+03	4.13e+02	9.58e+14	1.14e+14	1.14e+42	3.98e+41
53853.85	6.46e+03	4.05e+02	9.74e+14	1.13e+14	1.18e+42	4.03e+41
53858.79	6.43e+03	4.10e+02	1.01e+15	1.19e+14	1.24e+42	4.30e+41
53861.82	6.37e+03	4.02e+02	1.04e+15	1.22e+14	1.25e+42	4.33e+41
53862.80	6.36e+03	4.05e+02	1.04e+15	1.24e+14	1.26e+42	4.41e+41
53866.75	6.33e+03	4.11e+02	1.07e+15	1.31e+14	1.31e+42	4.67e+41
53867.78	6.24e+03	3.99e+02	1.09e+15	1.33e+14	1.29e+42	4.55e+41
53870.80	5.95e+03	6.86e+02	1.11e+15	1.81e+14	1.10e+42	6.23e+41
53871.79	6.11e+03	7.59e+02	1.02e+15	1.79e+14	1.04e+42	6.30e+41
53872.78	6.20e+03	6.08e+02	1.02e+15	1.47e+14	1.08e+42	5.28e+41
53886.78	5.98e+03	5.36e+02	9.21e+14	1.82e+14	7.71e+41	4.12e+41
53890.72	5.82e+03	4.77e+02	9.45e+14	1.78e+14	7.29e+41	3.64e+41
53891.74	5.83e+03	5.96e+02	8.64e+14	2.05e+14	6.17e+41	3.86e+41
53892.76	5.79e+03	5.74e+02	8.63e+14	2.01e+14	5.95e+41	3.64e+41
53893.71	5.74e+03	6.52e+02	8.41e+14	2.28e+14	5.47e+41	3.87e+41
53894.75	5.77e+03	5.34e+02	8.38e+14	1.96e+14	5.56e+41	3.32e+41
53897.66	5.29e+03	4.45e+02	8.12e+14	1.65e+14	3.69e+41	1.95e+41
53898.71	5.37e+03	5.78e+02	5.63e+14	1.47e+14	1.88e+41	1.27e+41
