# ph	Lobs	err	L+BB	err	

53805.89	7.84e+41	2.58e+40	8.51e+41	5.40e+40
53809.85	7.05e+41	2.57e+40	8.01e+41	4.14e+40
53815.86	6.76e+41	2.41e+40	7.71e+41	3.60e+40
53818.90	6.91e+41	2.42e+40	7.94e+41	3.65e+40
53819.90	6.93e+41	2.41e+40	7.88e+41	3.61e+40
53823.83	7.10e+41	2.54e+40	8.23e+41	3.91e+40
53824.87	7.11e+41	2.53e+40	8.18e+41	3.93e+40
53828.89	7.45e+41	2.74e+40	8.57e+41	4.41e+40
53829.92	7.45e+41	2.70e+40	8.66e+41	4.30e+40
53830.89	7.41e+41	2.66e+40	8.54e+41	4.20e+40
53832.86	7.66e+41	2.75e+40	8.85e+41	4.39e+40
53835.87	7.96e+41	2.87e+40	9.23e+41	4.62e+40
53838.82	8.84e+41	3.24e+40	1.03e+42	5.62e+40
53840.83	8.84e+41	3.29e+40	1.03e+42	5.51e+40
53841.85	9.18e+41	3.43e+40	1.08e+42	5.92e+40
53845.82	9.82e+41	3.64e+40	1.15e+42	6.32e+40
53850.81	1.02e+42	3.77e+40	1.19e+42	6.30e+40
53853.85	1.05e+42	3.89e+40	1.22e+42	6.42e+40
53858.79	1.10e+42	4.12e+40	1.29e+42	6.78e+40
53861.82	1.12e+42	4.18e+40	1.31e+42	6.73e+40
53862.80	1.13e+42	4.24e+40	1.32e+42	6.82e+40
53866.75	1.19e+42	4.47e+40	1.38e+42	7.16e+40
53867.78	1.17e+42	4.40e+40	1.35e+42	6.85e+40
53870.80	1.19e+42	4.34e+40	1.33e+42	7.79e+40
53871.79	1.14e+42	4.21e+40	1.27e+42	8.09e+40
53872.78	1.13e+42	4.16e+40	1.28e+42	7.30e+40
53886.78	7.45e+41	2.99e+40	8.46e+41	5.25e+40
53890.72	6.64e+41	2.81e+40	7.56e+41	4.59e+40
53891.74	5.98e+41	2.49e+40	6.77e+41	4.60e+40
53892.76	5.66e+41	2.39e+40	6.41e+41	4.32e+40
53893.71	5.64e+41	2.35e+40	6.32e+41	4.46e+40
53894.75	5.14e+41	2.09e+40	5.84e+41	3.88e+40
53897.66	3.14e+41	1.28e+40	3.58e+41	2.23e+40
53898.71	1.92e+41	8.28e+39	2.15e+41	1.45e+40

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_SN2006au_uBgVriYJH.txt and logL-bb_SN2006au_uBgVriYJH.txt for simple LC files
# Methodology:
# filters used:uBgVriYJH
# redshift used:0.0099
# extinction used:0.313
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
