##phase	u	err	B	err	g	err	V	err	r	err	i	err	Y	err	J	err	H	err	
#
53805.89	20.61	0.25	19.08	0.10	18.43	0.10	17.99	0.10	17.61	0.10	17.11	0.10	17.08	0.02	16.15	0.02	15.99	0.04
53809.85	20.69	0.25	19.31	0.10	18.37	0.10	17.96	0.10	17.59	0.10	17.33	0.10	17.31	0.10	16.38	0.10	16.22	0.10
53815.86	20.82	0.25	19.21	0.10	18.47	0.10	18.06	0.10	17.70	0.10	17.39	0.10	17.24	0.10	16.38	0.10	16.21	0.10
53818.90	20.45	0.25	19.22	0.10	18.56	0.10	18.08	0.10	17.64	0.10	17.34	0.10	17.24	0.10	16.37	0.10	16.20	0.10
53819.90	20.75	0.25	19.24	0.10	18.58	0.10	18.06	0.10	17.57	0.10	17.34	0.10	17.23	0.10	16.37	0.10	16.20	0.10
53823.83	20.12	0.25	19.14	0.10	18.55	0.10	18.06	0.10	17.60	0.10	17.37	0.10	17.23	0.10	16.37	0.10	16.18	0.10
53824.87	20.45	0.25	19.15	0.10	18.48	0.10	18.04	0.10	17.56	0.10	17.37	0.10	17.23	0.10	16.37	0.10	16.17	0.10
53828.89	20.55	0.25	19.05	0.10	18.32	0.10	17.95	0.10	17.49	0.10	17.39	0.10	17.21	0.10	16.34	0.10	16.13	0.10
53829.92	19.98	0.25	19.06	0.10	18.54	0.10	18.00	0.10	17.48	0.10	17.40	0.10	17.20	0.10	16.32	0.10	16.12	0.10
53830.89	20.48	0.25	19.01	0.10	18.42	0.10	18.05	0.10	17.46	0.10	17.40	0.10	17.19	0.10	16.31	0.10	16.10	0.10
53832.86	20.39	0.25	18.99	0.10	18.41	0.10	17.96	0.10	17.46	0.10	17.33	0.10	17.17	0.10	16.28	0.10	16.08	0.10
53835.87	20.29	0.25	18.92	0.10	18.34	0.10	17.92	0.10	17.50	0.10	17.24	0.10	17.13	0.10	16.24	0.10	16.05	0.10
53838.82	20.29	0.25	18.77	0.10	18.18	0.10	17.77	0.10	17.38	0.10	17.08	0.10	17.08	0.10	16.20	0.10	16.05	0.10
53840.83	20.18	0.25	18.80	0.10	18.12	0.10	17.76	0.10	17.38	0.10	17.17	0.10	17.04	0.10	16.17	0.10	16.01	0.10
53841.85	19.82	0.25	18.79	0.10	18.13	0.10	17.75	0.10	17.34	0.10	17.11	0.10	17.02	0.10	16.16	0.10	15.98	0.10
53845.82	19.73	0.25	18.70	0.10	18.10	0.10	17.67	0.10	17.27	0.10	17.04	0.10	16.95	0.10	16.09	0.10	15.84	0.10
53850.81	19.75	0.27	18.72	0.10	18.09	0.10	17.60	0.10	17.22	0.10	16.99	0.10	16.89	0.10	16.03	0.10	15.82	0.10
53853.85	19.71	0.28	18.68	0.10	18.06	0.10	17.60	0.10	17.18	0.10	16.97	0.10	16.85	0.10	15.99	0.10	15.78	0.10
53858.79	19.68	0.30	18.65	0.10	18.02	0.10	17.51	0.10	17.11	0.10	16.93	0.10	16.79	0.10	15.92	0.10	15.73	0.10
53861.82	19.69	0.32	18.65	0.10	18.01	0.10	17.54	0.10	17.10	0.10	16.87	0.10	16.76	0.10	15.88	0.10	15.69	0.10
53862.80	19.68	0.33	18.65	0.10	18.02	0.10	17.51	0.10	17.08	0.10	16.86	0.10	16.75	0.10	15.87	0.10	15.68	0.10
53866.75	19.66	0.35	18.63	0.10	17.97	0.10	17.46	0.10	17.00	0.10	16.82	0.10	16.70	0.10	15.82	0.10	15.64	0.10
53867.78	19.71	0.36	18.68	0.10	17.98	0.10	17.49	0.10	16.98	0.10	16.87	0.10	16.69	0.10	15.81	0.10	15.63	0.10
53870.80	19.71	0.38	18.68	0.10	18.03	0.10	17.47	0.10	17.01	0.10	16.76	0.10	16.68	0.03	15.80	0.03	15.62	0.04
53871.79	19.80	0.39	18.77	0.10	18.03	0.10	17.49	0.10	17.02	0.10	16.80	0.10	16.78	0.03	15.90	0.03	15.72	0.05
53872.78	19.81	0.40	18.78	0.10	18.09	0.10	17.56	0.10	16.99	0.10	16.79	0.10	16.78	0.04	15.91	0.04	15.72	0.05
53886.78	20.39	0.52	19.36	0.10	18.67	0.10	18.04	0.10	17.36	0.10	17.05	0.10	17.37	0.18	16.49	0.18	16.31	0.18
53890.72	20.47	0.55	19.44	0.10	18.83	0.10	18.13	0.10	17.47	0.10	17.26	0.10	17.44	0.22	16.57	0.22	16.39	0.22
53891.74	20.72	0.56	19.69	0.10	18.88	0.10	18.21	0.10	17.55	0.10	17.26	0.10	17.70	0.23	16.82	0.23	16.64	0.23
53892.76	20.76	0.57	19.73	0.10	18.99	0.10	18.21	0.10	17.62	0.10	17.35	0.10	17.74	0.24	16.86	0.24	16.68	0.24
53893.71	20.87	0.58	19.84	0.10	19.10	0.10	18.30	0.10	17.48	0.10	17.30	0.10	17.85	0.25	16.97	0.25	16.79	0.25
53894.75	20.89	0.59	19.85	0.10	19.11	0.03	18.34	0.10	17.67	0.10	17.47	0.10	17.86	0.26	16.98	0.26	16.80	0.26
53897.66	21.51	0.61	20.48	0.10	19.74	0.05	18.83	0.10	18.02	0.10	18.10	0.04	18.48	0.29	17.61	0.29	17.43	0.29
53898.71	22.22	0.62	21.18	0.10	20.44	0.06	19.04	0.10	18.43	0.10	18.80	0.05	19.19	0.30	18.31	0.30	18.13	0.30
#
## All light curves linearly interpolated
## Extrapolation done by assuming constant colour with reference band
