# ph	T_bb	err	R_bb	err	L_bb	err

2.05	6.30e+03	3.15e+01	3.68e+14	3.32e+12	1.52e+41	4.10e+39
2.12	6.55e+03	2.70e+02	3.29e+14	2.38e+13	1.42e+41	3.12e+40
2.12	6.57e+03	2.61e+02	3.28e+14	2.26e+13	1.43e+41	3.00e+40
2.13	6.60e+03	2.87e+02	3.24e+14	2.44e+13	1.42e+41	3.26e+40
2.13	6.61e+03	3.19e+02	3.21e+14	2.69e+13	1.40e+41	3.59e+40
2.14	6.60e+03	2.87e+02	3.24e+14	2.44e+13	1.42e+41	3.27e+40
2.90	7.06e+03	5.64e+02	2.79e+14	3.57e+13	1.38e+41	5.66e+40
4.03	6.59e+03	3.05e+02	3.30e+14	2.63e+13	1.46e+41	3.58e+40
4.18	6.63e+03	2.49e+02	3.31e+14	2.08e+13	1.50e+41	2.94e+40
5.97	6.77e+03	4.69e+02	3.16e+14	3.69e+13	1.50e+41	5.42e+40
8.29	6.58e+03	2.83e+02	3.60e+14	3.18e+13	1.74e+41	4.28e+40
12.05	5.86e+03	3.12e+02	4.61e+14	4.60e+13	1.79e+41	5.21e+40
15.84	5.42e+03	3.02e+02	5.62e+14	6.19e+13	1.95e+41	6.10e+40
17.19	5.38e+03	3.38e+02	5.79e+14	7.34e+13	1.99e+41	7.11e+40
25.35	4.38e+03	5.29e+02	1.19e+15	4.38e+14	3.73e+41	3.28e+41
26.97	4.82e+03	2.81e+02	7.81e+14	1.36e+14	2.34e+41	9.77e+40
43.78	5.29e+03	6.66e+02	7.37e+14	1.93e+14	3.03e+41	2.20e+41
49.58	5.35e+03	6.75e+02	7.49e+14	1.93e+14	3.26e+41	2.36e+41
65.57	5.33e+03	6.85e+02	8.51e+14	2.26e+14	4.17e+41	3.09e+41
65.63	5.44e+03	7.62e+02	8.48e+14	2.48e+14	4.47e+41	3.62e+41
67.49	5.35e+03	7.26e+02	8.77e+14	2.50e+14	4.50e+41	3.54e+41
67.53	5.26e+03	6.33e+02	8.78e+14	2.22e+14	4.19e+41	2.92e+41
69.56	5.23e+03	6.14e+02	9.08e+14	2.29e+14	4.39e+41	3.03e+41
73.48	5.09e+03	4.80e+02	9.76e+14	2.11e+14	4.56e+41	2.62e+41
75.60	4.99e+03	4.65e+02	1.06e+15	2.37e+14	4.99e+41	2.90e+41
78.49	4.86e+03	3.30e+02	1.14e+15	2.08e+14	5.14e+41	2.34e+41
79.57	4.81e+03	3.05e+02	1.17e+15	2.13e+14	5.23e+41	2.32e+41
80.49	4.86e+03	2.66e+02	1.13e+15	1.90e+14	5.03e+41	2.02e+41
80.66	4.64e+03	2.77e+02	1.34e+15	2.30e+14	5.92e+41	2.47e+41
82.39	4.57e+03	4.66e+02	1.53e+15	4.54e+14	7.30e+41	5.26e+41
83.39	4.37e+03	4.90e+02	1.80e+15	6.17e+14	8.40e+41	6.88e+41
84.30	4.40e+03	5.23e+02	1.78e+15	6.41e+14	8.41e+41	7.26e+41
84.69	4.62e+03	4.53e+02	1.38e+15	4.29e+14	6.23e+41	4.57e+41
85.34	4.68e+03	3.09e+02	1.29e+15	2.67e+14	5.74e+41	2.81e+41
86.70	4.80e+03	2.69e+02	1.17e+15	2.10e+14	5.22e+41	2.21e+41
88.36	4.66e+03	2.88e+02	1.30e+15	2.58e+14	5.74e+41	2.68e+41
88.64	4.69e+03	3.28e+02	1.28e+15	2.91e+14	5.66e+41	3.02e+41
89.29	4.41e+03	4.53e+02	1.69e+15	5.43e+14	7.69e+41	5.86e+41
89.36	4.37e+03	4.55e+02	1.76e+15	5.64e+14	8.11e+41	6.19e+41
89.42	5.03e+03	5.03e+02	1.19e+15	3.18e+14	6.48e+41	4.31e+41
90.27	4.49e+03	4.57e+02	1.63e+15	4.91e+14	7.63e+41	5.56e+41
91.31	4.61e+03	2.97e+02	1.36e+15	2.72e+14	5.98e+41	2.84e+41
91.36	4.64e+03	3.03e+02	1.34e+15	2.74e+14	5.88e+41	2.85e+41
91.67	4.73e+03	2.94e+02	1.24e+15	2.43e+14	5.47e+41	2.54e+41
93.36	4.57e+03	5.17e+02	1.54e+15	5.07e+14	7.36e+41	5.88e+41
95.24	4.62e+03	5.64e+02	1.51e+15	5.30e+14	7.42e+41	6.35e+41
95.51	4.64e+03	4.90e+02	1.40e+15	4.41e+14	6.50e+41	4.92e+41
97.20	4.75e+03	2.29e+02	1.21e+15	1.81e+14	5.28e+41	1.88e+41
