# ph	Lobs	err	L+BB	err	

2.05	7.06e+40	1.15e+40	1.48e+41	1.16e+40
2.12	6.77e+40	1.13e+40	1.40e+41	1.68e+40
2.12	6.77e+40	1.14e+40	1.40e+41	1.65e+40
2.13	6.74e+40	1.14e+40	1.40e+41	1.73e+40
2.13	6.71e+40	1.14e+40	1.39e+41	1.82e+40
2.14	6.74e+40	1.14e+40	1.40e+41	1.73e+40
2.90	6.46e+40	1.13e+40	1.37e+41	2.54e+40
4.03	6.87e+40	1.07e+40	1.44e+41	1.78e+40
4.18	6.90e+40	1.20e+40	1.46e+41	1.68e+40
5.97	6.90e+40	9.76e+39	1.46e+41	2.37e+40
8.29	7.51e+40	9.65e+39	1.65e+41	1.96e+40
12.05	8.15e+40	8.38e+39	1.73e+41	2.33e+40
15.84	8.94e+40	9.60e+39	1.90e+41	2.89e+40
17.19	9.10e+40	7.77e+39	1.95e+41	3.30e+40
25.35	1.02e+41	4.98e+39	3.20e+41	1.82e+41
26.97	1.04e+41	6.83e+39	2.32e+41	4.98e+40
43.78	1.40e+41	1.43e+40	3.00e+41	1.02e+41
49.58	1.54e+41	1.66e+40	3.26e+41	1.08e+41
65.57	2.02e+41	2.01e+40	4.21e+41	1.42e+41
65.63	2.03e+41	1.81e+40	4.38e+41	1.62e+41
67.49	2.09e+41	1.84e+40	4.45e+41	1.61e+41
67.53	2.09e+41	2.36e+40	4.29e+41	1.37e+41
69.56	2.13e+41	2.04e+40	4.45e+41	1.42e+41
73.48	2.22e+41	2.14e+40	4.64e+41	1.27e+41
75.60	2.27e+41	1.67e+40	4.96e+41	1.42e+41
78.49	2.31e+41	1.59e+40	5.11e+41	1.18e+41
79.57	2.35e+41	1.56e+40	5.20e+41	1.18e+41
80.49	2.35e+41	2.56e+40	5.08e+41	1.04e+41
80.66	2.34e+41	1.12e+40	5.65e+41	1.30e+41
82.39	2.32e+41	5.48e+39	6.47e+41	2.80e+41
83.39	2.36e+41	1.39e+40	7.28e+41	3.84e+41
84.30	2.39e+41	1.61e+40	7.29e+41	4.03e+41
84.69	2.39e+41	1.35e+40	5.89e+41	2.41e+41
85.34	2.39e+41	1.08e+40	5.58e+41	1.47e+41
86.70	2.41e+41	1.99e+40	5.26e+41	1.13e+41
88.36	2.38e+41	1.08e+40	5.57e+41	1.40e+41
88.64	2.38e+41	1.25e+40	5.52e+41	1.57e+41
89.29	2.38e+41	1.35e+40	6.85e+41	3.25e+41
89.36	2.38e+41	1.25e+40	7.12e+41	3.45e+41
89.42	2.35e+41	4.66e+39	5.86e+41	2.08e+41
90.27	2.35e+41	6.19e+39	6.74e+41	3.02e+41
91.31	2.37e+41	9.67e+39	5.72e+41	1.50e+41
91.36	2.38e+41	1.05e+40	5.66e+41	1.50e+41
91.67	2.38e+41	1.68e+40	5.39e+41	1.32e+41
93.36	2.37e+41	1.84e+40	6.55e+41	3.14e+41
95.24	2.39e+41	8.88e+39	6.59e+41	3.35e+41
95.51	2.40e+41	1.48e+40	6.05e+41	2.59e+41
97.20	2.33e+41	2.09e+40	5.23e+41	9.88e+40
97.30	2.32e+41	1.19e+40	5.56e+41	1.21e+41
100.65	2.28e+41	1.33e+40	5.65e+41	1.79e+41
101.32	2.34e+41	4.63e+39	6.03e+41	2.46e+41
102.21	2.35e+41	9.36e+39	7.84e+41	4.67e+41
102.25	2.33e+41	6.77e+39	7.54e+41	4.53e+41
103.22	2.33e+41	9.97e+39	5.70e+41	1.70e+41
104.18	2.33e+41	8.62e+39	5.89e+41	1.73e+41
105.24	2.29e+41	5.48e+39	7.25e+41	4.03e+41
105.36	2.24e+41	4.55e+39	5.98e+41	2.33e+41
106.59	2.10e+41	1.11e+40	5.19e+41	1.11e+41
109.20	2.00e+41	1.05e+40	5.17e+41	1.10e+41
110.54	2.00e+41	1.37e+40	5.21e+41	1.77e+41
111.12	2.01e+41	1.32e+40	7.65e+41	4.99e+41
111.18	2.01e+41	5.54e+39	7.37e+41	5.02e+41
113.18	1.78e+41	1.00e+40	6.82e+41	5.37e+41
117.32	1.35e+41	8.65e+39	3.71e+41	1.02e+41
117.34	1.35e+41	8.61e+39	3.70e+41	1.00e+41
118.20	1.28e+41	8.19e+39	3.57e+41	9.67e+40
118.49	1.26e+41	7.03e+39	3.70e+41	1.05e+41
120.11	1.15e+41	6.54e+39	3.36e+41	9.58e+40
120.16	1.15e+41	6.53e+39	3.38e+41	9.87e+40
121.07	1.08e+41	5.67e+39	3.24e+41	1.08e+41
121.10	1.07e+41	7.15e+39	3.16e+41	1.11e+41
121.21	1.06e+41	5.45e+39	3.24e+41	1.14e+41
121.51	1.03e+41	6.98e+39	3.28e+41	1.45e+41
122.07	9.88e+40	3.67e+39	4.13e+41	1.99e+41
122.18	9.84e+40	2.80e+39	3.90e+41	1.58e+41
122.26	9.60e+40	2.35e+39	3.41e+41	8.90e+40
123.11	8.87e+40	4.83e+39	2.84e+41	6.81e+40
123.11	8.83e+40	3.81e+39	2.88e+41	6.54e+40
124.09	8.48e+40	3.68e+39	3.48e+41	1.75e+41
124.31	8.46e+40	4.88e+39	3.25e+41	1.58e+41
125.07	8.39e+40	3.90e+39	2.62e+41	6.81e+40
125.11	8.39e+40	4.41e+39	2.60e+41	7.09e+40
126.05	8.28e+40	4.91e+39	2.52e+41	5.81e+40
126.24	8.15e+40	4.90e+39	2.47e+41	5.42e+40
126.34	8.13e+40	7.77e+39	2.42e+41	5.83e+40
128.25	7.63e+40	6.91e+39	2.28e+41	4.96e+40
129.05	7.42e+40	4.48e+39	2.29e+41	4.67e+40
129.07	7.44e+40	3.78e+39	2.40e+41	4.61e+40
131.33	6.81e+40	2.04e+39	2.56e+41	6.16e+40
134.01	6.65e+40	3.69e+39	2.17e+41	5.04e+40
135.01	6.51e+40	4.44e+39	2.04e+41	4.42e+40
135.21	6.49e+40	4.42e+39	2.04e+41	4.45e+40
136.98	6.19e+40	3.69e+39	2.02e+41	4.61e+40
136.99	6.17e+40	3.67e+39	2.01e+41	4.51e+40
138.15	5.97e+40	1.82e+39	2.33e+41	5.79e+40
138.97	5.97e+40	2.61e+39	2.09e+41	5.08e+40
143.93	5.81e+40	3.50e+39	1.87e+41	4.79e+40
145.95	5.67e+40	3.13e+39	2.04e+41	6.87e+40
