##phase	B	err	V	err	R	err	I	err	
#
2.05	18.75	0.52	18.18	0.26	17.79	0.08	17.44	0.13
2.12	18.76	0.52	18.18	0.26	17.89	0.06	17.54	0.13
2.12	18.76	0.52	18.18	0.26	17.89	0.08	17.54	0.13
2.13	18.76	0.52	18.18	0.26	17.90	0.08	17.55	0.13
2.13	18.76	0.52	18.18	0.26	17.91	0.07	17.56	0.13
2.14	18.76	0.52	18.18	0.26	17.90	0.08	17.55	0.13
2.90	18.76	0.51	18.16	0.25	18.01	0.15	17.66	0.13
4.03	18.78	0.49	18.14	0.24	17.87	0.10	17.52	0.12
4.18	18.78	0.49	18.13	0.23	17.86	0.25	17.51	0.12
5.97	18.80	0.46	18.09	0.19	17.88	0.12	17.53	0.11
8.29	18.82	0.42	18.04	0.00	17.71	0.21	17.36	0.10
12.05	18.86	0.34	17.96	0.19	17.57	0.12	17.22	0.09
15.84	18.89	0.26	17.87	0.20	17.42	0.19	17.07	0.08
17.19	18.89	0.23	17.84	0.20	17.40	0.12	17.05	0.07
25.35	18.91	0.04	17.66	0.00	17.28	0.11	16.93	0.10
26.97	18.90	0.06	17.61	0.14	17.26	0.11	16.90	0.10
43.78	18.70	0.36	17.20	0.24	16.96	0.09	16.63	0.10
49.58	18.59	0.39	17.08	0.24	16.89	0.10	16.54	0.10
65.57	18.26	0.31	16.80	0.22	16.57	0.12	16.28	0.10
65.63	18.26	0.31	16.80	0.22	16.56	0.05	16.28	0.10
67.49	18.22	0.28	16.77	0.22	16.52	0.07	16.25	0.10
67.53	18.22	0.28	16.77	0.22	16.52	0.19	16.25	0.10
69.56	18.18	0.25	16.75	0.21	16.50	0.13	16.22	0.10
73.48	18.12	0.18	16.72	0.20	16.47	0.16	16.15	0.10
75.60	18.08	0.14	16.71	0.20	16.43	0.07	16.12	0.10
78.49	18.05	0.09	16.72	0.18	16.40	0.08	16.07	0.10
79.57	18.04	0.07	16.74	0.17	16.35	0.09	16.06	0.10
80.49	18.03	0.05	16.78	0.15	16.32	0.23	16.04	0.10
80.66	18.03	0.05	16.78	0.14	16.33	0.04	16.04	0.10
82.39	18.02	0.04	16.84	0.00	16.33	0.03	16.01	0.10
83.39	18.02	0.04	16.78	0.00	16.32	0.13	16.02	0.10
84.30	18.02	0.04	16.77	0.00	16.30	0.15	16.02	0.10
84.69	18.02	0.04	16.77	0.04	16.30	0.12	16.02	0.10
85.34	18.02	0.04	16.76	0.10	16.30	0.07	16.02	0.10
86.70	18.02	0.04	16.75	0.14	16.28	0.16	16.02	0.10
88.36	18.03	0.04	16.78	0.10	16.30	0.07	16.02	0.10
88.64	18.03	0.04	16.79	0.08	16.29	0.10	16.02	0.10
89.29	18.03	0.04	16.81	0.01	16.27	0.12	16.02	0.10
89.36	18.03	0.04	16.81	0.01	16.27	0.11	16.02	0.10
89.42	18.03	0.04	16.81	0.00	16.31	0.01	16.02	0.10
90.27	18.03	0.04	16.83	0.00	16.29	0.04	16.01	0.10
