# ph	T_bb	err	R_bb	err	L_bb	err

55188.30	5.57e+03	3.44e+02	5.59e+14	7.80e+13	2.14e+41	7.99e+40
55189.10	5.57e+03	3.44e+02	5.76e+14	8.05e+13	2.28e+41	8.51e+40
55192.20	5.58e+03	3.45e+02	6.19e+14	8.65e+13	2.64e+41	9.85e+40
55206.30	5.67e+03	3.62e+02	7.30e+14	1.02e+14	3.92e+41	1.49e+41
55207.80	5.69e+03	3.66e+02	7.51e+14	1.05e+14	4.21e+41	1.60e+41
55211.20	5.73e+03	3.78e+02	7.96e+14	1.12e+14	4.87e+41	1.88e+41
55212.20	5.72e+03	4.10e+02	7.93e+14	1.17e+14	4.81e+41	1.98e+41
55225.20	5.53e+03	3.38e+02	9.71e+14	1.33e+14	6.28e+41	2.31e+41
55235.20	5.64e+03	2.58e+02	1.03e+15	1.04e+14	7.60e+41	2.07e+41
55238.10	5.64e+03	2.91e+02	1.05e+15	1.19e+14	7.93e+41	2.43e+41
55244.10	5.64e+03	2.96e+02	1.08e+15	1.26e+14	8.49e+41	2.65e+41
55260.20	5.57e+03	3.70e+02	1.18e+15	1.76e+14	9.59e+41	3.82e+41
55264.10	5.58e+03	3.71e+02	1.17e+15	1.73e+14	9.44e+41	3.76e+41
55271.00	5.40e+03	3.78e+02	1.22e+15	1.98e+14	9.07e+41	3.88e+41
55271.10	5.40e+03	3.77e+02	1.22e+15	1.98e+14	9.07e+41	3.87e+41
55274.10	5.33e+03	3.77e+02	1.24e+15	2.05e+14	8.87e+41	3.86e+41
55277.10	5.28e+03	3.48e+02	1.25e+15	1.94e+14	8.61e+41	3.51e+41
55278.10	5.19e+03	3.45e+02	1.28e+15	2.03e+14	8.47e+41	3.51e+41
55280.10	5.02e+03	3.38e+02	1.34e+15	2.23e+14	8.20e+41	3.50e+41
55283.10	4.78e+03	3.04e+02	1.45e+15	2.39e+14	7.79e+41	3.24e+41
55290.10	4.48e+03	2.86e+02	1.47e+15	2.59e+14	6.18e+41	2.69e+41
55292.00	4.36e+03	3.02e+02	1.49e+15	2.93e+14	5.76e+41	2.77e+41
55305.10	4.16e+03	2.99e+02	1.37e+15	2.94e+14	4.00e+41	2.07e+41
55313.00	4.14e+03	3.07e+02	1.30e+15	2.87e+14	3.53e+41	1.88e+41
55355.00	3.93e+03	3.11e+02	1.48e+15	4.00e+14	3.73e+41	2.33e+41
