# ph	Lobs	err	L+BB	err	

55188.30	1.19e+41	9.94e+39	2.15e+41	3.15e+40
55189.10	1.26e+41	1.02e+40	2.29e+41	3.32e+40
55192.20	1.47e+41	1.11e+40	2.65e+41	3.82e+40
55206.30	2.19e+41	1.10e+40	3.94e+41	5.67e+40
55207.80	2.35e+41	1.14e+40	4.22e+41	5.81e+40
55211.20	2.71e+41	1.25e+40	4.90e+41	7.18e+40
55212.20	2.65e+41	1.51e+40	4.79e+41	7.16e+40
55225.20	3.49e+41	2.17e+40	6.31e+41	8.94e+40
55235.20	4.15e+41	2.58e+40	7.54e+41	8.07e+40
55238.10	4.38e+41	2.71e+40	7.91e+41	9.39e+40
55244.10	4.68e+41	2.90e+40	8.47e+41	1.01e+41
55260.20	5.41e+41	3.39e+40	9.71e+41	1.46e+41
55264.10	5.33e+41	3.33e+40	9.57e+41	1.43e+41
55271.00	5.14e+41	3.23e+40	9.24e+41	1.52e+41
55271.10	5.11e+41	3.22e+40	9.21e+41	1.52e+41
55274.10	5.01e+41	3.18e+40	9.04e+41	1.53e+41
55277.10	4.79e+41	3.03e+40	8.71e+41	1.40e+41
55278.10	4.70e+41	2.97e+40	8.57e+41	1.43e+41
55280.10	4.49e+41	2.84e+40	8.30e+41	1.47e+41
55283.10	4.09e+41	2.59e+40	7.79e+41	1.44e+41
55290.10	3.05e+41	1.97e+40	6.11e+41	1.28e+41
55292.00	2.82e+41	1.82e+40	5.72e+41	1.35e+41
55305.10	1.90e+41	1.24e+40	4.00e+41	1.07e+41
55313.00	1.68e+41	1.08e+40	3.54e+41	9.73e+40
55355.00	1.23e+41	2.08e+40	3.26e+41	1.26e+41

#KEY
# Lobs = integrate observed fluxes with no BB fit
# L+BB = observed flux + BB fit extrapolation
# See logL-obs_SN2009mw_BgVrRiIz.txt and logL-bb_SN2009mw_BgVrRiIz.txt for simple LC files
# Methodology:
# filters used:BgVrRiIz
# redshift used:0.0143
# extinction used:0.054
# Flux and wavelength converted to rest-frame
# BB fit below 1A suppressed by factor (lamda/1)^0
