##phase	B	err	g	err	V	err	r	err	R	err	i	err	I	err	z	err	
#
55188.30	20.66	0.14	19.99	0.14	19.48	0.13	19.25	0.16	19.12	0.10	19.18	0.17	18.86	0.13	19.03	0.17
55189.10	20.59	0.13	19.93	0.13	19.41	0.12	19.18	0.16	19.05	0.10	19.11	0.16	18.79	0.12	18.96	0.17
55192.20	20.43	0.12	19.76	0.12	19.25	0.11	19.02	0.15	18.89	0.10	18.94	0.15	18.63	0.11	18.80	0.15
55206.30	20.00	0.07	19.33	0.07	18.81	0.05	18.59	0.08	18.46	0.10	18.51	0.09	18.20	0.05	18.36	0.09
55207.80	19.92	0.07	19.25	0.07	18.73	0.05	18.51	0.07	18.38	0.10	18.43	0.08	18.12	0.04	18.29	0.08
55211.20	19.77	0.07	19.10	0.07	18.58	0.04	18.35	0.06	18.23	0.10	18.28	0.07	17.96	0.04	18.13	0.07
55212.20	19.79	0.10	19.12	0.10	18.61	0.10	18.38	0.06	18.25	0.10	18.30	0.06	17.99	0.10	18.16	0.07
55225.20	19.51	0.10	18.83	0.10	18.32	0.10	18.09	0.10	17.96	0.10	18.01	0.10	17.57	0.10	17.87	0.10
55235.20	19.21	0.10	18.65	0.10	18.16	0.10	17.95	0.10	17.75	0.10	17.84	0.10	17.44	0.10	17.60	0.10
55238.10	19.18	0.10	18.60	0.10	18.03	0.10	17.90	0.10	17.72	0.10	17.80	0.10	17.40	0.10	17.56	0.10
55244.10	19.11	0.10	18.50	0.10	18.00	0.10	17.81	0.10	17.64	0.10	17.71	0.10	17.32	0.10	17.50	0.10
55260.20	19.04	0.10	18.38	0.10	17.85	0.10	17.63	0.10	17.42	0.10	17.54	0.10	17.09	0.10	17.45	0.10
55264.10	19.05	0.10	18.40	0.10	17.86	0.10	17.63	0.10	17.45	0.10	17.57	0.10	17.11	0.10	17.46	0.10
55271.00	19.18	0.10	18.49	0.10	17.91	0.10	17.63	0.10	17.45	0.10	17.61	0.10	17.13	0.10	17.49	0.10
55271.10	19.19	0.10	18.49	0.10	17.92	0.10	17.63	0.10	17.46	0.10	17.61	0.10	17.13	0.10	17.49	0.10
55274.10	19.24	0.10	18.54	0.10	17.97	0.10	17.62	0.10	17.44	0.10	17.63	0.10	17.17	0.10	17.50	0.10
55277.10	19.29	0.10	18.59	0.10	18.02	0.10	17.71	0.10	17.49	0.10	17.66	0.10	17.22	0.10	17.51	0.10
55278.10	19.36	0.10	18.62	0.10	18.04	0.10	17.74	0.10	17.51	0.10	17.66	0.10	17.24	0.10	17.52	0.10
55280.10	19.50	0.10	18.70	0.10	18.08	0.10	17.79	0.10	17.55	0.10	17.69	0.10	17.29	0.10	17.52	0.10
55283.10	19.71	0.10	18.86	0.10	18.27	0.10	17.84	0.10	17.64	0.10	17.74	0.10	17.36	0.10	17.54	0.10
55290.10	20.20	0.10	19.23	0.10	18.72	0.10	18.11	0.10	17.91	0.10	18.06	0.10	17.52	0.10	17.80	0.10
55292.00	20.40	0.10	19.30	0.10	18.84	0.10	18.14	0.10	18.01	0.10	18.15	0.10	17.58	0.10	17.89	0.10
55305.10	21.02	0.10	19.91	0.10	19.20	0.10	18.60	0.10	18.39	0.10	18.53	0.10	18.00	0.10	18.31	0.10
55313.00	21.19	0.10	20.05	0.10	19.33	0.10	18.71	0.10	18.56	0.10	18.62	0.10	18.16	0.10	18.45	0.10
55355.00	21.50	0.50	20.64	0.10	19.64	0.06	19.02	0.34	18.88	0.10	18.94	0.34	18.47	0.42	18.77	0.41
#
## All light curves linearly interpolated
## Extrapolation done by assuming constant colour with reference band
