# ph	T_bb	err	R_bb	err	L_bb	err

58423.50	6.15e+03	4.05e+02	3.18e+14	4.39e+13	1.03e+41	3.92e+40
58426.50	5.76e+03	3.11e+02	3.63e+14	4.10e+13	1.03e+41	3.23e+40
58429.60	5.45e+03	2.91e+02	4.29e+14	4.52e+13	1.16e+41	3.48e+40
58432.50	5.36e+03	2.53e+02	4.91e+14	4.84e+13	1.41e+41	3.86e+40
58432.60	5.28e+03	2.72e+02	4.97e+14	4.96e+13	1.37e+41	3.93e+40
58440.50	4.79e+03	1.96e+02	8.15e+14	9.23e+13	2.49e+41	6.95e+40
58440.60	4.73e+03	2.10e+02	7.98e+14	9.34e+13	2.28e+41	6.70e+40
58443.40	4.67e+03	2.02e+02	8.76e+14	1.01e+14	2.59e+41	7.48e+40
58443.50	4.72e+03	1.91e+02	8.84e+14	1.02e+14	2.77e+41	7.83e+40
58447.40	4.60e+03	1.99e+02	9.99e+14	1.16e+14	3.20e+41	9.24e+40
58447.50	4.60e+03	1.97e+02	1.01e+15	1.15e+14	3.27e+41	9.31e+40
58471.60	4.30e+03	2.38e+02	1.58e+15	2.45e+14	6.06e+41	2.31e+41
58474.50	4.24e+03	2.38e+02	1.55e+15	2.48e+14	5.55e+41	2.17e+41
58476.50	4.21e+03	2.34e+02	1.53e+15	2.44e+14	5.22e+41	2.03e+41
58486.50	4.26e+03	3.11e+02	1.73e+15	3.94e+14	7.05e+41	3.81e+41
58491.60	4.09e+03	2.76e+02	1.71e+15	3.43e+14	5.82e+41	2.81e+41
58502.50	4.07e+03	3.31e+02	1.64e+15	4.16e+14	5.26e+41	3.17e+41
58502.60	4.02e+03	2.97e+02	1.65e+15	3.68e+14	5.03e+41	2.70e+41
58505.50	4.10e+03	3.34e+02	1.71e+15	4.44e+14	5.88e+41	3.60e+41
58508.50	4.10e+03	3.25e+02	1.69e+15	4.30e+14	5.72e+41	3.43e+41
58511.40	3.99e+03	2.85e+02	1.64e+15	3.57e+14	4.84e+41	2.52e+41
58514.40	3.99e+03	2.69e+02	1.53e+15	3.20e+14	4.23e+41	2.10e+41
58522.50	3.98e+03	2.19e+02	1.39e+15	2.44e+14	3.46e+41	1.43e+41
58526.50	4.03e+03	2.00e+02	1.39e+15	2.31e+14	3.63e+41	1.40e+41
58534.40	3.88e+03	1.95e+02	1.28e+15	2.05e+14	2.66e+41	1.00e+41
58538.40	3.75e+03	1.65e+02	1.28e+15	1.94e+14	2.32e+41	8.12e+40
58540.30	3.66e+03	1.61e+02	1.38e+15	2.18e+14	2.43e+41	8.78e+40
58543.30	3.50e+03	1.55e+02	1.54e+15	2.80e+14	2.52e+41	1.02e+41
58543.40	3.47e+03	1.58e+02	1.48e+15	2.60e+14	2.25e+41	8.90e+40
58556.20	2.62e+03	2.06e+02	1.70e+15	5.65e+14	9.71e+40	7.15e+40
58558.20	2.52e+03	2.24e+02	1.80e+15	7.24e+14	9.27e+40	8.15e+40
58559.30	2.45e+03	2.41e+02	1.80e+15	7.78e+14	8.35e+40	7.92e+40
58562.40	2.29e+03	2.44e+02	1.96e+15	9.54e+14	7.50e+40	7.98e+40
58567.27	2.04e+03	2.50e+02	2.16e+15	1.07e+15	5.72e+40	6.32e+40
58572.30	1.82e+03	2.86e+02	2.51e+15	1.60e+15	4.94e+40	7.03e+40
58574.20	1.75e+03	2.21e+02	2.67e+15	1.36e+15	4.71e+40	5.38e+40
58575.25	1.71e+03	2.32e+02	2.76e+15	1.52e+15	4.61e+40	5.67e+40
58575.40	1.70e+03	1.99e+02	2.77e+15	1.31e+15	4.60e+40	4.85e+40
58580.30	1.53e+03	2.40e+02	3.31e+15	2.23e+15	4.29e+40	6.39e+40
58583.30	1.44e+03	2.06e+02	3.71e+15	2.38e+15	4.20e+40	5.89e+40
58584.30	1.41e+03	2.29e+02	3.86e+15	2.86e+15	4.18e+40	6.76e+40
58586.25	1.35e+03	1.98e+02	4.18e+15	2.84e+15	4.17e+40	6.16e+40
58587.30	1.32e+03	1.96e+02	4.37e+15	3.06e+15	4.17e+40	6.34e+40
58589.25	1.27e+03	2.11e+02	4.76e+15	3.83e+15	4.21e+40	7.32e+40
58591.40	1.22e+03	1.68e+02	5.25e+15	3.62e+15	4.28e+40	6.36e+40
58592.25	1.19e+03	1.72e+02	5.46e+15	3.96e+15	4.32e+40	6.76e+40
58593.30	1.17e+03	1.98e+02	5.74e+15	4.96e+15	4.39e+40	8.15e+40
58594.25	1.15e+03	1.74e+02	6.01e+15	4.70e+15	4.45e+40	7.47e+40
58597.30	1.08e+03	1.56e+02	7.00e+15	5.42e+15	4.72e+40	7.81e+40
58599.20	1.04e+03	1.54e+02	7.73e+15	6.32e+15	4.96e+40	8.62e+40
58602.25	9.78e+02	1.44e+02	9.14e+15	7.66e+15	5.44e+40	9.67e+40
58606.20	9.06e+02	1.21e+02	1.15e+16	9.19e+15	6.35e+40	1.07e+41
58608.30	8.70e+02	1.16e+02	1.31e+16	1.07e+16	7.00e+40	1.20e+41
58612.25	8.07e+02	1.16e+02	1.69e+16	1.55e+16	8.67e+40	1.66e+41
58616.25	7.50e+02	1.11e+02	2.18e+16	1.79e+16	1.07e+41	1.87e+41
58618.20	7.23e+02	9.89e+01	2.54e+16	2.11e+16	1.25e+41	2.20e+41
58619.25	7.09e+02	9.18e+01	2.75e+16	2.29e+16	1.37e+41	2.39e+41
58628.25	6.04e+02	8.01e+01	5.86e+16	5.86e+16	3.26e+41	6.75e+41
58633.27	6.24e+02	6.24e+02	6.50e+13	6.50e+13	4.56e+35	2.04e+36
58637.20	5.84e+02	5.84e+02	6.07e+13	6.07e+13	3.05e+35	1.37e+36
58639.25	5.64e+02	5.64e+02	5.67e+13	5.67e+13	2.32e+35	1.04e+36
58640.20	5.55e+02	5.55e+02	5.57e+13	5.57e+13	2.10e+35	9.41e+35
