# ph	Lobs	err	L+BB	err	

58423.50	1.02e+41	3.61e+39	1.03e+41	3.64e+39
58426.50	1.20e+41	4.28e+39	1.21e+41	4.31e+39
58429.60	1.48e+41	6.16e+39	1.50e+41	6.18e+39
58432.50	1.64e+41	5.60e+39	1.66e+41	5.63e+39
58432.60	1.72e+41	6.85e+39	1.74e+41	6.89e+39
58440.50	2.34e+41	7.84e+39	2.38e+41	7.98e+39
58440.60	2.42e+41	9.03e+39	2.46e+41	9.15e+39
58443.40	2.68e+41	9.80e+39	2.73e+41	9.95e+39
58443.50	2.64e+41	8.73e+39	2.69e+41	8.90e+39
58447.40	3.08e+41	1.09e+40	3.14e+41	1.11e+40
58447.50	3.08e+41	1.09e+40	3.14e+41	1.11e+40
58471.60	4.86e+41	1.55e+40	5.00e+41	1.67e+40
58474.50	4.96e+41	1.57e+40	5.08e+41	1.69e+40
58476.50	5.00e+41	1.59e+40	5.12e+41	1.69e+40
58486.50	5.26e+41	1.47e+40	5.43e+41	1.82e+40
58491.60	4.92e+41	1.52e+40	5.07e+41	1.74e+40
58502.50	4.79e+41	1.33e+40	4.92e+41	1.65e+40
58502.60	4.51e+41	1.38e+40	4.64e+41	1.62e+40
58505.50	4.60e+41	1.25e+40	4.75e+41	1.66e+40
58508.50	4.36e+41	1.20e+40	4.51e+41	1.59e+40
58511.40	3.98e+41	1.23e+40	4.11e+41	1.47e+40
58514.40	3.82e+41	1.13e+40	3.94e+41	1.32e+40
58522.50	3.20e+41	9.61e+39	3.29e+41	1.07e+40
58526.50	2.96e+41	8.89e+39	3.05e+41	9.92e+39
58534.40	2.65e+41	8.66e+39	2.72e+41	9.30e+39
58538.40	2.48e+41	8.13e+39	2.54e+41	8.65e+39
58540.30	2.41e+41	7.86e+39	2.48e+41	8.54e+39
58543.30	2.24e+41	6.69e+39	2.33e+41	7.91e+39
58543.40	2.28e+41	7.47e+39	2.37e+41	8.36e+39
58556.20	1.86e+41	6.11e+39	1.92e+41	7.75e+39
58558.20	1.82e+41	5.91e+39	1.87e+41	8.24e+39
58559.30	1.74e+41	5.16e+39	1.79e+41	7.75e+39
58562.40	1.71e+41	5.54e+39	1.75e+41	8.40e+39
58567.27	1.57e+41	4.67e+39	1.61e+41	7.28e+39
58572.30	1.47e+41	4.36e+39	1.51e+41	7.99e+39
58574.20	1.49e+41	4.94e+39	1.52e+41	7.19e+39
58575.25	1.43e+41	4.56e+39	1.46e+41	7.18e+39
58575.40	1.46e+41	5.05e+39	1.49e+41	6.93e+39
58580.30	1.43e+41	9.00e+39	1.46e+41	1.10e+40
58583.30	1.61e+41	2.39e+40	1.64e+41	2.46e+40
58584.30	1.71e+41	3.50e+40	1.74e+41	3.56e+40
58586.25	2.21e+41	7.86e+40	2.24e+41	7.88e+40
58587.30	2.74e+41	1.25e+41	2.78e+41	1.25e+41
58589.25	4.93e+41	3.14e+41	4.96e+41	3.15e+41
58591.40	1.22e+42	9.53e+41	1.22e+42	9.53e+41
58592.25	1.85e+42	1.52e+42	1.86e+42	1.52e+42
58593.30	3.22e+42	2.76e+42	3.22e+42	2.76e+42
58594.25	5.51e+42	4.86e+42	5.51e+42	4.86e+42
58597.30	3.64e+43	3.40e+43	3.64e+43	3.40e+43
58599.20	1.34e+44	1.28e+44	1.34e+44	1.28e+44
58602.25	1.32e+45	1.31e+45	1.32e+45	1.31e+45
58606.20	3.74e+46	3.91e+46	3.74e+46	3.91e+46
58608.30	2.67e+47	2.86e+47	2.67e+47	2.86e+47
58612.25	1.57e+49	1.75e+49	1.57e+49	1.75e+49
58616.25	1.64e+51	1.91e+51	1.64e+51	1.91e+51
58618.20	1.94e+52	2.32e+52	1.94e+52	2.32e+52
58619.25	7.78e+52	9.37e+52	7.78e+52	9.37e+52
58628.25	6.84e+58	9.00e+58	6.84e+58	9.00e+58
58633.27	6.33e+62	8.73e+62	6.33e+62	8.73e+62
58637.20	1.84e+66	2.63e+66	1.84e+66	2.63e+66
58639.25	1.60e+68	2.32e+68	1.60e+68	2.32e+68
58640.20	1.36e+69	2.00e+69	1.36e+69	2.00e+69
58642.25	1.62e+71	2.42e+71	1.62e+71	2.42e+71
58643.20	1.61e+72	2.43e+72	1.61e+72	2.43e+72
58646.20	3.10e+75	4.79e+75	3.10e+75	4.79e+75
58648.20	6.40e+77	1.00e+78	6.40e+77	1.00e+78
58649.20	9.99e+78	1.56e+79	9.99e+78	1.56e+79
58651.25	3.38e+81	5.28e+81	3.38e+81	5.28e+81
58652.30	7.36e+82	1.15e+83	7.36e+82	1.15e+83
58654.25	2.69e+85	4.20e+85	2.69e+85	4.20e+85
58655.20	5.20e+86	8.13e+86	5.20e+86	8.13e+86
58661.20	2.71e+95	4.23e+95	2.71e+95	4.23e+95
58665.25	8.36e+101	1.31e+102	8.36e+101	1.31e+102
58667.20	1.69e+105	2.65e+105	1.69e+105	2.65e+105
58668.20	9.37e+106	1.46e+107	9.37e+106	1.46e+107
58670.25	4.45e+110	6.95e+110	4.45e+110	6.95e+110
58671.20	2.50e+112	3.91e+112	2.50e+112	3.91e+112
58673.20	1.53e+116	2.39e+116	1.53e+116	2.39e+116
58674.20	1.35e+118	2.11e+118	1.35e+118	2.11e+118
58676.20	1.33e+122	2.08e+122	1.33e+122	2.08e+122
58677.20	1.50e+124	2.34e+124	1.50e+124	2.34e+124
58679.20	2.44e+128	3.81e+128	2.44e+128	3.81e+128
58680.20	3.52e+130	5.50e+130	3.52e+130	5.50e+130
58682.20	9.57e+134	1.50e+135	9.57e+134	1.50e+135
58683.25	2.35e+137	3.67e+137	2.35e+137	3.67e+137
58684.25	4.84e+139	7.57e+139	4.84e+139	7.57e+139
58689.20	5.35e+151	8.35e+151	5.35e+151	8.35e+151
58690.20	1.91e+154	inf	1.91e+154	inf
58692.20	3.27e+159	inf	3.27e+159	inf
58694.20	8.28e+164	inf	8.28e+164	inf
58701.20	1.66e+185	inf	1.66e+185	inf
58705.20	6.86e+197	inf	6.86e+197	inf
58706.20	1.29e+201	inf	1.29e+201	inf
58707.20	2.72e+204	inf	2.72e+204	inf
58709.20	1.69e+211	inf	1.69e+211	inf
