##phase	S	err	D	err	A	err	U	err	B	err	g	err	V	err	r	err	R	err	I	err	J	err	H	err	K	err	
#
58423.50	19.24	0.31	19.14	0.79	18.87	0.29	17.55	0.16	16.80	0.10	16.41	0.04	15.98	0.10	15.79	0.03	15.77	0.10	15.68	0.10	15.80	0.07	15.60	0.08	15.46	0.08
58426.50	19.50	0.31	19.21	0.78	19.18	0.29	17.49	0.16	16.65	0.10	16.32	0.05	15.81	0.10	15.75	0.04	15.57	0.10	15.47	0.10	15.49	0.06	15.29	0.07	15.16	0.07
58429.60	19.72	0.31	19.26	0.70	19.41	0.29	17.43	0.16	16.52	0.10	15.73	0.11	15.64	0.10	15.63	0.04	15.38	0.10	15.26	0.10	15.20	0.04	14.99	0.06	14.87	0.06
58432.50	19.87	0.31	19.10	0.84	19.55	0.29	17.38	0.16	16.40	0.10	16.19	0.04	15.50	0.10	15.47	0.03	15.21	0.10	15.08	0.10	14.94	0.03	14.74	0.05	14.63	0.06
58432.60	19.88	0.31	19.10	0.84	19.56	0.29	17.38	0.16	16.39	0.10	15.67	0.11	15.49	0.10	15.49	0.03	15.20	0.10	15.07	0.10	14.93	0.03	14.73	0.05	14.62	0.06
58440.50	20.07	0.31	19.18	0.84	19.65	0.29	17.30	0.16	16.13	0.10	15.98	0.03	15.17	0.10	15.22	0.03	14.82	0.10	14.66	0.10	14.35	0.10	14.16	0.10	14.05	0.10
58440.60	20.07	0.31	19.18	0.84	19.65	0.29	17.29	0.16	16.12	0.10	15.55	0.11	15.17	0.10	15.22	0.04	14.82	0.10	14.66	0.10	14.35	0.10	14.15	0.10	14.05	0.10
58443.40	20.07	0.31	19.21	0.84	19.60	0.29	17.28	0.16	16.05	0.10	15.52	0.11	15.07	0.10	15.11	0.03	14.70	0.10	14.53	0.10	14.18	0.10	13.98	0.10	13.88	0.10
58443.50	20.07	0.31	19.21	0.84	19.60	0.29	17.28	0.16	16.05	0.10	15.84	0.03	15.07	0.10	15.10	0.04	14.70	0.10	14.53	0.10	14.17	0.10	13.97	0.10	13.87	0.10
58447.40	20.02	0.31	19.26	0.84	19.47	0.29	17.27	0.16	15.96	0.10	15.47	0.11	14.96	0.10	14.92	0.03	14.56	0.10	14.38	0.10	13.96	0.10	13.77	0.10	13.66	0.10
58447.50	20.02	0.31	19.26	0.84	19.47	0.29	17.27	0.16	15.95	0.10	15.47	0.11	14.96	0.10	14.94	0.03	14.56	0.10	14.37	0.10	13.96	0.10	13.76	0.10	13.66	0.10
58471.60	19.05	0.31	19.51	0.86	18.23	0.29	17.45	0.16	15.73	0.10	15.34	0.11	14.65	0.10	14.25	0.02	14.10	0.10	13.85	0.10	13.27	0.10	13.07	0.10	12.95	0.10
58474.50	18.92	0.31	19.54	0.86	18.11	0.29	17.50	0.16	15.73	0.10	15.33	0.11	14.64	0.10	14.20	0.03	14.08	0.10	13.83	0.10	13.25	0.10	13.04	0.10	12.91	0.10
58476.50	18.84	0.31	19.56	0.87	18.03	0.29	17.53	0.16	15.74	0.10	15.33	0.11	14.65	0.10	14.17	0.04	14.08	0.10	13.82	0.10	13.24	0.10	13.03	0.10	12.90	0.10
58486.50	18.54	0.31	19.71	0.82	17.77	0.29	17.72	0.16	15.81	0.10	14.65	0.02	14.70	0.10	14.06	0.02	14.08	0.10	13.80	0.10	13.23	0.10	13.02	0.10	12.87	0.10
58491.60	18.51	0.31	19.80	0.67	17.74	0.29	17.82	0.16	15.87	0.10	15.36	0.11	14.75	0.10	14.01	0.02	14.11	0.10	13.82	0.10	13.27	0.10	13.05	0.10	12.89	0.10
58502.50	18.80	0.31	19.82	0.95	17.94	0.29	18.07	0.16	16.04	0.10	14.62	0.03	14.89	0.10	13.97	0.03	14.21	0.10	13.90	0.10	13.40	0.10	13.17	0.10	12.98	0.10
58502.60	18.80	0.31	19.82	0.95	17.95	0.29	18.07	0.16	16.04	0.10	15.42	0.11	14.89	0.10	13.98	0.02	14.22	0.10	13.90	0.10	13.40	0.10	13.17	0.10	12.98	0.10
58505.50	18.99	0.31	19.85	0.96	18.06	0.29	18.14	0.16	16.09	0.10	14.68	0.03	14.94	0.10	14.02	0.02	14.25	0.10	13.93	0.10	13.44	0.10	13.21	0.10	13.02	0.10
58508.50	19.23	0.31	19.88	0.97	18.19	0.29	18.21	0.16	16.14	0.10	14.83	0.02	14.99	0.10	14.10	0.02	14.29	0.10	13.97	0.10	13.49	0.10	13.26	0.10	13.06	0.10
58511.40	19.53	0.31	19.91	0.98	18.34	0.29	18.28	0.16	16.20	0.10	15.49	0.11	15.04	0.10	14.22	0.02	14.33	0.10	14.00	0.10	13.54	0.10	13.30	0.10	13.10	0.10
58514.40	19.89	0.31	19.94	1.00	18.52	0.29	18.35	0.16	16.26	0.10	15.28	0.06	15.09	0.10	14.38	0.03	14.38	0.10	14.04	0.10	13.60	0.10	13.36	0.10	13.15	0.10
58522.50	21.24	0.34	20.02	1.03	19.05	0.29	18.55	0.16	16.43	0.10	15.82	0.04	15.24	0.10	14.87	0.03	14.51	0.10	14.16	0.10	13.76	0.10	13.51	0.10	13.28	0.10
